218140.BPSY_1034,secY,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecY,98.9
218140.BPSY_0059,pstB,Phosphate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PstB,98.8
218140.BPSY_0695,BPSY_0695,annotation&nbsp;not&nbsp;available,98.7
218140.BPSY_1940,mraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase,98.6
218140.BPSY_0939,BPSY_0939,annotation&nbsp;not&nbsp;available,98.5
218140.BPSY_1769,BPSY_1769,annotation&nbsp;not&nbsp;available,98.4
218140.BPSY_1364,ligA,DNA&nbsp;ligase,98.3
218140.BPSY_1839,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,98.2
218140.BPSY_2046,BPSY_2046,annotation&nbsp;not&nbsp;available,98.1
218140.BPSY_2138,BPSY_2138,Dihydroorotate&nbsp;dehydrogenase&nbsp;(quinone),98.0
218140.BPSY_0971,BPSY_0971,Phospho-2-dehydro-3-deoxyheptonate&nbsp;aldolase,97.8
218140.BPSY_1361,BPSY_1361,annotation&nbsp;not&nbsp;available,97.7
218140.BPSY_1629,BPSY_1629,annotation&nbsp;not&nbsp;available,97.6
218140.BPSY_1284,BPSY_1284,annotation&nbsp;not&nbsp;available,97.4
218140.BPSY_1049,BPSY_1049,annotation&nbsp;not&nbsp;available,97.4
218140.BPSY_1639,BPSY_1639,annotation&nbsp;not&nbsp;available,96.8
218140.BPSY_0895,atpA,ATP&nbsp;synthase&nbsp;subunit&nbsp;alpha,96.7
218140.BPSY_0177,BPSY_0177,annotation&nbsp;not&nbsp;available,96.7
218140.BPSY_0105,leuC,3-isopropylmalate&nbsp;dehydratase&nbsp;large&nbsp;subunit,96.5
218140.BPSY_1293,BPSY_1293,annotation&nbsp;not&nbsp;available,96.5
218140.BPSY_1670,aroB,Multifunctional&nbsp;fusion&nbsp;protein,96.4
218140.BPSY_2130,pdxT,Pyridoxal&nbsp;5'-phosphate&nbsp;synthase&nbsp;subunit&nbsp;PdxT,96.1
218140.BPSY_1030,rplR,50S&nbsp;ribosomal&nbsp;protein&nbsp;L18,96.1
218140.BPSY_1901,BPSY_1901,annotation&nbsp;not&nbsp;available,96.0
218140.BPSY_1044,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,95.9
218140.BPSY_1409,BPSY_1409,Aminopyrimidine&nbsp;aminohydrolase,95.8
218140.BPSY_1205,BPSY_1205,annotation&nbsp;not&nbsp;available,95.7
218140.BPSY_1244,BPSY_1244,30S&nbsp;ribosomal&nbsp;protein&nbsp;S14,95.7
218140.BPSY_1789,nadE,Glutamine-dependent&nbsp;NAD(+)&nbsp;synthetase,95.6
218140.BPSY_1953,ldh,annotation&nbsp;not&nbsp;available,95.5
218140.BPSY_0587,BPSY_0587,annotation&nbsp;not&nbsp;available,95.5
218140.BPSY_0693,purA,Adenylosuccinate&nbsp;synthetase,95.5
218140.BPSY_1682,guaA,GMP&nbsp;synthase&nbsp;[glutamine-hydrolyzing],95.4
218140.BPSY_0058,BPSY_0058,annotation&nbsp;not&nbsp;available,95.1
218140.BPSY_1787,BPSY_1787,annotation&nbsp;not&nbsp;available,94.7
218140.BPSY_1291,BPSY_1291,annotation&nbsp;not&nbsp;available,94.7
218140.BPSY_0178,BPSY_0178,annotation&nbsp;not&nbsp;available,94.7
218140.BPSY_0694,BPSY_0694,annotation&nbsp;not&nbsp;available,94.6
218140.BPSY_0925,rpmA,annotation&nbsp;not&nbsp;available,94.6
218140.BPSY_1272,purT,Formate-dependent&nbsp;phosphoribosylglycinamide&nbsp;formyltransferase,94.3
