1127134.NOCYR_3613,NOCYR_3613,Evidence&nbsp;2b&nbsp;:&nbsp;Function&nbsp;of&nbsp;strongly&nbsp;homologous&nbsp;gene,98.9
1127134.NOCYR_0056,NOCYR_0056,Uncharacterized&nbsp;protein,98.9
1127134.NOCYR_2411,NOCYR_2411,3-ketosteroid&nbsp;5-isomerase,98.8
1127134.NOCYR_1542,yrbE2A,YrbE&nbsp;family&nbsp;protein,98.8
1127134.NOCYR_1396,NOCYR_1396,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;proteolytic&nbsp;subunit,98.8
1127134.NOCYR_3544,aspS,Aspartate--tRNA(Asp/Asn)&nbsp;ligase,98.8
1127134.NOCYR_0530,NOCYR_0530,Acetyl-CoA&nbsp;acetyltransferase,98.8
1127134.NOCYR_4885,rpoB,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta,98.7
1127134.NOCYR_4940,NOCYR_4940,Putative&nbsp;UrdO&nbsp;protein&nbsp;Putative&nbsp;reductase,98.7
1127134.NOCYR_1343,NOCYR_1343,Putative&nbsp;sugar&nbsp;kinase,98.6
1127134.NOCYR_2026,tesB,Acyl-CoA&nbsp;thioesterase,98.6
1127134.NOCYR_4836,NOCYR_4836,ABC-transporter&nbsp;integral&nbsp;membrane&nbsp;protein,98.6
1127134.NOCYR_0801,NOCYR_0801,Putative&nbsp;polyketide&nbsp;synthase,98.6
1127134.NOCYR_3731,NOCYR_3731,Putative&nbsp;acyl-CoA&nbsp;dehydrogenase,98.5
1127134.NOCYR_1024,upp,Uracil&nbsp;phosphoribosyltransferase,98.4
1127134.NOCYR_3582,secD,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecD,98.4
1127134.NOCYR_2744,katG,Catalase-peroxidase,98.4
1127134.NOCYR_2219,NOCYR_2219,Putative&nbsp;anti-sigma&nbsp;factor,98.4
1127134.NOCYR_1046,NOCYR_1046,Aldehyde&nbsp;dehydrogenase,98.4
1127134.NOCYR_2925,NOCYR_2925,Zinc-binding&nbsp;alcohol&nbsp;dehydrogenase,98.3
1127134.NOCYR_3686,odc,Ornithine&nbsp;decarboxylase,98.3
1127134.NOCYR_0026,NOCYR_0026,Putative&nbsp;PENICILLIN-BINDING&nbsp;PROTEIN&nbsp;PBPA,98.3
