1194972.MVAC_24905,MVAC_24905,Bifunctional&nbsp;hydroxy-methylpyrimidine&nbsp;kinase/&nbsp;hydroxy-phosphomethylpyrimidine&nbsp;kinase,98.9
1194972.MVAC_17153,MVAC_17153,COG0347&nbsp;Nitrogen&nbsp;regulatory&nbsp;protein&nbsp;PII,98.9
1194972.MVAC_01875,MVAC_01875,"COG0508&nbsp;Pyruvate/2-oxoglutarate&nbsp;dehydrogenase&nbsp;complex,&nbsp;dihydrolipoamide&nbsp;acyltransferase&nbsp;(E2)&nbsp;component,&nbsp;and&nbsp;related&nbsp;enzymes",98.9
1194972.MVAC_16695,MVAC_16695,Deoxyguanosinetriphosphate&nbsp;triphosphohydrolase-like&nbsp;protein,98.9
1194972.MVAC_25350,fmt,Methionyl-tRNA&nbsp;formyltransferase,98.9
1194972.MVAC_08014,MVAC_08014,Glucose-methanol-choline&nbsp;oxidoreductase,98.9
1194972.MVAC_06837,MVAC_06837,Two&nbsp;component&nbsp;LuxR&nbsp;family&nbsp;transcriptional&nbsp;regulator,98.8
1194972.MVAC_11602,MVAC_11602,Ferredoxin,98.8
1194972.MVAC_20328,MVAC_20328,COG1835&nbsp;Predicted&nbsp;acyltransferases,98.8
1194972.MVAC_24810,MVAC_24810,annotation&nbsp;not&nbsp;available,98.8
1194972.MVAC_00255,obgE,GTPase&nbsp;Obg,98.8
1194972.MVAC_06827,MVAC_06827,Glyoxalase/bleomycin&nbsp;resistance&nbsp;protein/dioxygenase,98.8
1194972.MVAC_06967,rpmE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31,98.7
1194972.MVAC_02716,MVAC_02716,Uncharacterized&nbsp;protein,98.7
1194972.MVAC_28471,MVAC_28471,HAD&nbsp;family&nbsp;hydrolase,98.7
1194972.MVAC_18090,MVAC_18090,Carbohydrate&nbsp;kinase,98.7
1194972.MVAC_14398,MVAC_14398,Nitrilotriacetate&nbsp;monooxygenase&nbsp;family&nbsp;FMN-dependent&nbsp;oxidoreductase,98.7
1194972.MVAC_20713,leuS,Leucine--tRNA&nbsp;ligase,98.6
1194972.MVAC_19096,MVAC_19096,4-carboxymuconolactone&nbsp;decarboxylase,98.6
1194972.MVAC_10287,MVAC_10287,COG0627&nbsp;Predicted&nbsp;esterase,98.6
1194972.MVAC_01155,MVAC_01155,Short-chain&nbsp;dehydrogenase/reductase&nbsp;SDR,98.6
1194972.MVAC_27959,MVAC_27959,UPF0232&nbsp;protein&nbsp;MVAC_27959,98.6
1194972.MVAC_10036,argD,COG4992&nbsp;Ornithine/acetylornithine&nbsp;aminotransferase,98.6
1194972.MVAC_16270,MVAC_16270,ABC&nbsp;transporter--like&nbsp;protein,98.5
1194972.MVAC_01400,MVAC_01400,COG2175&nbsp;Probable&nbsp;taurine&nbsp;catabolism&nbsp;dioxygenase,98.5
1194972.MVAC_01265,MVAC_01265,COG0183&nbsp;Acetyl-CoA&nbsp;acetyltransferase,98.5
1194972.MVAC_26050,MVAC_26050,Inosine&nbsp;5-monophosphate&nbsp;dehydrogenase,98.5
1194972.MVAC_21288,MVAC_21288,Diguanylate&nbsp;cyclase/phosphodiesterase,98.5
1194972.MVAC_12411,MVAC_12411,Lipocalin&nbsp;family&nbsp;protein,98.5
1194972.MVAC_21738,MVAC_21738,Short&nbsp;chain&nbsp;dehydrogenase,98.5
1194972.MVAC_12956,MVAC_12956,"COG0683&nbsp;ABC-type&nbsp;branched-chain&nbsp;amino&nbsp;acid&nbsp;transport&nbsp;systems,&nbsp;periplasmic&nbsp;component",98.5
1194972.MVAC_07441,MVAC_07441,Luciferase&nbsp;family&nbsp;protein,98.4
1194972.MVAC_29965,MVAC_29965,Beta-N-acetylhexosaminidase,98.4
1194972.MVAC_05152,MVAC_05152,COG0438&nbsp;Glycosyltransferase,98.4
1194972.MVAC_17158,MVAC_17158,Ammonium&nbsp;transporter,98.4
