1437824.BN940_09651,CDM24390.1,annotation&nbsp;not&nbsp;available,98.9
1437824.BN940_05286,CDM23526.1,annotation&nbsp;not&nbsp;available,98.9
1437824.BN940_17836,rplU,50S&nbsp;ribosomal&nbsp;protein&nbsp;L21,98.9
1437824.BN940_07571,CDM23979.1,annotation&nbsp;not&nbsp;available,98.9
1437824.BN940_08561,CDM24175.1,annotation&nbsp;not&nbsp;available,98.8
1437824.BN940_17341,atpC,ATP&nbsp;synthase&nbsp;epsilon&nbsp;chain,98.7
1437824.BN940_09431,CDM24346.1,annotation&nbsp;not&nbsp;available,98.7
1437824.BN940_18206,CDM26071.1,annotation&nbsp;not&nbsp;available,98.7
1437824.BN940_00506,rpsN,30S&nbsp;ribosomal&nbsp;protein&nbsp;S14,98.4
1437824.BN940_03931,CDM23260.1,annotation&nbsp;not&nbsp;available,98.4
1437824.BN940_03451,CDM23165.1,annotation&nbsp;not&nbsp;available,98.3
1437824.BN940_06631,grpE,Protein&nbsp;GrpE,98.2
1437824.BN940_01641,CDM22805.1,Bacterioferritin,98.1
1437824.BN940_07781,CDM24019.1,annotation&nbsp;not&nbsp;available,98.0
1437824.BN940_14736,CDM25392.1,Formyltetrahydrofolate&nbsp;deformylase,98.0
1437824.BN940_01651,CDM22807.1,annotation&nbsp;not&nbsp;available,98.0
1437824.BN940_00521,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,98.0
1437824.BN940_11726,CDM24803.1,Flagellar&nbsp;M-ring&nbsp;protein,98.0
1437824.BN940_16601,metN,Methionine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;MetN,97.9
1437824.BN940_00751,CDM22631.1,Shikimate&nbsp;dehydrogenase&nbsp;(NADP(+)),97.9
1437824.BN940_00321,CDM22545.1,annotation&nbsp;not&nbsp;available,97.9
1437824.BN940_01516,CDM22780.1,annotation&nbsp;not&nbsp;available,97.9
1437824.BN940_08501,CDM24163.1,annotation&nbsp;not&nbsp;available,97.9
1437824.BN940_11181,CDM24696.1,annotation&nbsp;not&nbsp;available,97.8
1437824.BN940_07961,CDM24055.1,annotation&nbsp;not&nbsp;available,97.7
1437824.BN940_06511,CDM23770.1,annotation&nbsp;not&nbsp;available,97.7
