55207.KP22_09525,KP22_09525,Catalyzes&nbsp;the&nbsp;formation&nbsp;of&nbsp;2-acetolactate&nbsp;from&nbsp;pyruvate&nbsp;in&nbsp;stationary&nbsp;phase,98.9
55207.KP22_01650,KP22_01650,MocC,98.9
55207.KP22_20785,KP22_20785,Peptide&nbsp;transporter,98.8
55207.KP22_08070,tsf,Elongation&nbsp;factor&nbsp;Ts,98.8
55207.KP22_17340,KP22_17340,Exopolyphosphatase,98.8
55207.KP22_20925,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,98.6
55207.KP22_04660,KP22_04660,PTS&nbsp;lactose&nbsp;transporter&nbsp;subunit&nbsp;IIB,98.6
55207.KP22_12885,nuoI,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;I,98.6
55207.KP22_14115,KP22_14115,Invertase,98.5
55207.KP22_06910,KP22_06910,Pyruvate&nbsp;kinase,98.5
55207.KP22_19150,KP22_19150,Amino&nbsp;acid&nbsp;permease,98.4
55207.KP22_15160,fdhD,Sulfur&nbsp;carrier&nbsp;protein&nbsp;FdhD,98.4
55207.KP22_07715,KP22_07715,Chemotaxis&nbsp;protein,98.4
55207.KP22_13430,KP22_13430,"Alpha-1,4&nbsp;glucan&nbsp;phosphorylase",98.3
55207.KP22_13470,KP22_13470,PTS&nbsp;ascorbate&nbsp;transporter&nbsp;subunit&nbsp;IIC,98.3
55207.KP22_01585,KP22_01585,Chorismate&nbsp;mutase,98.3
55207.KP22_11825,KP22_11825,dITP/XTP&nbsp;pyrophosphatase,98.3
55207.KP22_19585,hslV,ATP-dependent&nbsp;protease&nbsp;subunit&nbsp;HslV,98.3
55207.KP22_00325,KP22_00325,Transcriptional&nbsp;regulator,98.1
55207.KP22_05940,KP22_05940,Dihydromonapterin&nbsp;reductase,98.1
55207.KP22_04855,KP22_04855,Protein&nbsp;TonB,98.1
55207.KP22_17225,KP22_17225,Cyclodextrin-binding&nbsp;protein,98.1
55207.KP22_19025,rpmH,50S&nbsp;ribosomal&nbsp;protein&nbsp;L34,98.0
55207.KP22_01090,KP22_01090,Chemotaxis&nbsp;protein,98.0
55207.KP22_11750,KP22_11750,Molecular&nbsp;chaperone&nbsp;TorD,98.0
