163164.WD_0302,ctaB,Protoheme&nbsp;IX&nbsp;farnesyltransferase,98.9
163164.WD_0174,ctc,50S&nbsp;ribosomal&nbsp;protein&nbsp;L25,98.8
163164.WD_1177,aceF,Acetyltransferase&nbsp;component&nbsp;of&nbsp;pyruvate&nbsp;dehydrogenase&nbsp;complex,98.2
163164.WD_1064,rpoH,Heat&nbsp;shock&nbsp;sigma&nbsp;factor&nbsp;RpoH,98.2
163164.WD_1050,recA,Protein&nbsp;RecA,97.9
163164.WD_1309,sucA,"2-oxoglutarate&nbsp;dehydrogenase,&nbsp;E1&nbsp;component",97.5
163164.WD_0089,guaB,Inosine-5'-monophosphate&nbsp;dehydrogenase,97.5
163164.WD_0307,groEL,60&nbsp;kDa&nbsp;chaperonin,97.3
163164.WD_1071,petB,Cytochrome&nbsp;b,96.5
163164.WD_0674,rplP,50S&nbsp;ribosomal&nbsp;protein&nbsp;L16,96.2
163164.WD_0682,rpsJ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S10,96.1
163164.WD_0018,WD_0018,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecE,96.1
163164.WD_0653,WD_0653,"3,4-dihydroxy-2-butanone&nbsp;4-phosphate&nbsp;synthase",95.9
163164.WD_0740,cydA,"Cytochrome&nbsp;d&nbsp;ubiquinol&nbsp;oxidase,&nbsp;subunit&nbsp;I",95.8
163164.WD_0334,infA,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-1,95.1
163164.WD_0433,pccA,"Propionyl-CoA&nbsp;carboxylase,&nbsp;alpha&nbsp;subunit",95.1
163164.WD_1136,WD_1136,"Iron&nbsp;compound&nbsp;ABC&nbsp;transporter,&nbsp;permease&nbsp;protein,&nbsp;putative",95.0
163164.WD_0989,WD_0989,"Membrane&nbsp;protein,&nbsp;putative",94.6
163164.WD_0938,znuC,Zinc&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;ZnuC,94.6
163164.WD_0021,rplA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L1,94.6
163164.WD_1221,sdhC,"Succinate&nbsp;dehydrogenase,&nbsp;cytochrome&nbsp;b556&nbsp;subunit",94.6
163164.WD_0665,rpl18,50S&nbsp;ribosomal&nbsp;protein&nbsp;L18,94.5
163164.WD_0897,WD_0897,"Iron&nbsp;compound&nbsp;ABC&nbsp;transporter,&nbsp;periplasmic&nbsp;iron&nbsp;compound-binding&nbsp;protein",94.2
163164.WD_1045,plsY,Glycerol-3-phosphate&nbsp;acyltransferase,93.5
163164.WD_1273,WD_1273,Penicillin-binding&nbsp;protein,93.4
163164.WD_0660,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,93.4
163164.WD_0237,yidC,Membrane&nbsp;protein&nbsp;insertase&nbsp;YidC,92.8
163164.WD_0141,coxC,"Cytochrome&nbsp;c&nbsp;oxidase,&nbsp;subunit&nbsp;III",92.8
163164.WD_0549,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,92.7
163164.WD_0155,glyS,Glycine--tRNA&nbsp;ligase&nbsp;beta&nbsp;subunit,92.4
163164.WD_0556,ubiX,Flavin&nbsp;prenyltransferase&nbsp;UbiX,92.0
163164.WD_0869,fabD,Malonyl&nbsp;CoA-acyl&nbsp;carrier&nbsp;protein&nbsp;transacylase,92.0
163164.WD_0020,rplK,50S&nbsp;ribosomal&nbsp;protein&nbsp;L11,91.8
163164.WD_0134,rplU,50S&nbsp;ribosomal&nbsp;protein&nbsp;L21,91.6
163164.WD_0662,secY,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecY,91.2
163164.WD_0461,pyrF,Orotidine&nbsp;5'-phosphate&nbsp;decarboxylase,91.0
163164.WD_0990,WD_0990,"ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",91.0
163164.WD_0014,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,91.0
163164.WD_1009,gidA,tRNA&nbsp;uridine&nbsp;5-carboxymethylaminomethyl&nbsp;modification&nbsp;enzyme&nbsp;MnmG,90.6
163164.WD_1123,nuoB,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;B,90.4
163164.WD_1239,pyrD,Dihydroorotate&nbsp;dehydrogenase&nbsp;(quinone),90.2
163164.WD_0425,pheT,Phenylalanine--tRNA&nbsp;ligase&nbsp;beta&nbsp;subunit,90.1
163164.WD_0980,nuoI,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;I,89.8
163164.WD_1093,ccmB,Heme&nbsp;exporter&nbsp;protein&nbsp;CcmB,89.7
163164.WD_1233,atpG,ATP&nbsp;synthase&nbsp;gamma&nbsp;chain,89.6
163164.WD_0675,rpsC,30S&nbsp;ribosomal&nbsp;protein&nbsp;S3,89.4
163164.WD_0681,rplC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L3,88.6
163164.WD_0505,gatA,Glutamyl-tRNA(Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;A,88.6
163164.WD_0325,WD_0325,Dihydrolipoyl&nbsp;dehydrogenase,88.5
163164.WD_0204,atpC,ATP&nbsp;synthase&nbsp;epsilon&nbsp;chain,88.4
163164.WD_0066,rpsI,30S&nbsp;ribosomal&nbsp;protein&nbsp;S9,88.3
163164.WD_0679,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,88.2
163164.WD_0308,groES,10&nbsp;kDa&nbsp;chaperonin,88.1
163164.WD_0106,secB,Protein-export&nbsp;protein&nbsp;SecB,87.2
163164.WD_1315,WD_1315,3-octaprenyl-4-hydroxybenzoate&nbsp;carboxy-lyase,87.0
163164.WD_0203,atpD,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,86.8
163164.WD_0159,nuoH,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;H,86.8
163164.WD_1150,rpsT,30S&nbsp;ribosomal&nbsp;protein&nbsp;S20,86.5
163164.WD_0437,sdhA,Succinate&nbsp;dehydrogenase&nbsp;flavoprotein&nbsp;subunit,85.9
163164.WD_0378,WD_0378,annotation&nbsp;not&nbsp;available,85.8
163164.WD_0135,rpmA,Ribosomal&nbsp;protein&nbsp;L27,85.7
163164.WD_0781,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,85.5
163164.WD_0673,rpmC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L29,85.2
163164.WD_0870,WD_0870,annotation&nbsp;not&nbsp;available,85.1
163164.WD_0153,WD_0153,"ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",84.6
163164.WD_0727,sdhB,Succinate&nbsp;dehydrogenase&nbsp;iron-sulfur&nbsp;subunit,84.6
163164.WD_1080,ffh,Signal&nbsp;recognition&nbsp;particle&nbsp;protein,84.5
163164.WD_1003,polA,DNA&nbsp;polymerase&nbsp;I,83.8
163164.WD_0678,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,83.7
163164.WD_0037,WD_0037,"Glutamyl-tRNA(Gln)&nbsp;amidotransferase,&nbsp;C&nbsp;subunit,&nbsp;putative",83.7
163164.WD_1319,nusA,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusA,83.6
163164.WD_0710,ribD,Riboflavin&nbsp;biosynthesis&nbsp;protein&nbsp;RibD,83.4
163164.WD_0966,nuoK,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;K,82.7
163164.WD_1295,carB,Carbamoyl-phosphate&nbsp;synthase&nbsp;large&nbsp;chain,82.5
163164.WD_1067,dnaN,Beta&nbsp;sliding&nbsp;clamp,82.4
