948565.AFFP02000007_gene341,rpsB,annotation&nbsp;not&nbsp;available,98.9
948565.AFFP02000033_gene1549,AFFP02000033_gene1549,annotation&nbsp;not&nbsp;available,98.9
948565.AFFP02000027_gene179,atpG,ATP&nbsp;synthase&nbsp;gamma&nbsp;chain,98.9
948565.AFFP02000006_gene285,AFFP02000006_gene285,annotation&nbsp;not&nbsp;available,98.9
948565.AFFP02000001_gene1093,Z012_10555,annotation&nbsp;not&nbsp;available,98.7
948565.AFFP02000010_gene1655,lipB,Octanoyltransferase,98.7
948565.AFFP02000001_gene1076,Z012_03580,annotation&nbsp;not&nbsp;available,98.6
948565.AFFP02000010_gene1619,ftsZ,Cell&nbsp;division&nbsp;protein&nbsp;FtsZ,98.6
948565.AFFP02000013_gene1949,Z012_02625,annotation&nbsp;not&nbsp;available,98.6
948565.AFFP02000006_gene255,Z012_02310,annotation&nbsp;not&nbsp;available,98.5
948565.AFFP02000001_gene963,ribH,"6,7-dimethyl-8-ribityllumazine&nbsp;synthase",98.5
948565.AFFP02000006_gene230,VY92_09790,annotation&nbsp;not&nbsp;available,98.5
948565.AFFP02000009_gene546,proB,Glutamate&nbsp;5-kinase,98.4
948565.AFFP02000004_gene689,Z012_10235,annotation&nbsp;not&nbsp;available,98.3
948565.AFFP02000007_gene344,Z012_03300,annotation&nbsp;not&nbsp;available,98.2
948565.AFFP02000005_gene475,Z012_01435,annotation&nbsp;not&nbsp;available,98.1
948565.AFFP02000001_gene1036,VY92_06615,annotation&nbsp;not&nbsp;available,98.1
948565.AFFP02000016_gene2222,Z012_05370,annotation&nbsp;not&nbsp;available,97.7
948565.AFFP02000009_gene606,rpsS,30S&nbsp;ribosomal&nbsp;protein&nbsp;S19,97.6
948565.AFFP02000001_gene1006,AFFP02000001_gene1006,annotation&nbsp;not&nbsp;available,97.6
948565.AFFP02000003_gene2065,Z012_04790,annotation&nbsp;not&nbsp;available,97.5
948565.AFFP02000005_gene451,Z012_01610,annotation&nbsp;not&nbsp;available,97.4
948565.AFFP02000009_gene605,rplV,50S&nbsp;ribosomal&nbsp;protein&nbsp;L22,97.3
948565.AFFP02000005_gene434,asnA,annotation&nbsp;not&nbsp;available,97.2
948565.AFFP02000007_gene374,pyrR,Bifunctional&nbsp;protein&nbsp;PyrR,96.9
