1122185.N792_12335,atpB,ATP&nbsp;synthase&nbsp;subunit&nbsp;a,98.9
1122185.N792_00955,hslU,ATP-dependent&nbsp;protease&nbsp;ATPase&nbsp;subunit&nbsp;HslU,98.8
1122185.N792_12425,N792_12425,ABC&nbsp;transporter&nbsp;permease,98.7
1122185.N792_01705,N792_01705,Membrane&nbsp;protein,98.6
1122185.N792_04900,fabH,3-oxoacyl-[acyl-carrier-protein]&nbsp;synthase&nbsp;3,98.5
1122185.N792_01425,purC,Phosphoribosylaminoimidazole-succinocarboxamide&nbsp;synthase,98.3
1122185.N792_01950,ftsQ,Cell&nbsp;division&nbsp;protein&nbsp;FtsQ,98.3
1122185.N792_02510,N792_02510,DNA&nbsp;repair&nbsp;nucleotidyltransferase,98.2
1122185.N792_01140,N792_01140,Ribonucleoside-diphosphate&nbsp;reductase,98.1
1122185.N792_02235,ruvC,Crossover&nbsp;junction&nbsp;endodeoxyribonuclease&nbsp;RuvC,98.1
1122185.N792_00350,tatC,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatC,98.1
1122185.N792_06135,N792_06135,Membrane&nbsp;protein,98.0
1122185.N792_03360,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,98.0
1122185.N792_11410,N792_11410,Acetyl-CoA&nbsp;acetyltransferase,97.9
1122185.N792_12840,N792_12840,Gamma-glutamyltransferase,97.9
1122185.N792_03110,glnS,Glutamine--tRNA&nbsp;ligase,97.8
1122185.N792_02700,groS,10&nbsp;kDa&nbsp;chaperonin,97.8
1122185.N792_06395,N792_06395,3-methylcrotonyl-CoA&nbsp;carboxylase,97.5
1122185.N792_05985,kbl,2-amino-3-ketobutyrate&nbsp;coenzyme&nbsp;A&nbsp;ligase,97.5
1122185.N792_07270,zipA,Cell&nbsp;division&nbsp;protein&nbsp;ZipA,97.4
1122185.N792_08410,N792_08410,UTP--glucose-1-phosphate&nbsp;uridylyltransferase,97.4
