522373.Smlt1736,hfq,RNA-binding&nbsp;protein&nbsp;Hfq,98.9
522373.Smlt3162,sbcB,Similarity:fasta,98.9
522373.Smlt2777,mobA,Molybdenum&nbsp;cofactor&nbsp;guanylyltransferase,98.7
522373.Smlt0655,lpsI,Putative&nbsp;succinyl-CoA:3-ketoacid-coenzyme&nbsp;A,98.7
522373.Smlt0426,putA,Bifunctional&nbsp;protein&nbsp;PutA,98.7
522373.Smlt3804,gap,Glyceraldehyde-3-phosphate&nbsp;dehydrogenase,98.7
522373.Smlt3583,katE,Catalase,98.6
522373.Smlt3944,Smlt3944,Similarity:fasta,98.6
522373.Smlt2308,Smlt2308,Similarity:fasta,98.5
522373.Smlt2042,cmk,Cytidylate&nbsp;kinase,98.4
522373.Smlt0928,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,98.4
522373.Smlt2269,cheY2,Putative&nbsp;two&nbsp;component&nbsp;response&nbsp;regulator&nbsp;chemotaxis&nbsp;protein&nbsp;CheY,98.4
522373.Smlt4540,Smlt4540,Putative&nbsp;two-component&nbsp;sensor&nbsp;histidine&nbsp;kinase&nbsp;protein,98.4
522373.Smlt0596,Smlt0596,Putative&nbsp;two&nbsp;component&nbsp;sensor&nbsp;histidine&nbsp;kinase&nbsp;transcriptional&nbsp;regulatory&nbsp;protein,98.4
522373.Smlt1525,parC,DNA&nbsp;topoisomerase&nbsp;4&nbsp;subunit&nbsp;A,98.3
522373.Smlt2462,Smlt2462,Putative&nbsp;transmembrane&nbsp;permease,98.2
522373.Smlt2594,Smlt2594,Similarity:fasta,98.2
522373.Smlt1814,ggt,Similarity:fasta,98.1
522373.Smlt3978,adhC,S-(hydroxymethyl)glutathione&nbsp;dehydrogenase,98.0
522373.Smlt1284,trbG,Putative&nbsp;conjugal&nbsp;transfer&nbsp;protein,98.0
522373.Smlt0367,Smlt0367,Putative&nbsp;two-component&nbsp;response&nbsp;regulator&nbsp;transcriptional&nbsp;regulatory&nbsp;protein,98.0
522373.Smlt2265,Smlt2265,Similarity:fasta,98.0
522373.Smlt2096,Smlt2096,Putative&nbsp;chemotaxis&nbsp;protein&nbsp;CheW,98.0
522373.Smlt0589,bioD,ATP-dependent&nbsp;dethiobiotin&nbsp;synthetase&nbsp;BioD,97.9
522373.Smlt0411,pyrE,Orotate&nbsp;phosphoribosyltransferase,97.9
522373.Smlt0013,Smlt0013,Putative&nbsp;cardiolipin&nbsp;synthetase,97.9
522373.Smlt3485,leuS,Leucine--tRNA&nbsp;ligase,97.8
522373.Smlt3280,cydD,"Putative&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,&nbsp;cytochrome&nbsp;related",97.7
522373.Smlt0841,ahpC,Similarity:fasta,97.7
522373.Smlt3374,pheS,Phenylalanine--tRNA&nbsp;ligase&nbsp;alpha&nbsp;subunit,97.7
522373.Smlt0860,ilvE,Similarity:fasta,97.6
522373.Smlt3542,Smlt3542,Putative&nbsp;two&nbsp;component&nbsp;regulator&nbsp;response&nbsp;regulator&nbsp;transcriptional&nbsp;regulatory&nbsp;protein,97.6
522373.Smlt0652,xanB,Putative&nbsp;xanthan&nbsp;biosynthesis&nbsp;protein,97.5
522373.Smlt0738,glcD,Similarity:fasta,97.5
522373.Smlt3404,nuoB,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;B,97.5
522373.Smlt2355,Smlt2355,Similarity:fasta,97.5
522373.Smlt0905,rpsJ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S10,97.4
522373.Smlt3148,rplI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L9,97.4
522373.Smlt3165,Smlt3165,Putative&nbsp;5-nucleotidase,97.3
522373.Smlt0919,rpsN,30S&nbsp;ribosomal&nbsp;protein&nbsp;S14,97.1
522373.Smlt3414,glmM,Phosphoglucosamine&nbsp;mutase,97.1
522373.Smlt4619,Smlt4619,Similarity:fasta,97.1
522373.Smlt1789,kgdA,Putative&nbsp;KHG/KDPG&nbsp;aldolase,97.1
522373.Smlt2141,Smlt2141,Similarity:fasta,97.0
522373.Smlt2069,folD,Bifunctional&nbsp;protein&nbsp;FolD,97.0
522373.Smlt3711,ruvA,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvA,97.0
522373.Smlt3177,metH1,Similarity:fasta,97.0
522373.Smlt0404,kdpE,Similarity:fasta,97.0
522373.Smlt0001,dnaA,Chromosomal&nbsp;replication&nbsp;initiator&nbsp;protein&nbsp;DnaA,96.9
522373.Smlt1998,Smlt1998,Similarity:fasta,96.8
522373.Smlt1991,grpE,Protein&nbsp;GrpE,96.8
522373.Smlt0444,rpsU,30S&nbsp;ribosomal&nbsp;protein&nbsp;S21,96.8
522373.Smlt0901,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,96.7
522373.Smlt0857,pntB,NAD(P)&nbsp;transhydrogenase&nbsp;subunit&nbsp;beta,96.7
522373.Smlt3873,hemL,Similarity:fasta,96.7
522373.Smlt4021,Smlt4021,Similarity:fasta,96.6
522373.Smlt3741,otsB,Trehalose&nbsp;6-phosphate&nbsp;phosphatase,96.6
522373.Smlt2732,gspI,Similarity:fasta,96.5
522373.Smlt0584,gph,Similarity:fasta,96.5
522373.Smlt4184,topA,DNA&nbsp;topoisomerase&nbsp;1,96.5
522373.Smlt0087,Smlt0087,Putative&nbsp;ATP-binding&nbsp;component&nbsp;of&nbsp;ABC&nbsp;transporter&nbsp;protein,96.4
522373.Smlt2954,mcpA,Similarity:fasta,96.4
522373.Smlt3743,otsA,Trehalose-6-phosphate&nbsp;synthase,96.3
522373.Smlt2764,Smlt2764,Similarity:fasta,96.3
522373.Smlt3598,Smlt3598,Similarity:fasta,96.3
522373.Smlt4302,rplM,50S&nbsp;ribosomal&nbsp;protein&nbsp;L13,96.3
522373.Smlt3405,nuoA,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;A,96.2
522373.Smlt0636,Smlt0636,Putative&nbsp;glycosyl&nbsp;transferase,96.2
522373.Smlt3671,pilJ,Similarity:fasta,96.2
522373.Smlt0594,Smlt0594,Putative&nbsp;two-component&nbsp;response&nbsp;regulator&nbsp;transcriptional&nbsp;regulatory&nbsp;protein,96.2
522373.Smlt2907,dld,Quinone-dependent&nbsp;D-lactate&nbsp;dehydrogenase,96.0
522373.Smlt1586,potI,Similarity:fasta,96.0
522373.Smlt2043,rpsA,30S&nbsp;ribosomal&nbsp;protein&nbsp;S1,96.0
522373.Smlt2504,yagS,Similarity:fasta,96.0
522373.Smlt2164,hisC,Similarity:fasta,96.0
522373.Smlt3466,xseB,Exodeoxyribonuclease&nbsp;7&nbsp;small&nbsp;subunit,95.9
522373.Smlt4597,Smlt4597,Putative&nbsp;transmembrane&nbsp;cardiolipin&nbsp;synthetase,95.9
522373.Smlt0710,wecB,Putative&nbsp;UDP-N-acetylglucosamine&nbsp;2-epimerase,95.9
522373.Smlt0982,Smlt0982,Putative&nbsp;isocitrate/isopropylmalate&nbsp;dehydrogenase,95.9
522373.Smlt4635,glyQ,Glycine--tRNA&nbsp;ligase&nbsp;alpha&nbsp;subunit,95.9
522373.Smlt0221,Smlt0221,Putative&nbsp;peptidyl-tRNA&nbsp;hydrolase,95.9
522373.Smlt3208,Smlt3208,Similarity:fasta,95.8
522373.Smlt4511,Smlt4511,Similarity:fasta,95.8
522373.Smlt4510,Smlt4510,Similarity:fasta,95.7
522373.Smlt4233,Smlt4233,Similarity:fasta,95.7
522373.Smlt3635,met2,Putative&nbsp;homoserine&nbsp;O-acetyltransferase,95.6
522373.Smlt0911,rplV,50S&nbsp;ribosomal&nbsp;protein&nbsp;L22,95.6
522373.Smlt1229,Smlt1229,Similarity:fasta,95.5
522373.Smlt1635,Smlt1635,Similarity:fasta,95.5
522373.Smlt1540,Smlt1540,Similarity:fasta,95.4
522373.Smlt0102,plsB,Glycerol-3-phosphate&nbsp;acyltransferase,95.3
522373.Smlt2646,Smlt2646,Similarity:fasta,95.3
522373.Smlt4155,Smlt4155,Similarity:fasta,95.2
522373.Smlt2051,Smlt2051,Similarity:fasta,95.2
522373.Smlt1025,rpmF,50S&nbsp;ribosomal&nbsp;protein&nbsp;L32,95.1
522373.Smlt1340,ileS1,Isoleucine--tRNA&nbsp;ligase,95.1
522373.Smlt2317,flgB,Flagellar&nbsp;basal&nbsp;body&nbsp;rod&nbsp;protein&nbsp;FlgB,95.1
522373.Smlt1371,ffh,Signal&nbsp;recognition&nbsp;particle&nbsp;protein,95.1
522373.Smlt4297,Smlt4297,Bacterioferritin,95.1
522373.Smlt2010,Smlt2010,Putative&nbsp;transmembrane&nbsp;protein,95.0
522373.Smlt4235,Smlt4235,Putative&nbsp;NAD(P)H&nbsp;oxidoreductase,95.0
522373.Smlt2848,Smlt2848,Similarity:fasta,94.9
522373.Smlt2645,Smlt2645,Similarity:fasta,94.8
522373.Smlt3689,recQ,Similarity:fasta,94.8
522373.Smlt4057,mreD,Rod&nbsp;shape-determining&nbsp;protein&nbsp;MreD,94.7
522373.Smlt4671,Smlt4671,Putative&nbsp;transmembrane&nbsp;component&nbsp;of&nbsp;ABC&nbsp;transporter&nbsp;protein,94.7
522373.Smlt4058,mreC,Similarity:fasta,94.7
522373.Smlt4624,Smlt4624,Similarity:fasta,94.7
522373.Smlt2942,Smlt2942,Putative&nbsp;orn/arg/lys&nbsp;decarboxylase,94.7
522373.Smlt2006,Smlt2006,Cytokinin&nbsp;riboside&nbsp;5'-monophosphate&nbsp;phosphoribohydrolase,94.6
522373.Smlt3372,himA,Integration&nbsp;host&nbsp;factor&nbsp;subunit&nbsp;alpha,94.6
522373.Smlt0577,fabA,3-hydroxydecanoyl-[acyl-carrier-protein]&nbsp;dehydratase,94.6
522373.Smlt4440,Smlt4440,Uncharacterized&nbsp;protein,94.6
522373.Smlt1106,Smlt1106,Similarity:fasta,94.5
522373.Smlt3547,recO,DNA&nbsp;repair&nbsp;protein&nbsp;RecO,94.5
522373.Smlt0990,clpX,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;ATP-binding&nbsp;subunit&nbsp;ClpX,94.5
522373.Smlt3521,Smlt3521,Similarity:fasta,94.5
522373.Smlt2241,acn,Aconitate&nbsp;hydratase,94.5
522373.Smlt3008,Smlt3008,Similarity:fasta,94.4
522373.Smlt0826,ubiF,Similarity:fasta,94.3
522373.Smlt0616,cbsB,Putative&nbsp;cystathionine&nbsp;beta-synthase,94.3
522373.Smlt3166,nadK,NAD&nbsp;kinase,94.3
522373.Smlt2072,guaA,GMP&nbsp;synthase&nbsp;[glutamine-hydrolyzing],94.3
