983920.Y88_3628,Y88_3628,annotation&nbsp;not&nbsp;available,98.9
983920.Y88_0987,nuoB,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;B,98.9
983920.Y88_3784,Y88_3784,annotation&nbsp;not&nbsp;available,98.9
983920.Y88_3525,Y88_3525,annotation&nbsp;not&nbsp;available,98.9
983920.Y88_3248,Y88_3248,annotation&nbsp;not&nbsp;available,98.8
983920.Y88_1325,Y88_1325,annotation&nbsp;not&nbsp;available,98.8
983920.Y88_3115,Y88_3115,annotation&nbsp;not&nbsp;available,98.8
983920.Y88_3149,gpsA,annotation&nbsp;not&nbsp;available,98.8
983920.Y88_1886,Y88_1886,annotation&nbsp;not&nbsp;available,98.7
983920.Y88_1894,Y88_1894,annotation&nbsp;not&nbsp;available,98.7
983920.Y88_1213,Y88_1213,annotation&nbsp;not&nbsp;available,98.7
983920.Y88_2988,ribA,GTP&nbsp;cyclohydrolase-2,98.7
983920.Y88_1062,Y88_1062,annotation&nbsp;not&nbsp;available,98.7
983920.Y88_3033,pyrH,Uridylate&nbsp;kinase,98.6
983920.Y88_1957,Y88_1957,Ribonucleoside-diphosphate&nbsp;reductase,98.6
983920.Y88_2725,Y88_2725,annotation&nbsp;not&nbsp;available,98.6
983920.Y88_1787,Y88_1787,annotation&nbsp;not&nbsp;available,98.5
983920.Y88_0897,pncB,Nicotinate&nbsp;phosphoribosyltransferase,98.5
983920.Y88_1037,Y88_1037,annotation&nbsp;not&nbsp;available,98.5
983920.Y88_1035,Y88_1035,annotation&nbsp;not&nbsp;available,98.4
983920.Y88_2166,panC,Pantothenate&nbsp;synthetase,98.4
983920.Y88_3023,Y88_3023,annotation&nbsp;not&nbsp;available,98.4
983920.Y88_3613,rnhA,Ribonuclease&nbsp;H,98.3
983920.Y88_0062,Y88_0062,annotation&nbsp;not&nbsp;available,98.3
983920.Y88_1709,Y88_1709,annotation&nbsp;not&nbsp;available,98.3
983920.Y88_1585,Y88_1585,annotation&nbsp;not&nbsp;available,98.3
983920.Y88_0171,Y88_0171,annotation&nbsp;not&nbsp;available,98.2
983920.Y88_2325,nadE,Glutamine-dependent&nbsp;NAD(+)&nbsp;synthetase,98.1
983920.Y88_3306,Y88_3306,annotation&nbsp;not&nbsp;available,98.1
983920.Y88_2147,rpoB,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta,98.0
983920.Y88_2038,Y88_2038,annotation&nbsp;not&nbsp;available,97.9
983920.Y88_0620,gcvH,Glycine&nbsp;cleavage&nbsp;system&nbsp;H&nbsp;protein,97.9
983920.Y88_2272,dut,Deoxyuridine&nbsp;5'-triphosphate&nbsp;nucleotidohydrolase,97.9
983920.Y88_0157,Y88_0157,annotation&nbsp;not&nbsp;available,97.9
983920.Y88_0311,Y88_0311,annotation&nbsp;not&nbsp;available,97.9
983920.Y88_3247,Y88_3247,annotation&nbsp;not&nbsp;available,97.9
983920.Y88_1504,Y88_1504,annotation&nbsp;not&nbsp;available,97.8
983920.Y88_0992,Y88_0992,annotation&nbsp;not&nbsp;available,97.8
983920.Y88_3787,Y88_3787,annotation&nbsp;not&nbsp;available,97.7
983920.Y88_2615,Y88_2615,annotation&nbsp;not&nbsp;available,97.6
983920.Y88_1204,Y88_1204,annotation&nbsp;not&nbsp;available,97.6
983920.Y88_3400,Y88_3400,annotation&nbsp;not&nbsp;available,97.5
983920.Y88_0800,Y88_0800,Glutamate--tRNA&nbsp;ligase,97.5
983920.Y88_0269,Y88_0269,annotation&nbsp;not&nbsp;available,97.4
983920.Y88_0539,Y88_0539,ATP&nbsp;synthase&nbsp;epsilon&nbsp;chain,97.4
983920.Y88_1022,Y88_1022,annotation&nbsp;not&nbsp;available,97.3
983920.Y88_1302,Y88_1302,annotation&nbsp;not&nbsp;available,97.3
983920.Y88_3155,Y88_3155,annotation&nbsp;not&nbsp;available,97.2
983920.Y88_1829,Y88_1829,annotation&nbsp;not&nbsp;available,97.2
983920.Y88_3048,Y88_3048,annotation&nbsp;not&nbsp;available,97.2
983920.Y88_2369,Y88_2369,annotation&nbsp;not&nbsp;available,97.1
983920.Y88_0659,Y88_0659,annotation&nbsp;not&nbsp;available,97.1
983920.Y88_1714,Y88_1714,annotation&nbsp;not&nbsp;available,97.0
983920.Y88_2480,Y88_2480,annotation&nbsp;not&nbsp;available,96.9
983920.Y88_3571,Y88_3571,annotation&nbsp;not&nbsp;available,96.9
983920.Y88_0617,Y88_0617,annotation&nbsp;not&nbsp;available,96.9
983920.Y88_0389,Y88_0389,"RND&nbsp;transporter,&nbsp;HAE1/HME&nbsp;family,&nbsp;permease&nbsp;protein",96.8
983920.Y88_1962,Y88_1962,annotation&nbsp;not&nbsp;available,96.8
983920.Y88_0234,rplV,50S&nbsp;ribosomal&nbsp;protein&nbsp;L22,96.8
983920.Y88_0240,rplX,50S&nbsp;ribosomal&nbsp;protein&nbsp;L24,96.7
983920.Y88_0226,tuf,Elongation&nbsp;factor&nbsp;Tu,96.7
983920.Y88_1834,Y88_1834,annotation&nbsp;not&nbsp;available,96.7
983920.Y88_3148,Y88_3148,Hydroxymethylbilane&nbsp;synthase,96.7
983920.Y88_2029,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,96.7
983920.Y88_2527,Y88_2527,annotation&nbsp;not&nbsp;available,96.6
983920.Y88_1955,Y88_1955,Ribonucleoside-diphosphate&nbsp;reductase&nbsp;subunit&nbsp;beta,96.6
983920.Y88_0535,Y88_0535,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,96.6
