1223544.GSI01S_10_01040,GAC60512.1,annotation&nbsp;not&nbsp;available,98.9
1223544.GSI01S_01_02110,GAC59246.1,annotation&nbsp;not&nbsp;available,98.9
1223544.GSI01S_15_00450,nuoC,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;C,98.8
1223544.GSI01S_15_00650,narK,annotation&nbsp;not&nbsp;available,98.8
1223544.GSI01S_14_00300,hom,annotation&nbsp;not&nbsp;available,98.8
1223544.GSI01S_41_00010,GAC62701.1,annotation&nbsp;not&nbsp;available,98.8
1223544.GSI01S_13_00980,GAC60915.1,annotation&nbsp;not&nbsp;available,98.8
1223544.GSI01S_21_00260,GAC61778.1,Inosine-5'-monophosphate&nbsp;dehydrogenase,98.8
1223544.GSI01S_20_00080,GAC61655.1,annotation&nbsp;not&nbsp;available,98.8
1223544.GSI01S_20_00920,GAC61740.1,annotation&nbsp;not&nbsp;available,98.8
1223544.GSI01S_16_00810,GAC61356.1,annotation&nbsp;not&nbsp;available,98.7
1223544.GSI01S_01_01700,rplA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L1,98.6
1223544.GSI01S_17_00040,GAC61417.1,annotation&nbsp;not&nbsp;available,98.6
1223544.GSI01S_20_00900,GAC61738.1,annotation&nbsp;not&nbsp;available,98.5
1223544.GSI01S_02_00800,GAC59439.1,annotation&nbsp;not&nbsp;available,98.5
1223544.GSI01S_01_00650,GAC59102.1,annotation&nbsp;not&nbsp;available,98.4
1223544.GSI01S_02_00900,purH,annotation&nbsp;not&nbsp;available,98.4
1223544.GSI01S_39_00410,cbs,annotation&nbsp;not&nbsp;available,98.4
1223544.GSI01S_15_00490,GAC61180.1,annotation&nbsp;not&nbsp;available,98.4
1223544.GSI01S_21_00120,glmS,Glutamine--fructose-6-phosphate&nbsp;aminotransferase&nbsp;[isomerizing],98.1
1223544.GSI01S_10_01300,gatA,Glutamyl-tRNA(Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;A,98.1
1223544.GSI01S_12_00410,GAC60807.1,annotation&nbsp;not&nbsp;available,98.1
1223544.GSI01S_05_00080,cobL,annotation&nbsp;not&nbsp;available,98.1
1223544.GSI01S_06_01220,ltsA,annotation&nbsp;not&nbsp;available,98.1
1223544.GSI01S_28_00290,pcaD,annotation&nbsp;not&nbsp;available,98.1
1223544.GSI01S_27_00380,GAC61989.1,2-isopropylmalate&nbsp;synthase,98.0
1223544.GSI01S_02_00860,GAC59445.1,annotation&nbsp;not&nbsp;available,98.0
1223544.GSI01S_27_00480,GAC61999.1,annotation&nbsp;not&nbsp;available,98.0
1223544.GSI01S_03_00730,sufD,annotation&nbsp;not&nbsp;available,98.0
1223544.GSI01S_39_00400,metB,annotation&nbsp;not&nbsp;available,98.0
1223544.GSI01S_15_01450,glnD,annotation&nbsp;not&nbsp;available,98.0
1223544.GSI01S_15_00380,nuoJ,annotation&nbsp;not&nbsp;available,97.9
1223544.GSI01S_25_00690,purD,annotation&nbsp;not&nbsp;available,97.9
1223544.GSI01S_25_00850,otsA,annotation&nbsp;not&nbsp;available,97.9
1223544.GSI01S_03_00360,rpe,annotation&nbsp;not&nbsp;available,97.8
1223544.GSI01S_15_00050,GAC61136.1,annotation&nbsp;not&nbsp;available,97.7
1223544.GSI01S_02_01550,ureE,Urease&nbsp;accessory&nbsp;protein&nbsp;UreE,97.7
1223544.GSI01S_11_00290,GAC60688.1,annotation&nbsp;not&nbsp;available,97.7
1223544.GSI01S_10_01570,GAC60565.1,annotation&nbsp;not&nbsp;available,97.6
1223544.GSI01S_25_00740,GAC61921.1,annotation&nbsp;not&nbsp;available,97.6
1223544.GSI01S_29_00710,GAC62183.1,4-hydroxy-tetrahydrodipicolinate&nbsp;synthase,97.6
1223544.GSI01S_27_00680,GAC62019.1,annotation&nbsp;not&nbsp;available,97.6
1223544.GSI01S_15_00710,GAC61201.1,annotation&nbsp;not&nbsp;available,97.6
1223544.GSI01S_15_00110,GAC61142.1,annotation&nbsp;not&nbsp;available,97.6
1223544.GSI01S_18_00360,cpdA,"3',5'-cyclic&nbsp;adenosine&nbsp;monophosphate&nbsp;phosphodiesterase&nbsp;CpdA",97.6
1223544.GSI01S_02_01630,GAC59520.1,annotation&nbsp;not&nbsp;available,97.5
1223544.GSI01S_28_00320,pat,Putative&nbsp;phenylalanine&nbsp;aminotransferase,97.5
1223544.GSI01S_03_00080,alaS,Alanine--tRNA&nbsp;ligase,97.4
1223544.GSI01S_20_00560,GAC61704.1,annotation&nbsp;not&nbsp;available,97.2
1223544.GSI01S_29_00690,GAC62181.1,annotation&nbsp;not&nbsp;available,97.2
1223544.GSI01S_06_00770,GAC59923.1,annotation&nbsp;not&nbsp;available,97.2
1223544.GSI01S_06_01560,metF,annotation&nbsp;not&nbsp;available,97.1
1223544.GSI01S_46_00150,GAC62862.1,annotation&nbsp;not&nbsp;available,97.0
1223544.GSI01S_08_00590,aroA,3-phosphoshikimate&nbsp;1-carboxyvinyltransferase,96.9
1223544.GSI01S_14_00260,GAC61010.1,annotation&nbsp;not&nbsp;available,96.9
1223544.GSI01S_32_00120,GAC62280.1,3-oxoacyl-[acyl-carrier-protein]&nbsp;synthase&nbsp;3,96.9
1223544.GSI01S_07_00750,rplT,50S&nbsp;ribosomal&nbsp;protein&nbsp;L20,96.9
1223544.GSI01S_05_01620,GAC59841.1,annotation&nbsp;not&nbsp;available,96.9
1223544.GSI01S_10_01010,GAC60509.1,annotation&nbsp;not&nbsp;available,96.9
1223544.GSI01S_01_02020,GAC59238.1,annotation&nbsp;not&nbsp;available,96.8
1223544.GSI01S_05_00090,cobM,annotation&nbsp;not&nbsp;available,96.8
1223544.GSI01S_08_00940,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,96.8
1223544.GSI01S_01_01610,GAC59197.1,annotation&nbsp;not&nbsp;available,96.8
1223544.GSI01S_15_01150,ndk,Nucleoside&nbsp;diphosphate&nbsp;kinase,96.8
1223544.GSI01S_15_01170,rplU,50S&nbsp;ribosomal&nbsp;protein&nbsp;L21,96.7
1223544.GSI01S_02_00840,GAC59443.1,annotation&nbsp;not&nbsp;available,96.7
1223544.GSI01S_03_00620,ctaB,Protoheme&nbsp;IX&nbsp;farnesyltransferase,96.7
1223544.GSI01S_10_00180,GAC60426.1,annotation&nbsp;not&nbsp;available,96.7
1223544.GSI01S_25_00400,GAC61888.1,annotation&nbsp;not&nbsp;available,96.6
1223544.GSI01S_01_01120,GAC59149.1,annotation&nbsp;not&nbsp;available,96.6
1223544.GSI01S_30_00310,cysA,Sulfate/thiosulfate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;CysA,96.6
1223544.GSI01S_25_00430,GAC61891.1,annotation&nbsp;not&nbsp;available,96.5
1223544.GSI01S_10_01810,GAC60589.1,annotation&nbsp;not&nbsp;available,96.5
1223544.GSI01S_10_02190,GAC60626.1,annotation&nbsp;not&nbsp;available,96.5
1223544.GSI01S_21_00170,GAC61769.1,annotation&nbsp;not&nbsp;available,96.4
1223544.GSI01S_46_00170,GAC62864.1,annotation&nbsp;not&nbsp;available,96.4
1223544.GSI01S_03_00500,secG,annotation&nbsp;not&nbsp;available,96.4
1223544.GSI01S_29_00790,aroP,annotation&nbsp;not&nbsp;available,96.4
1223544.GSI01S_10_01650,mutT,annotation&nbsp;not&nbsp;available,96.4
1223544.GSI01S_19_00380,GAC61574.1,annotation&nbsp;not&nbsp;available,96.4
1223544.GSI01S_34_00220,GAC62410.1,annotation&nbsp;not&nbsp;available,96.3
1223544.GSI01S_38_00170,GAC62570.1,annotation&nbsp;not&nbsp;available,96.3
1223544.GSI01S_11_00600,gabD,annotation&nbsp;not&nbsp;available,96.3
1223544.GSI01S_36_00060,GAC62511.1,annotation&nbsp;not&nbsp;available,96.2
1223544.GSI01S_06_01430,GAC59986.1,annotation&nbsp;not&nbsp;available,96.2
