317655.Sala_2783,pheT,annotation&nbsp;not&nbsp;available,98.9
317655.Sala_1211,topA,DNA&nbsp;topoisomerase&nbsp;1,98.9
317655.Sala_0516,Sala_0516,annotation&nbsp;not&nbsp;available,98.8
317655.Sala_0556,Sala_0556,annotation&nbsp;not&nbsp;available,98.8
317655.Sala_1731,dapA,4-hydroxy-tetrahydrodipicolinate&nbsp;synthase,98.7
317655.Sala_2972,gyrB,DNA&nbsp;gyrase&nbsp;subunit&nbsp;B,98.6
317655.Sala_3188,rpsT,30S&nbsp;ribosomal&nbsp;protein&nbsp;S20,98.5
317655.Sala_1574,Sala_1574,annotation&nbsp;not&nbsp;available,98.5
317655.Sala_0481,Sala_0481,annotation&nbsp;not&nbsp;available,98.4
317655.Sala_0265,infC,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-3,98.4
317655.Sala_1527,cysD,annotation&nbsp;not&nbsp;available,98.3
317655.Sala_0844,Sala_0844,annotation&nbsp;not&nbsp;available,98.3
317655.Sala_2800,rpmD,annotation&nbsp;not&nbsp;available,98.3
317655.Sala_0051,Sala_0051,annotation&nbsp;not&nbsp;available,98.3
317655.Sala_1022,Sala_1022,annotation&nbsp;not&nbsp;available,98.2
317655.Sala_1230,proS,Proline--tRNA&nbsp;ligase,98.1
317655.Sala_2230,mdh,Malate&nbsp;dehydrogenase,98.1
317655.Sala_2813,rplV,50S&nbsp;ribosomal&nbsp;protein&nbsp;L22,98.0
317655.Sala_1155,Sala_1155,annotation&nbsp;not&nbsp;available,98.0
317655.Sala_1382,Sala_1382,annotation&nbsp;not&nbsp;available,98.0
317655.Sala_1059,Sala_1059,annotation&nbsp;not&nbsp;available,97.8
317655.Sala_1313,Sala_1313,annotation&nbsp;not&nbsp;available,97.6
317655.Sala_3023,Sala_3023,annotation&nbsp;not&nbsp;available,97.6
317655.Sala_1707,recF,DNA&nbsp;replication&nbsp;and&nbsp;repair&nbsp;protein&nbsp;RecF,97.5
317655.Sala_1503,Sala_1503,annotation&nbsp;not&nbsp;available,97.4
317655.Sala_1495,Sala_1495,30S&nbsp;ribosomal&nbsp;protein&nbsp;S1,97.4
317655.Sala_1077,atpE,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,97.3
317655.Sala_1700,rplL,50S&nbsp;ribosomal&nbsp;protein&nbsp;L7/L12,97.3
317655.Sala_1743,rpoH,annotation&nbsp;not&nbsp;available,97.2
317655.Sala_0199,gpsA2,annotation&nbsp;not&nbsp;available,97.2
317655.Sala_1656,nadK,NAD&nbsp;kinase,97.2
317655.Sala_1244,Sala_1244,annotation&nbsp;not&nbsp;available,97.1
317655.Sala_2823,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,97.1
317655.Sala_2197,purL,Phosphoribosylformylglycinamidine&nbsp;synthase&nbsp;subunit&nbsp;PurL,97.0
317655.Sala_0343,Sala_0343,annotation&nbsp;not&nbsp;available,96.9
317655.Sala_3197,Sala_3197,annotation&nbsp;not&nbsp;available,96.8
317655.Sala_0496,Sala_0496,annotation&nbsp;not&nbsp;available,96.7
317655.Sala_2945,gltX2,Glutamate--tRNA&nbsp;ligase&nbsp;2,96.6
317655.Sala_1144,tatB,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatB,96.5
317655.Sala_0620,Sala_0620,annotation&nbsp;not&nbsp;available,96.5
317655.Sala_1576,Sala_1576,annotation&nbsp;not&nbsp;available,96.5
317655.Sala_2110,Sala_2110,annotation&nbsp;not&nbsp;available,96.5
317655.Sala_0275,uvrB,UvrABC&nbsp;system&nbsp;protein&nbsp;B,96.5
317655.Sala_2583,Sala_2583,annotation&nbsp;not&nbsp;available,96.4
317655.Sala_1960,rpsB,annotation&nbsp;not&nbsp;available,96.4
317655.Sala_1822,ccmA,Cytochrome&nbsp;c&nbsp;biogenesis&nbsp;ATP-binding&nbsp;export&nbsp;protein&nbsp;CcmA,96.3
317655.Sala_3104,purD,annotation&nbsp;not&nbsp;available,96.1
317655.Sala_1532,Sala_1532,annotation&nbsp;not&nbsp;available,96.0
317655.Sala_1870,gcvH,Glycine&nbsp;cleavage&nbsp;system&nbsp;H&nbsp;protein,96.0
317655.Sala_1761,Sala_1761,Probable&nbsp;cytosol&nbsp;aminopeptidase,96.0
317655.Sala_1406,pyrE,Orotate&nbsp;phosphoribosyltransferase,95.9
317655.Sala_1673,Sala_1673,Cbb3-type&nbsp;cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit,95.9
317655.Sala_2840,aroE,Shikimate&nbsp;dehydrogenase&nbsp;(NADP(+)),95.8
317655.Sala_0890,Sala_0890,annotation&nbsp;not&nbsp;available,95.8
317655.Sala_0441,Sala_0441,annotation&nbsp;not&nbsp;available,95.8
317655.Sala_0738,Sala_0738,Aldose&nbsp;1-epimerase,95.8
317655.Sala_0758,Sala_0758,annotation&nbsp;not&nbsp;available,95.7
317655.Sala_1329,Sala_1329,annotation&nbsp;not&nbsp;available,95.7
317655.Sala_1331,Sala_1331,annotation&nbsp;not&nbsp;available,95.6
317655.Sala_1309,nuoC,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;C,95.5
317655.Sala_1817,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,95.4
317655.Sala_1663,Sala_1663,annotation&nbsp;not&nbsp;available,95.4
317655.Sala_1037,Sala_1037,annotation&nbsp;not&nbsp;available,95.4
317655.Sala_3089,Sala_3089,annotation&nbsp;not&nbsp;available,95.3
317655.Sala_2042,rpmA,annotation&nbsp;not&nbsp;available,95.3
317655.Sala_0826,Sala_0826,annotation&nbsp;not&nbsp;available,95.3
317655.Sala_1079,Sala_1079,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,95.1
317655.Sala_0157,Sala_0157,annotation&nbsp;not&nbsp;available,95.1
317655.Sala_0566,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,95.0
317655.Sala_2512,Sala_2512,annotation&nbsp;not&nbsp;available,94.9
317655.Sala_1589,Sala_1589,annotation&nbsp;not&nbsp;available,94.6
317655.Sala_1006,Sala_1006,annotation&nbsp;not&nbsp;available,94.5
317655.Sala_0770,Sala_0770,annotation&nbsp;not&nbsp;available,94.5
317655.Sala_0564,rplQ,annotation&nbsp;not&nbsp;available,94.4
317655.Sala_1602,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,94.4
317655.Sala_1264,Sala_1264,annotation&nbsp;not&nbsp;available,94.3
317655.Sala_3128,Sala_3128,annotation&nbsp;not&nbsp;available,94.2
317655.Sala_0112,Sala_0112,annotation&nbsp;not&nbsp;available,94.1
317655.Sala_0353,Sala_0353,annotation&nbsp;not&nbsp;available,94.1
317655.Sala_0035,Sala_0035,annotation&nbsp;not&nbsp;available,94.0
317655.Sala_1637,Sala_1637,annotation&nbsp;not&nbsp;available,93.9
317655.Sala_1760,Sala_1760,annotation&nbsp;not&nbsp;available,93.8
317655.Sala_0045,proC,Pyrroline-5-carboxylate&nbsp;reductase,93.8
317655.Sala_1517,ccmE,Cytochrome&nbsp;c-type&nbsp;biogenesis&nbsp;protein&nbsp;CcmE,93.8
317655.Sala_0169,Sala_0169,annotation&nbsp;not&nbsp;available,93.7
317655.Sala_2229,sucD,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;alpha,93.6
317655.Sala_1410,Sala_1410,annotation&nbsp;not&nbsp;available,93.5
317655.Sala_0842,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;B,93.4
317655.Sala_0161,Sala_0161,annotation&nbsp;not&nbsp;available,93.4
317655.Sala_3198,Sala_3198,annotation&nbsp;not&nbsp;available,93.4
317655.Sala_1134,rnhA,Ribonuclease&nbsp;H,93.2
317655.Sala_1263,Sala_1263,annotation&nbsp;not&nbsp;available,93.2
317655.Sala_1485,rpoC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta',93.1
317655.Sala_2234,Sala_2234,annotation&nbsp;not&nbsp;available,93.0
317655.Sala_0692,thrS,Threonine--tRNA&nbsp;ligase,93.0
317655.Sala_1507,Sala_1507,annotation&nbsp;not&nbsp;available,93.0
317655.Sala_3032,Sala_3032,annotation&nbsp;not&nbsp;available,92.9
317655.Sala_0736,Sala_0736,annotation&nbsp;not&nbsp;available,92.9
317655.Sala_0834,moaC,Cyclic&nbsp;pyranopterin&nbsp;monophosphate&nbsp;synthase,92.8
317655.Sala_1412,Sala_1412,annotation&nbsp;not&nbsp;available,92.7
317655.Sala_2380,hisE,annotation&nbsp;not&nbsp;available,92.7
317655.Sala_1182,Sala_1182,Molybdenum&nbsp;cofactor&nbsp;biosynthesis&nbsp;protein&nbsp;B,92.6
317655.Sala_3205,Sala_3205,annotation&nbsp;not&nbsp;available,92.6
317655.Sala_0543,pnp,Polyribonucleotide&nbsp;nucleotidyltransferase,92.5
317655.Sala_0121,Sala_0121,annotation&nbsp;not&nbsp;available,92.4
317655.Sala_1559,Sala_1559,annotation&nbsp;not&nbsp;available,92.4
317655.Sala_1297,Sala_1297,annotation&nbsp;not&nbsp;available,92.2
317655.Sala_2803,rplF,50S&nbsp;ribosomal&nbsp;protein&nbsp;L6,92.1
317655.Sala_3158,Sala_3158,annotation&nbsp;not&nbsp;available,92.0
317655.Sala_0545,bamD,Outer&nbsp;membrane&nbsp;protein&nbsp;assembly&nbsp;factor&nbsp;BamD,91.9
317655.Sala_0279,Sala_0279,annotation&nbsp;not&nbsp;available,91.9
317655.Sala_0721,surE,5'-nucleotidase&nbsp;SurE,91.8
317655.Sala_0280,acpP,Acyl&nbsp;carrier&nbsp;protein,91.7
317655.Sala_1136,ispH,4-hydroxy-3-methylbut-2-enyl&nbsp;diphosphate&nbsp;reductase,91.7
317655.Sala_2287,atpG,ATP&nbsp;synthase&nbsp;gamma&nbsp;chain,91.7
317655.Sala_1213,rnc,Ribonuclease&nbsp;3,91.7
317655.Sala_2009,Sala_2009,Adenine&nbsp;deaminase,91.7
317655.Sala_1185,Sala_1185,annotation&nbsp;not&nbsp;available,91.7
317655.Sala_2129,leuC,3-isopropylmalate&nbsp;dehydratase&nbsp;large&nbsp;subunit,91.6
317655.Sala_3155,gmk,Guanylate&nbsp;kinase,91.6
317655.Sala_1437,aroQ,3-dehydroquinate&nbsp;dehydratase,91.6
317655.Sala_0312,Sala_0312,annotation&nbsp;not&nbsp;available,91.5
317655.Sala_0581,proA,Gamma-glutamyl&nbsp;phosphate&nbsp;reductase,91.3
317655.Sala_0621,Sala_0621,annotation&nbsp;not&nbsp;available,91.3
317655.Sala_1267,Sala_1267,annotation&nbsp;not&nbsp;available,91.2
317655.Sala_2140,Sala_2140,annotation&nbsp;not&nbsp;available,91.2
317655.Sala_0756,dinB,DNA&nbsp;polymerase&nbsp;IV,91.1
