760142.Hipma_0012,Hipma_0012,1-deoxy-D-xylulose-5-phosphate&nbsp;synthase,98.8
760142.Hipma_0795,Hipma_0795,6-phosphofructokinase,98.8
760142.Hipma_0005,gyrB,DNA&nbsp;gyrase&nbsp;subunit&nbsp;B,98.7
760142.Hipma_0432,Hipma_0432,Tryptophan&nbsp;synthase&nbsp;beta&nbsp;chain,98.6
760142.Hipma_0257,ruvB,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvB,98.5
760142.Hipma_0628,Hipma_0628,KEGG:&nbsp;tin:Tint_1170&nbsp;methyl-accepting&nbsp;chemotaxis&nbsp;sensory&nbsp;transducer,98.5
760142.Hipma_1351,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,98.5
760142.Hipma_0237,nuoH,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;H,98.4
760142.Hipma_1030,Hipma_1030,Peptidoglycan&nbsp;glycosyltransferase,98.2
760142.Hipma_1548,Hipma_1548,Coenzyme&nbsp;A&nbsp;transferase,98.2
760142.Hipma_0455,hslU,ATP-dependent&nbsp;protease&nbsp;ATPase&nbsp;subunit&nbsp;HslU,98.1
760142.Hipma_1215,fabH,3-oxoacyl-[acyl-carrier-protein]&nbsp;synthase&nbsp;3,98.0
760142.Hipma_1268,groL,60&nbsp;kDa&nbsp;chaperonin,97.9
760142.Hipma_0049,Hipma_0049,Extracellular&nbsp;ligand-binding&nbsp;receptor,97.6
760142.Hipma_0993,atpC,ATP&nbsp;synthase&nbsp;epsilon&nbsp;chain,97.6
760142.Hipma_1562,trpD,Anthranilate&nbsp;phosphoribosyltransferase,97.5
760142.Hipma_0300,pheT,COGs:&nbsp;COG0072&nbsp;Phenylalanyl-tRNA&nbsp;synthetase&nbsp;beta&nbsp;subunit,97.4
760142.Hipma_0231,Hipma_0231,COGs:&nbsp;COG0493&nbsp;NADPH-dependent&nbsp;glutamate&nbsp;synthase&nbsp;beta&nbsp;chain&nbsp;and&nbsp;related&nbsp;oxidoreductase,97.2
760142.Hipma_0783,Hipma_0783,"ABC-type&nbsp;transporter,&nbsp;integral&nbsp;membrane&nbsp;subunit",97.2
760142.Hipma_1272,Hipma_1272,COGs:&nbsp;COG2025&nbsp;Electron&nbsp;transfer&nbsp;flavoprotein&nbsp;alpha&nbsp;subunit,97.1
760142.Hipma_1603,Hipma_1603,Iron-chelate-transporting&nbsp;ATPase,97.0
760142.Hipma_1375,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,96.8
760142.Hipma_0353,Hipma_0353,CheW&nbsp;protein,96.7
760142.Hipma_1181,Hipma_1181,"Dihydroorotate&nbsp;dehydrogenase,&nbsp;electron&nbsp;transfer&nbsp;subunit,&nbsp;iron-sulfur&nbsp;cluster&nbsp;binding&nbsp;domain&nbsp;protein",96.7
760142.Hipma_1561,Hipma_1561,Glutamine&nbsp;amidotransferase&nbsp;of&nbsp;anthranilate&nbsp;synthase,96.4
760142.Hipma_0571,Hipma_0571,Response&nbsp;regulator&nbsp;receiver&nbsp;modulated&nbsp;diguanylate&nbsp;phosphodiesterase,96.3
760142.Hipma_1009,Hipma_1009,"ABC-type&nbsp;transporter,&nbsp;integral&nbsp;membrane&nbsp;subunit",96.3
760142.Hipma_1496,glnD,Bifunctional&nbsp;uridylyltransferase/uridylyl-removing&nbsp;enzyme,96.1
760142.Hipma_0449,Hipma_0449,Methyl-accepting&nbsp;chemotaxis&nbsp;sensory&nbsp;transducer&nbsp;with&nbsp;Pas/Pac&nbsp;sensor,96.0
