596320.NEIFL0001_1634,EER55647.1,Aspartokinase,98.9
596320.NEIFL0001_1452,proA,Gamma-glutamyl&nbsp;phosphate&nbsp;reductase,98.9
596320.NEIFL0001_1383,EER56035.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",98.7
596320.NEIFL0001_0348,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,98.6
596320.NEIFL0001_1682,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,98.5
596320.NEIFL0001_2072,EER56878.1,Lipid&nbsp;A&nbsp;biosynthesis&nbsp;(KDO)2-(Lauroyl)-lipid&nbsp;IVA&nbsp;acyltransferase,98.5
596320.NEIFL0001_2012,dnaE,DNA-directed&nbsp;DNA&nbsp;polymerase,98.4
596320.NEIFL0001_0820,EER57414.1,"ABC&nbsp;transporter,&nbsp;substrate-binding&nbsp;protein,&nbsp;family&nbsp;5",98.1
596320.NEIFL0001_1681,rplI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L9,97.9
596320.NEIFL0001_0645,tmk,Thymidylate&nbsp;kinase,97.9
596320.NEIFL0001_0201,fhs,Formate--tetrahydrofolate&nbsp;ligase,97.7
596320.NEIFL0001_0320,EER55600.1,4Fe-4S&nbsp;binding&nbsp;domain&nbsp;protein,97.7
596320.NEIFL0001_1403,tkt,Transketolase,97.7
596320.NEIFL0001_1466,ribB,"3,4-dihydroxy-2-butanone&nbsp;4-phosphate&nbsp;synthase",97.6
596320.NEIFL0001_1428,pssA,CDP-diacylglycerol-serine&nbsp;O-phosphatidyltransferase,97.6
596320.NEIFL0001_1653,sucD,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;alpha,97.4
596320.NEIFL0001_0354,rpmC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L29,97.1
596320.NEIFL0001_1592,zwf,Glucose-6-phosphate&nbsp;1-dehydrogenase,97.1
596320.NEIFL0001_0363,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,97.0
596320.NEIFL0001_0089,petA,Ubiquinol-cytochrome&nbsp;c&nbsp;reductase&nbsp;iron-sulfur&nbsp;subunit,96.9
596320.NEIFL0001_1094,prpB,2-methylisocitrate&nbsp;lyase,96.8
596320.NEIFL0001_1204,iscU,Iron-sulfur&nbsp;cluster&nbsp;assembly&nbsp;scaffold&nbsp;protein&nbsp;IscU,96.8
596320.NEIFL0001_2004,tsaD,tRNA&nbsp;N6-adenosine&nbsp;threonylcarbamoyltransferase,96.7
596320.NEIFL0001_2163,EER57088.1,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31,96.7
596320.NEIFL0001_2389,nuoA,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;A,96.6
596320.NEIFL0001_1976,nrdR,Transcriptional&nbsp;repressor&nbsp;NrdR,96.6
596320.NEIFL0001_1561,EER55698.1,Identified&nbsp;by&nbsp;match&nbsp;to&nbsp;protein&nbsp;family&nbsp;HMM&nbsp;PF00107,96.4
596320.NEIFL0001_0330,rplJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L10,96.4
