1348114.OM33_09850,glk,Glucokinase,98.9
1348114.OM33_01480,OM33_01480,Malate&nbsp;dehydrogenase,98.9
1348114.OM33_01215,OM33_01215,Biotin&nbsp;carboxyl&nbsp;carrier&nbsp;protein&nbsp;of&nbsp;acetyl-CoA&nbsp;carboxylase,98.7
1348114.OM33_10130,rpmI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L35,98.7
1348114.OM33_20845,OM33_20845,3-ketoacyl-ACP&nbsp;reductase,98.7
1348114.OM33_01725,OM33_01725,Acetolactate&nbsp;synthase,98.6
1348114.OM33_14500,OM33_14500,Aldo/keto&nbsp;reductase,98.6
1348114.OM33_09180,ychF,Ribosome-binding&nbsp;ATPase&nbsp;YchF,98.6
1348114.OM33_08730,rnhA,Ribonuclease&nbsp;H,98.6
1348114.OM33_13460,OM33_13460,Ketoglutarate&nbsp;semialdehyde&nbsp;dehydrogenase,98.5
1348114.OM33_02875,OM33_02875,Histidine&nbsp;kinase,98.5
1348114.OM33_09695,ackA,Acetate&nbsp;kinase,98.5
1348114.OM33_03075,OM33_03075,Diguanylate&nbsp;cyclase,98.5
1348114.OM33_16915,OM33_16915,Phosphohydrolase,98.5
1348114.OM33_03145,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,98.4
1348114.OM33_14370,nqrF,Na(+)-translocating&nbsp;NADH-quinone&nbsp;reductase&nbsp;subunit&nbsp;F,98.4
1348114.OM33_00135,OM33_00135,Chemotaxis&nbsp;protein&nbsp;CheY,98.4
1348114.OM33_20135,OM33_20135,LuxR&nbsp;family&nbsp;transcriptional&nbsp;regulator,98.4
1348114.OM33_07820,OM33_07820,Flagellar&nbsp;motor&nbsp;switch&nbsp;protein&nbsp;FliG,98.4
1348114.OM33_01985,lptC,Lipopolysaccharide&nbsp;export&nbsp;system&nbsp;protein&nbsp;LptC,98.3
1348114.OM33_20560,OM33_20560,Uncharacterized&nbsp;protein,98.2
1348114.OM33_06755,xerD,Tyrosine&nbsp;recombinase&nbsp;XerD,98.2
1348114.OM33_06490,argH,Argininosuccinate&nbsp;lyase,98.2
1348114.OM33_20150,OM33_20150,Endonuclease&nbsp;III,98.0
1348114.OM33_02010,OM33_02010,PTS&nbsp;cellobiose&nbsp;transporter&nbsp;subunit&nbsp;IIA,97.9
1348114.OM33_02685,OM33_02685,Fis&nbsp;family&nbsp;transcriptional&nbsp;regulator,97.9
1348114.OM33_09025,lipA,Lipoyl&nbsp;synthase,97.8
1348114.OM33_03695,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,97.8
1348114.OM33_03210,yidC,Membrane&nbsp;protein&nbsp;insertase&nbsp;YidC,97.7
1348114.OM33_00190,OM33_00190,Iron-sulfur&nbsp;cluster&nbsp;assembly&nbsp;scaffold&nbsp;protein&nbsp;IscU,97.7
1348114.OM33_03135,atpA,ATP&nbsp;synthase&nbsp;subunit&nbsp;alpha,97.6
1348114.OM33_16895,OM33_16895,Uncharacterized&nbsp;protein,97.6
1348114.OM33_10375,clpA,Clp&nbsp;protease&nbsp;ClpX,97.6
1348114.OM33_15460,OM33_15460,Uncharacterized&nbsp;protein,97.5
1348114.OM33_19010,rpmE2,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31&nbsp;type&nbsp;B,97.5
1348114.OM33_13590,ribD,Riboflavin&nbsp;biosynthesis&nbsp;protein&nbsp;RibD,97.4
1348114.OM33_01720,ilvE,Branched-chain-amino-acid&nbsp;aminotransferase,97.3
1348114.OM33_05815,OM33_05815,Transcriptional&nbsp;regulator&nbsp;PhoB,97.3
1348114.OM33_03850,nusG,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusG,97.2
1348114.OM33_20490,OM33_20490,Uncharacterized&nbsp;protein,97.2
1348114.OM33_14545,OM33_14545,Ammonium&nbsp;transporter,97.1
1348114.OM33_04570,leuB,3-isopropylmalate&nbsp;dehydrogenase,97.1
1348114.OM33_20980,OM33_20980,Uncharacterized&nbsp;protein,97.0
1348114.OM33_13820,OM33_13820,ABC&nbsp;transporter,96.9
1348114.OM33_05840,panB,3-methyl-2-oxobutanoate&nbsp;hydroxymethyltransferase,96.9
1348114.OM33_07350,aroC,Chorismate&nbsp;synthase,96.8
1348114.OM33_13535,OM33_13535,Flagellar&nbsp;motor&nbsp;protein&nbsp;PomA,96.8
1348114.OM33_05760,OM33_05760,Transketolase,96.8
1348114.OM33_01460,OM33_01460,Penicillin-sensitive&nbsp;transpeptidase,96.6
1348114.OM33_09680,OM33_09680,Uncharacterized&nbsp;protein,96.5
1348114.OM33_08350,OM33_08350,Preprotein&nbsp;translocase&nbsp;subunit&nbsp;SecG,96.5
1348114.OM33_05060,OM33_05060,Carbamoyl&nbsp;phosphate&nbsp;synthase&nbsp;large&nbsp;subunit,96.4
1348114.OM33_07635,OM33_07635,Translation&nbsp;initiation&nbsp;factor&nbsp;SUI1,96.4
1348114.OM33_06920,OM33_06920,Histidine&nbsp;kinase,96.4
1348114.OM33_18355,OM33_18355,Arginase,96.4
1348114.OM33_11800,OM33_11800,2-hydroxyacid&nbsp;dehydrogenase,96.4
1348114.OM33_06320,OM33_06320,Uncharacterized&nbsp;protein,96.3
1348114.OM33_10020,OM33_10020,Cytokinin&nbsp;riboside&nbsp;5'-monophosphate&nbsp;phosphoribohydrolase,96.3
1348114.OM33_08090,OM33_08090,4-hydroxyphenylpyruvate&nbsp;dioxygenase,96.2
1348114.OM33_06185,OM33_06185,Diadenosine&nbsp;tetraphosphatase,96.2
1348114.OM33_00175,hscA,Chaperone&nbsp;protein&nbsp;HscA&nbsp;homolog,96.2
1348114.OM33_02225,OM33_02225,Histidine&nbsp;kinase,96.2
1348114.OM33_19570,OM33_19570,Histidine&nbsp;ammonia-lyase,96.2
1348114.OM33_11240,OM33_11240,Deoxyguanosinetriphosphate&nbsp;triphosphohydrolase-like&nbsp;protein,96.1
1348114.OM33_11260,OM33_11260,Uncharacterized&nbsp;protein,96.1
1348114.OM33_14075,OM33_14075,DNA&nbsp;helicase,96.1
1348114.OM33_05090,OM33_05090,UDP-N-acetylglucosamine&nbsp;2-epimerase,96.1
1348114.OM33_17895,OM33_17895,Uncharacterized&nbsp;protein,96.1
1348114.OM33_03835,OM33_03835,Elongation&nbsp;factor&nbsp;G,96.0
1348114.OM33_08915,tolB,Protein&nbsp;TolB,96.0
1348114.OM33_06775,lysS,Lysine--tRNA&nbsp;ligase,96.0
1348114.OM33_03735,rpmD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L30,96.0
1348114.OM33_11390,OM33_11390,3-ketoacyl-ACP&nbsp;reductase,95.9
1348114.OM33_02230,ompR,Osmolarity&nbsp;response&nbsp;regulator,95.9
1348114.OM33_12910,OM33_12910,Peptide&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,95.9
1348114.OM33_19050,OM33_19050,Uncharacterized&nbsp;protein,95.9
1348114.OM33_06435,bamB,Outer&nbsp;membrane&nbsp;protein&nbsp;assembly&nbsp;factor&nbsp;BamB,95.8
1348114.OM33_01635,OM33_01635,Coproporphyrinogen-III&nbsp;oxidase,95.8
1348114.OM33_03620,OM33_03620,Nitroreductase,95.8
1348114.OM33_18970,OM33_18970,Uncharacterized&nbsp;protein,95.8
1348114.OM33_06400,ndk,Nucleoside&nbsp;diphosphate&nbsp;kinase,95.8
1348114.OM33_05690,uppP,Undecaprenyl-diphosphatase,95.7
1348114.OM33_02410,OM33_02410,Uncharacterized&nbsp;protein,95.7
1348114.OM33_04575,leuC,3-isopropylmalate&nbsp;dehydratase&nbsp;large&nbsp;subunit,95.7
1348114.OM33_08825,purN,Phosphoribosylglycinamide&nbsp;formyltransferase,95.7
1348114.OM33_06770,prfB,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;2,95.7
1348114.OM33_00770,OM33_00770,Efflux&nbsp;pump&nbsp;membrane&nbsp;transporter,95.6
1348114.OM33_12680,OM33_12680,DNA&nbsp;polymerase,95.6
1348114.OM33_06985,OM33_06985,"Together&nbsp;with&nbsp;GalF&nbsp;subunit&nbsp;composes&nbsp;the&nbsp;UTP--glucose-1-phosphate&nbsp;uridylyltransferase,&nbsp;an&nbsp;enzyme&nbsp;that&nbsp;catalyzes&nbsp;the&nbsp;formation&nbsp;of&nbsp;UDP-glucose&nbsp;from&nbsp;UTP&nbsp;and&nbsp;alpha-D-glucose&nbsp;1-phosphate",95.6
1348114.OM33_07310,fadI,3-ketoacyl-CoA&nbsp;thiolase,95.6
1348114.OM33_01880,OM33_01880,Derived&nbsp;by&nbsp;automated&nbsp;computational&nbsp;analysis&nbsp;using&nbsp;gene&nbsp;prediction&nbsp;method:&nbsp;Protein&nbsp;Homology,95.5
1348114.OM33_17745,OM33_17745,Uncharacterized&nbsp;protein,95.5
1348114.OM33_13400,OM33_13400,Probable&nbsp;cytosol&nbsp;aminopeptidase,95.5
