1028800.RG540_CH22920,sbpA,annotation&nbsp;not&nbsp;available,98.9
1028800.RG540_CH40080,leuD,3-isopropylmalate&nbsp;dehydratase&nbsp;small&nbsp;subunit,98.9
1028800.RG540_PA12210,CDN51897.1,annotation&nbsp;not&nbsp;available,98.9
1028800.RG540_CH37860,thiQ,Thiamine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;ThiQ,98.8
1028800.RG540_CH27970,urtE,annotation&nbsp;not&nbsp;available,98.8
1028800.RG540_PA06980,CDN51374.1,annotation&nbsp;not&nbsp;available,98.8
1028800.RG540_CH18040,CDN47975.1,annotation&nbsp;not&nbsp;available,98.7
1028800.RG540_CH40260,acsA,Acetyl-coenzyme&nbsp;A&nbsp;synthetase,98.7
1028800.RG540_PA03300,CDN51008.1,annotation&nbsp;not&nbsp;available,98.7
1028800.RG540_CH02130,CDN46408.1,Bifunctional&nbsp;protein&nbsp;FolD,98.6
1028800.RG540_PA03190,CDN50997.1,annotation&nbsp;not&nbsp;available,98.6
1028800.RG540_CH30110,CDN49176.1,annotation&nbsp;not&nbsp;available,98.5
1028800.RG540_PA04880,CDN51166.1,annotation&nbsp;not&nbsp;available,98.5
1028800.RG540_CH30840,CDN49249.1,annotation&nbsp;not&nbsp;available,98.5
1028800.RG540_CH01500,CDN46345.1,Chemotaxis&nbsp;protein&nbsp;methyltransferase,98.5
1028800.RG540_CH03990,CDN46590.1,Glutaredoxin,98.4
1028800.RG540_PA07410,CDN51417.1,annotation&nbsp;not&nbsp;available,98.4
1028800.RG540_CH42630,CDN50405.1,annotation&nbsp;not&nbsp;available,98.3
1028800.RG540_CH38440,CDN50000.1,annotation&nbsp;not&nbsp;available,98.3
1028800.RG540_CH15700,clpA,annotation&nbsp;not&nbsp;available,98.3
1028800.RG540_CH08930,cycH,annotation&nbsp;not&nbsp;available,98.3
1028800.RG540_CH43030,CDN50445.1,annotation&nbsp;not&nbsp;available,98.2
1028800.RG540_CH20230,CDN48192.1,annotation&nbsp;not&nbsp;available,98.1
1028800.RG540_CH05060,CDN46697.1,annotation&nbsp;not&nbsp;available,98.0
1028800.RG540_CH42930,recF,DNA&nbsp;replication&nbsp;and&nbsp;repair&nbsp;protein&nbsp;RecF,98.0
1028800.RG540_PA13490,CDN52025.1,annotation&nbsp;not&nbsp;available,98.0
1028800.RG540_CH23260,CDN48494.1,annotation&nbsp;not&nbsp;available,97.9
1028800.RG540_CH36450,CDN49802.1,annotation&nbsp;not&nbsp;available,97.9
1028800.RG540_CH00230,CDN46221.1,annotation&nbsp;not&nbsp;available,97.9
1028800.RG540_CH29280,CDN49094.1,dTDP-4-dehydrorhamnose&nbsp;reductase,97.9
1028800.RG540_CH15660,CDN47738.1,annotation&nbsp;not&nbsp;available,97.8
1028800.RG540_PA08590,panB,3-methyl-2-oxobutanoate&nbsp;hydroxymethyltransferase,97.8
1028800.RG540_PA09110,CDN51587.1,annotation&nbsp;not&nbsp;available,97.8
