755178.Cyan10605_0379,AFZ52524.1,L-amino-acid&nbsp;oxidase,98.9
755178.Cyan10605_2613,AFZ54688.1,PFAM:&nbsp;Bacterial&nbsp;extracellular&nbsp;solute-binding&nbsp;protein,98.8
755178.Cyan10605_1976,AFZ54071.1,Beta&nbsp;sliding&nbsp;clamp,98.7
755178.Cyan10605_2072,petN,Cytochrome&nbsp;b6-f&nbsp;complex&nbsp;subunit&nbsp;8,98.6
755178.Cyan10605_0508,rplO,50S&nbsp;ribosomal&nbsp;protein&nbsp;L15,98.6
755178.Cyan10605_1067,AFZ53191.1,"Carbohydrate&nbsp;ABC&nbsp;transporter&nbsp;membrane&nbsp;protein&nbsp;2,&nbsp;CUT1&nbsp;family",98.5
755178.Cyan10605_3339,AFZ55381.1,PFAM:&nbsp;Delta-aminolevulinic&nbsp;acid&nbsp;dehydratase,98.5
755178.Cyan10605_0131,ribBA,Riboflavin&nbsp;biosynthesis&nbsp;protein&nbsp;RibBA,98.4
755178.Cyan10605_3077,sasA,Adaptive-response&nbsp;sensory-kinase&nbsp;SasA,98.4
755178.Cyan10605_1958,prfB,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;2,98.3
755178.Cyan10605_1577,rpmI,PFAM:&nbsp;Ribosomal&nbsp;protein&nbsp;L35,98.2
755178.Cyan10605_2221,purQ,Phosphoribosylformylglycinamidine&nbsp;synthase&nbsp;subunit&nbsp;PurQ,98.1
755178.Cyan10605_2579,AFZ54657.1,Biotin&nbsp;carboxyl&nbsp;carrier&nbsp;protein&nbsp;of&nbsp;acetyl-CoA&nbsp;carboxylase,98.0
755178.Cyan10605_0768,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,97.8
755178.Cyan10605_2424,AFZ54506.1,Photosystem&nbsp;II&nbsp;protein&nbsp;D1,97.4
755178.Cyan10605_3434,pyrH,Uridylate&nbsp;kinase,97.4
755178.Cyan10605_0561,hisG,ATP&nbsp;phosphoribosyltransferase,97.2
755178.Cyan10605_2809,fbp,"Fructose-1,6-bisphosphatase&nbsp;class&nbsp;1",97.2
755178.Cyan10605_1525,AFZ53634.1,"Two&nbsp;component&nbsp;transcriptional&nbsp;regulator,&nbsp;winged&nbsp;helix&nbsp;family",97.0
755178.Cyan10605_1666,AFZ53771.1,PFAM:&nbsp;Periplasmic&nbsp;solute&nbsp;binding&nbsp;protein&nbsp;family,97.0
755178.Cyan10605_2490,AFZ54571.1,Urea&nbsp;ABC&nbsp;transporter&nbsp;membrane&nbsp;protein,97.0
755178.Cyan10605_0605,AFZ52744.1,"Two&nbsp;component&nbsp;transcriptional&nbsp;regulator,&nbsp;winged&nbsp;helix&nbsp;family",96.9
755178.Cyan10605_0769,AFZ52902.1,ATP&nbsp;synthase&nbsp;subunit&nbsp;b',96.9
