1207058.L53_13075,L53_13075,D-3-phosphoglycerate&nbsp;dehydrogenase,98.9
1207058.L53_12740,L53_12740,Uncharacterized&nbsp;protein,98.9
1207058.L53_04865,hisC,Histidinol-phosphate&nbsp;aminotransferase,98.9
1207058.L53_03405,L53_03405,Uncharacterized&nbsp;protein,98.8
1207058.L53_02000,L53_02000,Organic&nbsp;solvent&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,98.8
1207058.L53_08410,L53_08410,Gamma-glutamyl&nbsp;phosphate&nbsp;reductase,98.8
1207058.L53_05090,L53_05090,Uncharacterized&nbsp;protein,98.8
1207058.L53_15215,rplK,50S&nbsp;ribosomal&nbsp;protein&nbsp;L11,98.7
1207058.L53_14760,L53_14760,NADH:ubiquinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;M,98.7
1207058.L53_08270,L53_08270,Uncharacterized&nbsp;protein,98.6
1207058.L53_12755,dnaK,Chaperone&nbsp;protein&nbsp;DnaK,98.6
1207058.L53_12010,L53_12010,GDP-mannose-dependent&nbsp;alpha-mannosyltransferase,98.6
1207058.L53_01930,L53_01930,Uncharacterized&nbsp;protein,98.6
1207058.L53_11820,L53_11820,Uncharacterized&nbsp;protein,98.5
1207058.L53_03065,L53_03065,Uncharacterized&nbsp;protein,98.5
1207058.L53_13280,L53_13280,Uncharacterized&nbsp;protein,98.2
1207058.L53_14980,tmk,Thymidylate&nbsp;kinase,98.1
1207058.L53_06445,L53_06445,Aminotransferase,98.1
1207058.L53_16030,L53_16030,Phage-associated&nbsp;protein,98.1
1207058.L53_07460,rplD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L4,98.0
1207058.L53_14970,rlpA,Endolytic&nbsp;peptidoglycan&nbsp;transglycosylase&nbsp;RlpA,98.0
1207058.L53_13510,ppa,Inorganic&nbsp;pyrophosphatase,97.9
1207058.L53_07800,L53_07800,Uncharacterized&nbsp;protein,97.9
1207058.L53_15660,L53_15660,Uncharacterized&nbsp;protein,97.9
1207058.L53_00945,L53_00945,Helicase,97.8
1207058.L53_06700,L53_06700,Acyl-CoA&nbsp;dehydrogenase,97.6
1207058.L53_04540,pepA,Probable&nbsp;cytosol&nbsp;aminopeptidase,97.5
1207058.L53_02995,L53_02995,Uncharacterized&nbsp;protein,97.4
1207058.L53_13880,L53_13880,Uncharacterized&nbsp;protein,97.4
1207058.L53_09040,L53_09040,Acyl-CoA&nbsp;dehydrogenase,97.4
1207058.L53_11985,L53_11985,Uncharacterized&nbsp;protein,97.3
1207058.L53_13655,L53_13655,3-isopropylmalate&nbsp;dehydratase&nbsp;small&nbsp;subunit,97.3
1207058.L53_01795,clpA,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;ATP-binding&nbsp;protein,97.2
1207058.L53_04730,accA,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;alpha,97.2
1207058.L53_15160,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,97.2
1207058.L53_05750,rpiA,Ribose-5-phosphate&nbsp;isomerase&nbsp;A,97.2
1207058.L53_09635,fabH,3-oxoacyl-[acyl-carrier-protein]&nbsp;synthase&nbsp;3,97.1
1207058.L53_16040,secE,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecE,97.0
1207058.L53_15750,hslV,ATP-dependent&nbsp;protease&nbsp;subunit&nbsp;HslV,97.0
1207058.L53_16585,hisH,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisH,97.0
1207058.L53_14750,nuoK,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;K,96.8
1207058.L53_03160,L53_03160,Pyrroline-5-carboxylate&nbsp;reductase,96.8
1207058.L53_03185,L53_03185,Methylmalonate-semialdehyde&nbsp;dehydrogenase,96.8
1207058.L53_06560,nadA,Quinolinate&nbsp;synthase&nbsp;A,96.8
1207058.L53_06430,L53_06430,C4-dicarboxylate&nbsp;ABC&nbsp;transporter,96.8
1207058.L53_16090,L53_16090,Aldolase,96.8
1207058.L53_11685,L53_11685,Uncharacterized&nbsp;protein,96.7
1207058.L53_08375,L53_08375,Uncharacterized&nbsp;protein,96.7
1207058.L53_03830,L53_03830,Aminotransferase,96.6
1207058.L53_09555,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,96.6
1207058.L53_12300,L53_12300,Uncharacterized&nbsp;protein,96.6
1207058.L53_14700,nuoA,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;A,96.5
1207058.L53_04640,gatA,Glutamyl-tRNA(Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;A,96.5
1207058.L53_06705,L53_06705,Uncharacterized&nbsp;protein,96.4
1207058.L53_08830,L53_08830,Uncharacterized&nbsp;protein,96.4
1207058.L53_14255,L53_14255,Uncharacterized&nbsp;protein,96.4
1207058.L53_10495,L53_10495,Uncharacterized&nbsp;protein,96.4
1207058.L53_00100,L53_00100,Cytochrome&nbsp;b,96.4
1207058.L53_12295,L53_12295,Enoyl-CoA&nbsp;hydratase,96.4
1207058.L53_07975,L53_07975,Histidine&nbsp;kinase,96.3
1207058.L53_03110,L53_03110,Uncharacterized&nbsp;protein,96.3
1207058.L53_15435,L53_15435,Uncharacterized&nbsp;protein,96.3
1207058.L53_09440,L53_09440,Nitroreductase,96.2
1207058.L53_06540,L53_06540,GTP&nbsp;pyrophosphokinase,96.2
1207058.L53_06680,L53_06680,Acetyl-CoA&nbsp;acetyltransferase,96.1
1207058.L53_02895,L53_02895,Uncharacterized&nbsp;protein,96.1
1207058.L53_09175,L53_09175,Molecular&nbsp;chaperone&nbsp;DnaJ,96.1
1207058.L53_04770,L53_04770,Uncharacterized&nbsp;protein,96.1
1207058.L53_07670,L53_07670,Threonine&nbsp;dehydratase,96.0
1207058.L53_12075,L53_12075,Uncharacterized&nbsp;protein,95.9
1207058.L53_12955,L53_12955,Uncharacterized&nbsp;protein,95.8
1207058.L53_09450,pgi,Glucose-6-phosphate&nbsp;isomerase,95.6
1207058.L53_00995,L53_00995,Uncharacterized&nbsp;protein,95.5
1207058.L53_00430,L53_00430,"Catalyzes&nbsp;the&nbsp;formation&nbsp;of&nbsp;2-acetolactate&nbsp;from&nbsp;pyruvate,&nbsp;leucine&nbsp;sensitive",95.5
1207058.L53_13750,ftsY,Signal&nbsp;recognition&nbsp;particle&nbsp;receptor&nbsp;FtsY,95.4
1207058.L53_07465,rplC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L3,95.2
1207058.L53_12760,L53_12760,Uncharacterized&nbsp;protein,95.1
1207058.L53_10790,L53_10790,Uncharacterized&nbsp;protein,95.0
1207058.L53_10975,L53_10975,Uncharacterized&nbsp;protein,94.9
1207058.L53_00280,L53_00280,Uncharacterized&nbsp;protein,94.8
1207058.L53_12735,L53_12735,Uncharacterized&nbsp;protein,94.6
1207058.L53_15490,prfA,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;1,94.5
1207058.L53_14325,accD,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;beta,94.5
1207058.L53_07385,rplR,50S&nbsp;ribosomal&nbsp;protein&nbsp;L18,94.5
1207058.L53_04070,L53_04070,5-methyltetrahydrofolate--homocysteine&nbsp;methyltransferase,94.4
1207058.L53_15335,L53_15335,Acyl-CoA&nbsp;dehydrogenase,94.4
1207058.L53_03130,L53_03130,Uncharacterized&nbsp;protein,94.3
1207058.L53_07430,rplP,50S&nbsp;ribosomal&nbsp;protein&nbsp;L16,94.1
1207058.L53_14765,nuoN,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;N,94.1
1207058.L53_09050,L53_09050,Uncharacterized&nbsp;protein,94.1
1207058.L53_06395,L53_06395,Uncharacterized&nbsp;protein,94.0
1207058.L53_03835,L53_03835,Homoserine&nbsp;dehydrogenase,94.0
1207058.L53_06595,glyS,Glycine--tRNA&nbsp;ligase&nbsp;beta&nbsp;subunit,94.0
1207058.L53_02980,L53_02980,Uncharacterized&nbsp;protein,94.0
1207058.L53_05170,L53_05170,Uncharacterized&nbsp;protein,93.8
1207058.L53_13215,L53_13215,Uncharacterized&nbsp;protein,93.7
1207058.L53_12005,L53_12005,Uncharacterized&nbsp;protein,93.7
1207058.L53_03720,L53_03720,Endoglucanase,93.7
1207058.L53_07450,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,93.7
1207058.L53_15675,ackA,Acetate&nbsp;kinase,93.6
1207058.L53_10275,L53_10275,Uncharacterized&nbsp;protein,93.6
1207058.L53_02185,L53_02185,Uncharacterized&nbsp;protein,93.6
