1212548.B381_09711,B381_09711,"Alcohol&nbsp;dehydrogenase,&nbsp;zinc-containing",98.9
1212548.B381_12428,B381_12428,COG0236&nbsp;Acyl&nbsp;carrier&nbsp;protein,98.9
1212548.B381_00221,B381_00221,COG0625&nbsp;Glutathione&nbsp;S-transferase,98.8
1212548.B381_18809,metX,Homoserine&nbsp;O-succinyltransferase,98.8
1212548.B381_11751,B381_11751,DnaJ-like&nbsp;protein&nbsp;DjlA,98.8
1212548.B381_00870,B381_00870,COG1502&nbsp;Phosphatidylserine/phosphatidylglycerophosphate/cardiolipi&nbsp;n&nbsp;synthases&nbsp;and&nbsp;related&nbsp;enzymes,98.8
1212548.B381_02741,B381_02741,COG0526&nbsp;Thiol-disulfide&nbsp;isomerase&nbsp;and&nbsp;thioredoxins,98.7
1212548.B381_08365,B381_08365,2-hydroxy-3-oxopropionate&nbsp;reductase,98.7
1212548.B381_02866,B381_02866,annotation&nbsp;not&nbsp;available,98.7
1212548.B381_12291,B381_12291,Uncharacterized&nbsp;protein,98.7
1212548.B381_02336,panC,Pantothenate&nbsp;synthetase,98.7
1212548.B381_02291,alc,COG4266&nbsp;Allantoicase,98.7
1212548.B381_19841,purT,Formate-dependent&nbsp;phosphoribosylglycinamide&nbsp;formyltransferase,98.6
1212548.B381_04547,clpS,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;adapter&nbsp;protein&nbsp;ClpS,98.5
1212548.B381_21186,B381_21186,COG0331&nbsp;(acyl-carrier-protein)&nbsp;S-malonyltransferase,98.4
1212548.B381_03542,B381_03542,Protein&nbsp;HflK,98.4
1212548.B381_10893,dapA,4-hydroxy-tetrahydrodipicolinate&nbsp;synthase,98.4
1212548.B381_00715,B381_00715,Uncharacterized&nbsp;protein,98.4
1212548.B381_10218,B381_10218,COG2084&nbsp;3-hydroxyisobutyrate&nbsp;dehydrogenase&nbsp;and&nbsp;related&nbsp;beta-hydroxyacid&nbsp;dehydrogenases,98.4
1212548.B381_06971,B381_06971,Superoxide&nbsp;dismutase&nbsp;[Cu-Zn],98.3
1212548.B381_10208,B381_10208,COG1960&nbsp;Acyl-CoA&nbsp;dehydrogenases,98.3
1212548.B381_17519,ddl,D-alanine--D-alanine&nbsp;ligase,98.3
1212548.B381_08834,B381_08834,Sensor/response&nbsp;regulator&nbsp;hybrid,98.2
1212548.B381_17564,ftsL,Cell&nbsp;division&nbsp;protein&nbsp;FtsL,98.2
1212548.B381_20401,B381_20401,D-methionine-binding&nbsp;lipoprotein&nbsp;MetQ,98.2
1212548.B381_19726,B381_19726,Dihydroorotase,98.1
1212548.B381_20306,B381_20306,Two-component&nbsp;response&nbsp;regulator,98.1
1212548.B381_01425,B381_01425,COG2214&nbsp;DnaJ-class&nbsp;molecular&nbsp;chaperone,98.1
1212548.B381_17829,B381_17829,Carbon-nitrogen&nbsp;hydrolase&nbsp;family&nbsp;protein,98.0
1212548.B381_03772,B381_03772,COG0840&nbsp;Methyl-accepting&nbsp;chemotaxis&nbsp;protein,98.0
1212548.B381_20356,B381_20356,Omega&nbsp;amino&nbsp;acid--pyruvate&nbsp;transaminase,98.0
1212548.B381_10278,B381_10278,Histidine&nbsp;kinase,98.0
1212548.B381_12196,B381_12196,COG0488&nbsp;ATPase&nbsp;components&nbsp;of&nbsp;ABC&nbsp;transporters&nbsp;with&nbsp;duplicated&nbsp;ATPase&nbsp;domains,98.0
1212548.B381_09846,B381_09846,D-mannonate&nbsp;oxidoreductase,97.9
1212548.B381_08394,B381_08394,COG2148&nbsp;Sugar&nbsp;transferases&nbsp;involved&nbsp;in&nbsp;lipopolysaccharide&nbsp;synthesis,97.9
1212548.B381_20091,B381_20091,"COG1088&nbsp;dTDP-D-glucose&nbsp;4,6-dehydratase",97.9
1212548.B381_03712,nfi,Endonuclease&nbsp;V,97.9
1212548.B381_19896,B381_19896,Extracellular&nbsp;solute-binding&nbsp;protein,97.9
1212548.B381_20746,B381_20746,COG1560&nbsp;Lauroyl/myristoyl&nbsp;acyltransferase,97.9
1212548.B381_12713,B381_12713,Short&nbsp;chain&nbsp;dehydrogenase,97.9
1212548.B381_17654,coaE,Dephospho-CoA&nbsp;kinase,97.8
