1429046.RR21198_0954,ETT28492.1,Pyruvate&nbsp;dehydrogenase&nbsp;(Acetyl-transferring),98.9
1429046.RR21198_1900,ETT27600.1,Glycerol-3-phosphate&nbsp;dehydrogenase,98.9
1429046.RR21198_3198,ETT26172.1,"PFAM:&nbsp;ABC-type&nbsp;transporter,&nbsp;periplasmic&nbsp;subunit",98.9
1429046.RR21198_5600,ETT29156.1,PFAM:&nbsp;Thioredoxin&nbsp;domain-containing&nbsp;protein,98.8
1429046.RR21198_1874,lexA,LexA&nbsp;repressor,98.8
1429046.RR21198_2548,ETT26806.1,TIGRFAM:&nbsp;succinate&nbsp;dehydrogenase&nbsp;and&nbsp;fumarate&nbsp;reductase&nbsp;iron-sulfur&nbsp;protein,98.8
1429046.RR21198_1853,ETT27553.1,"PFAM:&nbsp;CoA-binding&nbsp;domain&nbsp;protein,&nbsp;GCN5-related&nbsp;N-acetyltransferase",98.8
1429046.RR21198_4521,ETT24688.1,"PFAM:&nbsp;ANTAR&nbsp;domain&nbsp;protein,&nbsp;GAF&nbsp;domain&nbsp;protein",98.7
1429046.RR21198_1699,ETT27782.1,"Transcriptional&nbsp;regulator,&nbsp;XRE&nbsp;family",98.7
1429046.RR21198_4776,gcvP,Glycine&nbsp;dehydrogenase&nbsp;(decarboxylating),98.7
1429046.RR21198_5959,ETT28597.1,Fe(3+)-transporting&nbsp;ATPase,98.7
1429046.RR21198_2622,ETT26717.1,PFAM:&nbsp;short-chain&nbsp;dehydrogenase/reductase&nbsp;SDR,98.7
1429046.RR21198_0438,ETT23765.1,3-phenylpropanoate&nbsp;dioxygenase,98.7
1429046.RR21198_5137,ETT23940.1,"TIGRFAM:&nbsp;mannose-6-phosphate&nbsp;isomerase,&nbsp;class&nbsp;I",98.7
1429046.RR21198_3623,ETT25752.1,PFAM:&nbsp;nitrogen&nbsp;regulatory&nbsp;protein&nbsp;P-II,98.6
1429046.RR21198_3758,egtE,Probable&nbsp;hercynylcysteine&nbsp;sulfoxide&nbsp;lyase,98.6
1429046.RR21198_1617,ETT27700.1,"PFAM:&nbsp;type&nbsp;I&nbsp;phosphodiesterase/nucleotide&nbsp;pyrophosphatase,&nbsp;membrane&nbsp;protein&nbsp;of&nbsp;unknown&nbsp;function",98.6
1429046.RR21198_0666,ETT23390.1,TIGRFAM:&nbsp;glycine&nbsp;oxidase&nbsp;ThiO,98.6
1429046.RR21198_1480,ETT28123.1,PFAM:&nbsp;tRNA/rRNA&nbsp;methyltransferase&nbsp;(SpoU),98.6
1429046.RR21198_5796,ETT28968.1,PFAM:&nbsp;Mammalian&nbsp;cell&nbsp;entry&nbsp;related&nbsp;domain&nbsp;protein,98.6
1429046.RR21198_0151,ETT25104.1,PFAM:&nbsp;extracellular&nbsp;solute-binding&nbsp;protein&nbsp;family&nbsp;1,98.6
1429046.RR21198_3220,ETT26130.1,PFAM:&nbsp;MaoC&nbsp;domain&nbsp;protein&nbsp;dehydratase,98.5
1429046.RR21198_3572,proS,Proline--tRNA&nbsp;ligase,98.5
1429046.RR21198_5795,ETT28967.1,PFAM:&nbsp;Mammalian&nbsp;cell&nbsp;entry&nbsp;related&nbsp;domain&nbsp;protein,98.5
1429046.RR21198_2751,ETT26579.1,PFAM:&nbsp;acyl-CoA&nbsp;dehydrogenase&nbsp;domain-containing&nbsp;protein,98.5
1429046.RR21198_0548,ETT23272.1,"PFAM:&nbsp;oxidoreductase&nbsp;molybdopterin&nbsp;binding&nbsp;protein,&nbsp;Mo-co&nbsp;oxidoreductase&nbsp;dimerization&nbsp;domain-containing&nbsp;protein",98.5
1429046.RR21198_3033,ETT26531.1,annotation&nbsp;not&nbsp;available,98.4
1429046.RR21198_1375,ETT28018.1,PFAM:&nbsp;glutamate--cysteine&nbsp;ligase&nbsp;GCS2,98.4
1429046.RR21198_1791,pdxT,Pyridoxal&nbsp;5'-phosphate&nbsp;synthase&nbsp;subunit&nbsp;PdxT,98.4
1429046.RR21198_3372,ETT26059.1,annotation&nbsp;not&nbsp;available,98.4
1429046.RR21198_4477,ETT24644.1,PFAM:&nbsp;Nitrilase/cyanide&nbsp;hydratase&nbsp;and&nbsp;apolipoprotein&nbsp;N-acyltransferase,98.4
1429046.RR21198_0659,ETT23383.1,annotation&nbsp;not&nbsp;available,98.3
1429046.RR21198_2290,ETT27327.1,annotation&nbsp;not&nbsp;available,98.3
1429046.RR21198_3797,ETT25501.1,PFAM:&nbsp;iron&nbsp;permease&nbsp;FTR1,98.3
1429046.RR21198_1841,ETT27541.1,Polyphosphate--glucose&nbsp;phosphotransferase,98.3
1429046.RR21198_2305,ETT27342.1,"PFAM:&nbsp;Pyridine&nbsp;nucleotide-disulphide&nbsp;oxidoreductase,&nbsp;FAD/NAD(P)-binding&nbsp;domain,&nbsp;FAD-dependent&nbsp;pyridine&nbsp;nucleotide-disulfide&nbsp;oxidoreductase",98.3
1429046.RR21198_5575,leuB,3-isopropylmalate&nbsp;dehydrogenase,98.3
1429046.RR21198_1457,ETT28100.1,Putative&nbsp;glutamate--cysteine&nbsp;ligase&nbsp;2,98.3
1429046.RR21198_2000,ETT27361.1,PFAM:&nbsp;acyl&nbsp;carrier&nbsp;protein&nbsp;familyprotein,98.2
1429046.RR21198_3410,ETT25893.1,annotation&nbsp;not&nbsp;available,98.2
1429046.RR21198_4105,ribH,"6,7-dimethyl-8-ribityllumazine&nbsp;synthase",98.2
1429046.RR21198_5214,ETT23811.1,"TIGRFAM:&nbsp;Uncharacterized&nbsp;protein&nbsp;family&nbsp;UPF0079,&nbsp;ATPase",98.2
1429046.RR21198_0807,ETT28663.1,PFAM:&nbsp;biotin/lipoyl&nbsp;attachment&nbsp;domain-containing&nbsp;protein,98.2
1429046.RR21198_3747,ETT25451.1,annotation&nbsp;not&nbsp;available,98.1
1429046.RR21198_3970,ETT25295.1,PFAM:&nbsp;acyl-CoA&nbsp;dehydrogenase&nbsp;domain-containing&nbsp;protein,98.1
1429046.RR21198_5773,ETT28981.1,PFAM:&nbsp;5'-Nucleotidase&nbsp;domain-containing&nbsp;protein,98.1
1429046.RR21198_3840,ETT25303.1,Methylcrotonoyl-CoA&nbsp;carboxylase,98.1
1429046.RR21198_1080,ETT28169.1,TIGRFAM:&nbsp;virulence&nbsp;factor&nbsp;Mce&nbsp;family&nbsp;protein,98.1
1429046.RR21198_2260,ETT27297.1,PFAM:&nbsp;short-chain&nbsp;dehydrogenase/reductase&nbsp;SDR,98.0
1429046.RR21198_5324,ETT23647.1,Lysine--tRNA&nbsp;ligase,98.0
1429046.RR21198_4718,tatC,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatC,98.0
1429046.RR21198_0228,rpsT,30S&nbsp;ribosomal&nbsp;protein&nbsp;S20,98.0
1429046.RR21198_5726,ETT29005.1,Chaperone&nbsp;protein&nbsp;DnaJ,98.0
1429046.RR21198_3038,ETT26536.1,Hydroxymethylglutaryl-CoA&nbsp;lyase,98.0
1429046.RR21198_4360,ETT24790.1,TIGRFAM:&nbsp;amidohydrolase,98.0
1429046.RR21198_0932,ETT28470.1,"TIGRFAM:&nbsp;sulfate&nbsp;adenylyltransferase,&nbsp;small&nbsp;subunit",98.0
1429046.RR21198_3958,ETT25421.1,TIGRFAM:&nbsp;virulence&nbsp;factor&nbsp;Mce&nbsp;family&nbsp;protein,98.0
1429046.RR21198_4987,ETT24177.1,"2,4-dienoyl-CoA&nbsp;reductase&nbsp;(NADPH)",97.9
1429046.RR21198_1919,ETT27619.1,"PFAM:&nbsp;cell&nbsp;division&nbsp;FtsK/SpoIIIE,&nbsp;DNA&nbsp;translocase&nbsp;ftsK&nbsp;gamma",97.9
1429046.RR21198_2716,ETT26686.1,Xenobiotic-transporting&nbsp;ATPase,97.9
1429046.RR21198_0653,ETT23377.1,"TIGRFAM:&nbsp;exodeoxyribonuclease&nbsp;III&nbsp;Xth,&nbsp;exodeoxyribonuclease&nbsp;III",97.9
1429046.RR21198_1751,ETT27451.1,PFAM:&nbsp;amino&nbsp;acid&nbsp;permease-associated&nbsp;region,97.9
1429046.RR21198_2791,ETT26619.1,TIGRFAM:&nbsp;thioredoxin,97.9
1429046.RR21198_4934,ETT24210.1,PFAM:&nbsp;Alkaline&nbsp;phosphatase&nbsp;D-related&nbsp;protein,97.8
1429046.RR21198_1689,ETT27772.1,"PFAM:&nbsp;AMP-dependent&nbsp;synthetase&nbsp;and&nbsp;ligase,&nbsp;Domain&nbsp;of&nbsp;unknown&nbsp;function&nbsp;DUF4009",97.8
1429046.RR21198_3733,ETT25611.1,"Transcriptional&nbsp;regulator,&nbsp;MerR&nbsp;family",97.8
1429046.RR21198_3340,ETT26027.1,annotation&nbsp;not&nbsp;available,97.8
1429046.RR21198_4879,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine&nbsp;ligase,97.8
