1141663.OOC_01692,OOC_01692,Ribokinase,98.9
1141663.OOC_19402,metE,5-methyltetrahydropteroyltriglutamate--homocysteine&nbsp;methyltransferase,98.9
1141663.OOC_14099,OOC_14099,NADH-quinone&nbsp;oxidoreductase,98.8
1141663.OOC_09761,OOC_09761,Iron&nbsp;(Chelated)&nbsp;ABC&nbsp;transporter&nbsp;periplasmic-binding&nbsp;protein&nbsp;yfea,98.7
1141663.OOC_15474,OOC_15474,Uncharacterized&nbsp;protein,98.7
1141663.OOC_11191,OOC_11191,5-methyltetrahydropteroyltriglutamate--homocysteine&nbsp;methyltransferase,98.7
1141663.OOC_14894,OOC_14894,Aminopeptidase&nbsp;B,98.6
1141663.OOC_03357,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,98.5
1141663.OOC_12456,OOC_12456,Uncharacterized&nbsp;protein,98.5
1141663.OOC_13164,OOC_13164,Sensor&nbsp;protein&nbsp;PhoQ,98.3
1141663.OOC_12461,OOC_12461,Uncharacterized&nbsp;protein,98.3
1141663.OOC_08923,fliM,Flagellar&nbsp;motor&nbsp;switch&nbsp;protein&nbsp;FliM,98.3
1141663.OOC_16864,OOC_16864,COG0841&nbsp;Cation/multidrug&nbsp;efflux&nbsp;pump,98.3
1141663.OOC_08783,cheB,Chemotaxis&nbsp;response&nbsp;regulator&nbsp;protein-glutamate&nbsp;methylesterase,98.2
1141663.OOC_03022,gppA,"Guanosine-5'-triphosphate,3'-diphosphate&nbsp;pyrophosphatase",98.1
1141663.OOC_08773,OOC_08773,COG0840&nbsp;Methyl-accepting&nbsp;chemotaxis&nbsp;protein,98.0
1141663.OOC_07413,bioC,Malonyl-[acyl-carrier&nbsp;protein]&nbsp;O-methyltransferase,97.9
1141663.OOC_11991,OOC_11991,"COG1173&nbsp;ABC-type&nbsp;dipeptide/oligopeptide/nickel&nbsp;transport&nbsp;systems,&nbsp;permease&nbsp;components",97.8
1141663.OOC_06562,OOC_06562,Amino&nbsp;acid&nbsp;decarboxylase,97.8
1141663.OOC_05692,OOC_05692,ABC&nbsp;transporter&nbsp;periplasmic&nbsp;binding&nbsp;protein&nbsp;MlaC,97.8
1141663.OOC_07168,sucC,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;beta,97.7
1141663.OOC_07148,sdhA,"COG1053&nbsp;Succinate&nbsp;dehydrogenase/fumarate&nbsp;reductase,&nbsp;flavoprotein&nbsp;subunit",97.6
1141663.OOC_04832,OOC_04832,Phosphate&nbsp;propanoyltransferase,97.5
1141663.OOC_07928,OOC_07928,Uncharacterized&nbsp;protein,97.4
1141663.OOC_07908,artM,Arginine&nbsp;transporter&nbsp;permease&nbsp;subunit&nbsp;ArtM,97.2
1141663.OOC_09336,OOC_09336,Transcriptional&nbsp;regulatory&nbsp;protein,97.2
1141663.OOC_03732,OOC_03732,"COG0555&nbsp;ABC-type&nbsp;sulfate&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component",97.2
1141663.OOC_14649,OOC_14649,D-methionine&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,97.2
1141663.OOC_18847,dnaK,Chaperone&nbsp;protein&nbsp;DnaK,97.2
1141663.OOC_06647,cdsA,Phosphatidate&nbsp;cytidylyltransferase,97.1
1141663.OOC_12366,xseA,Exodeoxyribonuclease&nbsp;7&nbsp;large&nbsp;subunit,97.0
1141663.OOC_00455,OOC_00455,Dipeptide&nbsp;transporter&nbsp;permease&nbsp;DppB,97.0
1141663.OOC_15199,OOC_15199,Anti-sigma-E&nbsp;factor&nbsp;RseA,96.9
1141663.OOC_01902,gyrB,DNA&nbsp;gyrase&nbsp;subunit&nbsp;B,96.9
1141663.OOC_17129,OOC_17129,annotation&nbsp;not&nbsp;available,96.9
1141663.OOC_04422,OOC_04422,"COG4606&nbsp;ABC-type&nbsp;enterochelin&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component",96.6
1141663.OOC_19097,prfC,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;3,96.6
1141663.OOC_09921,OOC_09921,Phospho-2-dehydro-3-deoxyheptonate&nbsp;aldolase,96.5
1141663.OOC_12296,OOC_12296,L-serine&nbsp;dehydratase&nbsp;1&nbsp;(SDH&nbsp;1),96.4
1141663.OOC_08203,ihfB,Integration&nbsp;host&nbsp;factor&nbsp;subunit&nbsp;beta,96.4
1141663.OOC_06607,glnD,Bifunctional&nbsp;uridylyltransferase/uridylyl-removing&nbsp;enzyme,96.3
1141663.OOC_08393,sulA,Cell&nbsp;division&nbsp;inhibitor&nbsp;SulA,96.2
1141663.OOC_08843,flgB,Flagellar&nbsp;basal&nbsp;body&nbsp;rod&nbsp;protein&nbsp;FlgB,96.2
1141663.OOC_10141,OOC_10141,"COG1842&nbsp;Phage&nbsp;shock&nbsp;protein&nbsp;A&nbsp;(IM30),&nbsp;suppresses&nbsp;sigma54-dependent&nbsp;transcription",96.1
1141663.OOC_03622,deaD,ATP-dependent&nbsp;RNA&nbsp;helicase&nbsp;DeaD,96.0
1141663.OOC_11911,trpB,Tryptophan&nbsp;synthase&nbsp;beta&nbsp;chain,96.0
1141663.OOC_14634,OOC_14634,PTS&nbsp;system&nbsp;mannitol-specific&nbsp;transporter&nbsp;subunit&nbsp;IICBA,96.0
1141663.OOC_02792,rplV,50S&nbsp;ribosomal&nbsp;protein&nbsp;L22,96.0
1141663.OOC_11076,pntB,NAD(P)&nbsp;transhydrogenase&nbsp;subunit&nbsp;beta,95.9
1141663.OOC_06923,lptE,LPS-assembly&nbsp;lipoprotein&nbsp;LptE,95.9
1141663.OOC_20082,metN,Methionine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;MetN,95.8
1141663.OOC_05357,ftsY,Signal&nbsp;recognition&nbsp;particle&nbsp;receptor&nbsp;FtsY,95.8
1141663.OOC_06697,dnaE,"COG0587&nbsp;DNA&nbsp;polymerase&nbsp;III,&nbsp;alpha&nbsp;subunit",95.7
1141663.OOC_14399,fadI,3-ketoacyl-CoA&nbsp;thiolase,95.6
1141663.OOC_07048,nagB,Glucosamine-6-phosphate&nbsp;deaminase,95.5
1141663.OOC_06838,OOC_06838,Ribonucleoside-diphosphate&nbsp;reductase,95.4
1141663.OOC_08603,OOC_08603,Two&nbsp;component&nbsp;system&nbsp;response&nbsp;regulator&nbsp;of&nbsp;tetrathionate&nbsp;reductase&nbsp;complex,95.4
1141663.OOC_12541,OOC_12541,Spermidine&nbsp;N(1)-acetyltransferase,95.3
1141663.OOC_05687,OOC_05687,ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,95.3
1141663.OOC_09746,OOC_09746,Chelated&nbsp;iron&nbsp;transport&nbsp;system&nbsp;membrane&nbsp;protein&nbsp;YfeC,95.2
1141663.OOC_00420,OOC_00420,COG2070&nbsp;Dioxygenases&nbsp;related&nbsp;to&nbsp;2-nitropropane&nbsp;dioxygenase,95.1
1141663.OOC_08198,rpsA,30S&nbsp;ribosomal&nbsp;protein&nbsp;S1,95.1
1141663.OOC_03372,rplI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L9,95.0
1141663.OOC_04427,OOC_04427,"COG4605&nbsp;ABC-type&nbsp;enterochelin&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component",95.0
1141663.OOC_07138,OOC_07138,"COG2009&nbsp;Succinate&nbsp;dehydrogenase/fumarate&nbsp;reductase,&nbsp;cytochrome&nbsp;b&nbsp;subunit",95.0
1141663.OOC_13144,OOC_13144,COG0015&nbsp;Adenylosuccinate&nbsp;lyase,94.9
1141663.OOC_14134,OOC_14134,Aminotransferase&nbsp;AlaT,94.9
1141663.OOC_17907,ccmA,Cytochrome&nbsp;c&nbsp;biogenesis&nbsp;ATP-binding&nbsp;export&nbsp;protein&nbsp;CcmA,94.8
1141663.OOC_09351,glpX,"COG1494&nbsp;Fructose-1,6-bisphosphatase/sedoheptulose&nbsp;1,7-bisphosphatase&nbsp;and&nbsp;related&nbsp;proteins",94.8
1141663.OOC_15104,OOC_15104,"PTS&nbsp;system,&nbsp;IIA&nbsp;component",94.8
1141663.OOC_05697,OOC_05697,COG3113&nbsp;Predicted&nbsp;NTP&nbsp;binding&nbsp;protein&nbsp;(contains&nbsp;STAS&nbsp;domain),94.8
1141663.OOC_07808,hisF,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisF,94.7
1141663.OOC_09831,ihfA,Integration&nbsp;host&nbsp;factor&nbsp;subunit&nbsp;alpha,94.6
1141663.OOC_08733,flhD,Flagellar&nbsp;transcriptional&nbsp;regulator&nbsp;FlhD,94.6
1141663.OOC_16824,dnaX,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;gamma/tau,94.6
1141663.OOC_02827,rplE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,94.5
1141663.OOC_06702,OOC_06702,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;alpha,94.5
1141663.OOC_02467,cpxA,Two-component&nbsp;sensor&nbsp;protein,94.3
