342113.DM82_1,apt,annotation&nbsp;not&nbsp;available,98.9
342113.DM82_1294,cobI,cobI_cbiL:&nbsp;precorrin-2&nbsp;C20-methyltransferase,98.9
342113.DM82_1743,rpsB,rpsB_bact:&nbsp;ribosomal&nbsp;protein&nbsp;S2,98.9
342113.DM82_3847,DM82_3847,Pyruv_kin:&nbsp;pyruvate&nbsp;kinase,98.8
342113.DM82_1850,cysE,cysE:&nbsp;serine&nbsp;O-acetyltransferase,98.8
342113.DM82_2082,pncB,Nicotinate&nbsp;phosphoribosyltransferase,98.7
342113.DM82_1531,DM82_1531,annotation&nbsp;not&nbsp;available,98.7
342113.DM82_215,DM82_215,annotation&nbsp;not&nbsp;available,98.6
342113.DM82_416,DM82_416,annotation&nbsp;not&nbsp;available,98.6
342113.DM82_1536,DM82_1536,annotation&nbsp;not&nbsp;available,98.6
342113.DM82_2916,rpsJ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S10,98.5
342113.DM82_4979,DM82_4979,"VI_effect_Hcp1:&nbsp;type&nbsp;VI&nbsp;secretion&nbsp;system&nbsp;effector,&nbsp;Hcp1&nbsp;family&nbsp;protein",98.5
342113.DM82_2973,DM82_2973,annotation&nbsp;not&nbsp;available,98.5
342113.DM82_1216,cysT,"permease_CysT:&nbsp;sulfate&nbsp;ABC&nbsp;transporter,&nbsp;permease&nbsp;protein&nbsp;CysT",98.5
342113.DM82_6082,DM82_6082,Branched-chain-amino-acid&nbsp;aminotransferase,98.5
342113.DM82_1516,DM82_1516,Lipoyl&nbsp;synthase,98.4
342113.DM82_1319,DM82_1319,annotation&nbsp;not&nbsp;available,98.3
342113.DM82_3907,pcaC,decarb_PcaC:&nbsp;4-carboxymuconolactone&nbsp;decarboxylase,98.3
342113.DM82_463,DM82_463,"HEQRo_perm_3TM:&nbsp;amino&nbsp;ABC&nbsp;transporter,&nbsp;permease&nbsp;,&nbsp;3-TM&nbsp;region,&nbsp;His/Glu/Gln/Arg/opine&nbsp;family&nbsp;domain&nbsp;protein",98.2
342113.DM82_616,DM82_616,Carbonic&nbsp;anhydrase,98.2
342113.DM82_1407,DM82_1407,annotation&nbsp;not&nbsp;available,98.0
342113.DM82_2259,DM82_2259,"3,4-dihydroxy-2-butanone&nbsp;4-phosphate&nbsp;synthase",97.9
342113.DM82_1542,DM82_1542,annotation&nbsp;not&nbsp;available,97.9
342113.DM82_2343,DM82_2343,annotation&nbsp;not&nbsp;available,97.9
342113.DM82_136,DM82_136,annotation&nbsp;not&nbsp;available,97.7
342113.DM82_1437,DM82_1437,annotation&nbsp;not&nbsp;available,97.5
342113.DM82_671,DM82_671,"ssuA_fam:&nbsp;ABC&nbsp;transporter,&nbsp;substrate-binding&nbsp;,&nbsp;aliphatic&nbsp;sulfonates&nbsp;family&nbsp;protein",97.4
342113.DM82_2503,nadK,NAD&nbsp;kinase,97.4
342113.DM82_2985,DM82_2985,annotation&nbsp;not&nbsp;available,97.3
342113.DM82_2359,DM82_2359,60&nbsp;kDa&nbsp;chaperonin,97.3
342113.DM82_3549,DM82_3549,annotation&nbsp;not&nbsp;available,97.2
342113.DM82_1196,DM82_1196,annotation&nbsp;not&nbsp;available,97.1
342113.DM82_3640,DM82_3640,C4-dicarboxylate&nbsp;transport&nbsp;protein,97.1
342113.DM82_2556,DM82_2556,Uncharacterized&nbsp;protein,97.1
342113.DM82_2912,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,97.0
342113.DM82_2177,DM82_2177,annotation&nbsp;not&nbsp;available,96.7
342113.DM82_2203,DM82_2203,RelA/SpoT&nbsp;family&nbsp;protein,96.7
342113.DM82_191,fba,"fruBisAldo_II_B:&nbsp;fructose-bisphosphate&nbsp;aldolase,&nbsp;class&nbsp;II,&nbsp;Calvin&nbsp;cycle&nbsp;subtype",96.7
342113.DM82_6186,DM82_6186,"cyoA:&nbsp;ubiquinol&nbsp;oxidase,&nbsp;subunit&nbsp;II",96.7
342113.DM82_1962,DM82_1962,annotation&nbsp;not&nbsp;available,96.6
342113.DM82_1035,sucA,"2oxo_dh_E1:&nbsp;oxoglutarate&nbsp;dehydrogenase&nbsp;(succinyl-transferring),&nbsp;E1&nbsp;component",96.6
342113.DM82_1644,ompR,annotation&nbsp;not&nbsp;available,96.5
342113.DM82_2439,DM82_2439,"kpsF:&nbsp;sugar&nbsp;isomerase,&nbsp;KpsF/GutQ&nbsp;family&nbsp;protein",96.5
342113.DM82_1765,DM82_1765,annotation&nbsp;not&nbsp;available,96.5
342113.DM82_1776,aceB,malate_syn_A:&nbsp;malate&nbsp;synthase&nbsp;A,96.4
342113.DM82_1513,rpmE,L31:&nbsp;ribosomal&nbsp;protein&nbsp;L31,96.4
342113.DM82_307,rpmB,L28:&nbsp;ribosomal&nbsp;protein&nbsp;L28,96.4
342113.DM82_998,DM82_998,RelA/SpoT&nbsp;family&nbsp;protein,96.3
342113.DM82_3726,DM82_3726,"nirD_assim_sml:&nbsp;nitrite&nbsp;reductase&nbsp;[NAD(P)H],&nbsp;small&nbsp;subunit",96.2
342113.DM82_1533,DM82_1533,Molyb_syn:&nbsp;molybdenum&nbsp;cofactor&nbsp;synthesis&nbsp;domain&nbsp;protein,96.1
342113.DM82_4566,DM82_4566,Spermidine/putrescine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PotA,96.0
342113.DM82_1320,DM82_1320,annotation&nbsp;not&nbsp;available,96.0
342113.DM82_2705,DM82_2705,annotation&nbsp;not&nbsp;available,96.0
342113.DM82_1559,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,96.0
342113.DM82_6044,DM82_6044,annotation&nbsp;not&nbsp;available,95.9
