319224.Sputcn32_0551,priA,Primosomal&nbsp;protein&nbsp;N,98.9
319224.Sputcn32_3028,ABP76741.1,"TIGRFAM:&nbsp;polar&nbsp;amino&nbsp;acid&nbsp;ABC&nbsp;transporter,&nbsp;inner&nbsp;membrane&nbsp;subunit",98.9
319224.Sputcn32_1608,ABP75333.1,TIGRFAM:&nbsp;OmpA&nbsp;domain&nbsp;protein,98.8
319224.Sputcn32_0211,ABP73947.1,"TIGRFAM:&nbsp;PTS&nbsp;system,&nbsp;mannose/fructose/sorbose&nbsp;family,&nbsp;IID&nbsp;subunit",98.8
319224.Sputcn32_0445,ABP74177.1,Acyl&nbsp;carrier&nbsp;protein,98.7
319224.Sputcn32_3883,ABP77589.1,TIGRFAM:&nbsp;molybdenum&nbsp;cofactor&nbsp;synthesis&nbsp;domain,98.7
319224.Sputcn32_2090,ABP75811.1,"TIGRFAM:&nbsp;Ni/Fe-hydrogenase,&nbsp;b-type&nbsp;cytochrome&nbsp;subunit",98.7
319224.Sputcn32_3485,ABP77195.1,Flagellar&nbsp;biosynthesis&nbsp;protein&nbsp;FlhA,98.7
319224.Sputcn32_0159,ABP73895.1,KEGG:&nbsp;dra:DR1808&nbsp;deoxyguanosinetriphosphate&nbsp;triphosphohydrolase-related&nbsp;protein,98.7
319224.Sputcn32_1277,xseB,Exodeoxyribonuclease&nbsp;7&nbsp;small&nbsp;subunit,98.7
319224.Sputcn32_1396,ABP75123.1,"PFAM:&nbsp;histidine&nbsp;kinase,&nbsp;HAMP&nbsp;region&nbsp;domain&nbsp;protein",98.7
319224.Sputcn32_3148,ABP76860.1,Periplasmic&nbsp;nitrate&nbsp;reductase,98.7
319224.Sputcn32_3404,ABP77115.1,PFAM:&nbsp;short-chain&nbsp;dehydrogenase/reductase&nbsp;SDR,98.6
319224.Sputcn32_0991,surA,Chaperone&nbsp;SurA,98.6
319224.Sputcn32_1867,ABP75590.1,TIGRFAM:&nbsp;6-phosphogluconolactonase,98.6
319224.Sputcn32_3348,aroQ,3-dehydroquinate&nbsp;dehydratase,98.5
319224.Sputcn32_0415,katG,Catalase-peroxidase,98.5
319224.Sputcn32_3771,nusG,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusG,98.5
319224.Sputcn32_0732,ABP74462.1,"TIGRFAM:&nbsp;sulfate&nbsp;ABC&nbsp;transporter,&nbsp;inner&nbsp;membrane&nbsp;subunit",98.4
319224.Sputcn32_1291,ABP75019.1,TIGRFAM:&nbsp;diguanylate&nbsp;cyclase,98.4
319224.Sputcn32_0980,rpmA,PFAM:&nbsp;ribosomal&nbsp;protein&nbsp;L27,98.4
319224.Sputcn32_3597,ABP77305.1,TIGRFAM:&nbsp;diguanylate&nbsp;cyclase,98.4
319224.Sputcn32_3280,hfq,RNA-binding&nbsp;protein&nbsp;Hfq,98.4
319224.Sputcn32_1437,ABP75162.1,Phosphate-specific&nbsp;transport&nbsp;system&nbsp;accessory&nbsp;protein&nbsp;PhoU,98.3
319224.Sputcn32_1764,ABP75489.1,TIGRFAM:&nbsp;septum&nbsp;site-determining&nbsp;protein&nbsp;MinD,98.3
319224.Sputcn32_0776,ABP74506.1,TIGRFAM:&nbsp;hemerythrin-like&nbsp;metal-binding&nbsp;protein,98.3
319224.Sputcn32_1607,tolB,Protein&nbsp;TolB,98.2
319224.Sputcn32_0662,ABP74392.1,PFAM:&nbsp;molybdopterin&nbsp;oxidoreductase,98.2
319224.Sputcn32_2077,ABP75798.1,PFAM:&nbsp;NADH:flavin&nbsp;oxidoreductase/NADH&nbsp;oxidase,98.1
319224.Sputcn32_0001,dnaA,Chromosomal&nbsp;replication&nbsp;initiator&nbsp;protein&nbsp;DnaA,98.0
319224.Sputcn32_1096,ABP74824.1,PFAM:&nbsp;binding-protein-dependent&nbsp;transport&nbsp;systems&nbsp;inner&nbsp;membrane&nbsp;component,98.0
319224.Sputcn32_0875,ABP74604.1,"KEGG:&nbsp;shm:Shewmr7_3247&nbsp;fructose-bisphosphate&nbsp;aldolase,&nbsp;class&nbsp;II,&nbsp;Calvin&nbsp;cycle&nbsp;subtype",98.0
319224.Sputcn32_2780,glyA,Serine&nbsp;hydroxymethyltransferase,98.0
319224.Sputcn32_1163,acpS,Holo-[acyl-carrier-protein]&nbsp;synthase,98.0
319224.Sputcn32_3458,ABP77168.1,TIGRFAM:&nbsp;flagellar&nbsp;hook-associated&nbsp;protein&nbsp;3,97.9
319224.Sputcn32_0292,rpoH,TIGRFAM:&nbsp;RNA&nbsp;polymerase&nbsp;sigma&nbsp;factor&nbsp;RpoH,97.9
319224.Sputcn32_0303,ABP74035.1,Histidine&nbsp;kinase,97.9
319224.Sputcn32_2944,ABP76659.1,PFAM:&nbsp;helicase&nbsp;domain&nbsp;protein,97.9
319224.Sputcn32_1800,ABP75524.1,Diguanylate&nbsp;cyclase/phosphodiesterase&nbsp;with&nbsp;PAS/PAC&nbsp;sensor(S),97.9
319224.Sputcn32_3483,ABP77193.1,Flagellar&nbsp;biosynthetic&nbsp;protein&nbsp;FliR,97.8
319224.Sputcn32_0588,ABP74320.1,KEGG:&nbsp;pfo:Pfl_3517&nbsp;hypothetical&nbsp;protein,97.8
319224.Sputcn32_2563,ABP76284.1,Flagellar&nbsp;biosynthetic&nbsp;protein&nbsp;FlhB,97.8
319224.Sputcn32_3066,ABP76779.1,NAD(P)&nbsp;transhydrogenase&nbsp;subunit&nbsp;beta,97.8
319224.Sputcn32_0896,ABP74625.1,PFAM:&nbsp;alkyl&nbsp;hydroperoxide&nbsp;reductase/&nbsp;Thiol&nbsp;specific&nbsp;antioxidant/&nbsp;Mal&nbsp;allergen,97.8
319224.Sputcn32_0291,ABP74024.1,Cell&nbsp;division&nbsp;protein&nbsp;FtsX,97.8
319224.Sputcn32_3078,ABP76791.1,Osmosensitive&nbsp;K+&nbsp;channel&nbsp;signal&nbsp;transduction&nbsp;histidine&nbsp;kinase,97.8
319224.Sputcn32_0725,ABP74455.1,KEGG:&nbsp;son:SO3950&nbsp;SpoIIAA&nbsp;family&nbsp;protein,97.7
319224.Sputcn32_1276,ABP75004.1,Farnesyl-diphosphate&nbsp;synthase,97.7
319224.Sputcn32_3785,ABP77492.1,"PFAM:&nbsp;cytochrome&nbsp;c&nbsp;oxidase,&nbsp;subunit&nbsp;III",97.7
319224.Sputcn32_3612,ilvD,KEGG:&nbsp;shm:Shewmr7_3662&nbsp;dihydroxy-acid&nbsp;dehydratase,97.7
319224.Sputcn32_3587,hemC,Porphobilinogen&nbsp;deaminase,97.7
319224.Sputcn32_1113,ABP74841.1,KEGG:&nbsp;shm:Shewmr7_2981&nbsp;rRNA&nbsp;(guanine-N(1)-)-methyltransferase,97.6
319224.Sputcn32_0393,ABP74125.1,"TIGRFAM:&nbsp;molybdenum&nbsp;ABC&nbsp;transporter,&nbsp;periplasmic&nbsp;molybdate-binding&nbsp;protein",97.6
319224.Sputcn32_3343,ABP77055.1,KEGG:&nbsp;shm:Shewmr7_3515&nbsp;outer&nbsp;membrane&nbsp;efflux&nbsp;protein,97.6
319224.Sputcn32_2432,ABP76153.1,TIGRFAM:&nbsp;flavocytochrome&nbsp;c,97.6
319224.Sputcn32_3478,ABP77188.1,"Sigma54&nbsp;specific&nbsp;transcriptional&nbsp;regulator,&nbsp;Fis&nbsp;family",97.5
319224.Sputcn32_3302,rapA,RNA&nbsp;polymerase-associated&nbsp;protein&nbsp;RapA,97.5
319224.Sputcn32_3151,ABP76863.1,"Periplasmic&nbsp;nitrate&nbsp;reductase,&nbsp;electron&nbsp;transfer&nbsp;subunit",97.5
319224.Sputcn32_2680,ABP76399.1,PFAM:&nbsp;translation&nbsp;initiation&nbsp;factor&nbsp;SUI1,97.5
319224.Sputcn32_3170,macB,Macrolide&nbsp;export&nbsp;ATP-binding/permease&nbsp;protein&nbsp;MacB,97.4
319224.Sputcn32_2745,alaS,Alanine--tRNA&nbsp;ligase,97.4
319224.Sputcn32_1578,rpmF,TIGRFAM:&nbsp;ribosomal&nbsp;protein&nbsp;L32,97.4
319224.Sputcn32_2151,ABP75872.1,TIGRFAM:&nbsp;serine&nbsp;O-acetyltransferase,97.3
319224.Sputcn32_2300,recR,Recombination&nbsp;protein&nbsp;RecR,97.3
319224.Sputcn32_3305,ABP77017.1,PFAM:&nbsp;response&nbsp;regulator&nbsp;receiver,97.3
