406818.XBJ1_4302,pfkA,ATP-dependent&nbsp;6-phosphofructokinase,98.9
406818.XBJ1_2851,holB,annotation&nbsp;not&nbsp;available,98.7
406818.XBJ1_0022,atpD,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,98.5
406818.XBJ1_2537,btuD,Vitamin&nbsp;B12&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;BtuD,98.4
406818.XBJ1_1071,kdpE,annotation&nbsp;not&nbsp;available,98.4
406818.XBJ1_3653,XBJ1_3653,annotation&nbsp;not&nbsp;available,98.4
406818.XBJ1_3832,yrbD,annotation&nbsp;not&nbsp;available,98.4
406818.XBJ1_1799,imp,LPS-assembly&nbsp;protein&nbsp;LptD,98.3
406818.XBJ1_1647,cyoB,annotation&nbsp;not&nbsp;available,98.3
406818.XBJ1_3028,iscS,Cysteine&nbsp;desulfurase&nbsp;IscS,98.3
406818.XBJ1_3508,XBJ1_3508,annotation&nbsp;not&nbsp;available,98.2
406818.XBJ1_3579,mutS,DNA&nbsp;mismatch&nbsp;repair&nbsp;protein&nbsp;MutS,98.1
406818.XBJ1_0025,atpH,ATP&nbsp;synthase&nbsp;subunit&nbsp;delta,98.1
406818.XBJ1_3096,purE,N5-carboxyaminoimidazole&nbsp;ribonucleotide&nbsp;mutase,98.1
406818.XBJ1_2419,oppF,annotation&nbsp;not&nbsp;available,98.0
406818.XBJ1_3436,gcvT,Aminomethyltransferase,98.0
406818.XBJ1_4228,rpsN,30S&nbsp;ribosomal&nbsp;protein&nbsp;S14,98.0
406818.XBJ1_0449,yjgQ,annotation&nbsp;not&nbsp;available,97.9
406818.XBJ1_4162,hemX,annotation&nbsp;not&nbsp;available,97.9
406818.XBJ1_4182,trxA,annotation&nbsp;not&nbsp;available,97.9
406818.XBJ1_4194,ilvM,annotation&nbsp;not&nbsp;available,97.9
406818.XBJ1_1046,tolR,annotation&nbsp;not&nbsp;available,97.9
406818.XBJ1_3912,alr,Alanine&nbsp;racemase,97.8
406818.XBJ1_0372,pnp,Polyribonucleotide&nbsp;nucleotidyltransferase,97.8
406818.XBJ1_1069,kdpC,Potassium-transporting&nbsp;ATPase&nbsp;KdpC&nbsp;subunit,97.7
406818.XBJ1_2515,XBJ1_2515,annotation&nbsp;not&nbsp;available,97.7
406818.XBJ1_1618,XBJ1_1618,annotation&nbsp;not&nbsp;available,97.6
406818.XBJ1_2804,XBJ1_2804,Chorismate&nbsp;mutase,97.6
406818.XBJ1_0905,artM,annotation&nbsp;not&nbsp;available,97.4
406818.XBJ1_3090,uhpA,annotation&nbsp;not&nbsp;available,97.3
406818.XBJ1_2227,znuC,Zinc&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;ZnuC,97.2
