411684.HPDFL43_04585,EDQ33700.1,annotation&nbsp;not&nbsp;available,98.9
411684.HPDFL43_15307,ruvA,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvA,98.9
411684.HPDFL43_02380,EDQ35007.1,annotation&nbsp;not&nbsp;available,98.9
411684.HPDFL43_12226,EDQ32567.2,annotation&nbsp;not&nbsp;available,98.9
411684.HPDFL43_20202,EDQ35553.1,annotation&nbsp;not&nbsp;available,98.9
411684.HPDFL43_06270,gatA,Glutamyl-tRNA(Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;A,98.9
411684.HPDFL43_03099,EDQ32063.1,annotation&nbsp;not&nbsp;available,98.9
411684.HPDFL43_06692,rplE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,98.8
411684.HPDFL43_04570,EDQ33697.1,annotation&nbsp;not&nbsp;available,98.8
411684.HPDFL43_02635,EDQ35058.1,annotation&nbsp;not&nbsp;available,98.7
411684.HPDFL43_18912,accD,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;beta,98.7
411684.HPDFL43_06545,rplA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L1,98.7
411684.HPDFL43_09322,nuoB,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;B,98.7
411684.HPDFL43_00180,cheB,Chemotaxis&nbsp;response&nbsp;regulator&nbsp;protein-glutamate&nbsp;methylesterase,98.7
411684.HPDFL43_02535,EDQ35038.1,annotation&nbsp;not&nbsp;available,98.7
411684.HPDFL43_05400,ppk,Polyphosphate&nbsp;kinase,98.6
411684.HPDFL43_16926,gloB,Hydroxyacylglutathione&nbsp;hydrolase,98.6
411684.HPDFL43_21494,pstB,Phosphate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PstB,98.5
411684.HPDFL43_11466,EDQ32415.1,Putative&nbsp;ornithine&nbsp;cyclodeaminase,98.5
411684.HPDFL43_14112,EDQ34138.2,annotation&nbsp;not&nbsp;available,98.5
411684.HPDFL43_19162,EDQ35345.1,annotation&nbsp;not&nbsp;available,98.5
411684.HPDFL43_07544,EDQ32784.1,annotation&nbsp;not&nbsp;available,98.5
411684.HPDFL43_21427,EDQ31568.1,annotation&nbsp;not&nbsp;available,98.4
411684.HPDFL43_08712,EDQ33303.1,annotation&nbsp;not&nbsp;available,98.4
411684.HPDFL43_11246,EDQ31607.2,annotation&nbsp;not&nbsp;available,98.3
411684.HPDFL43_10197,EDQ33600.2,annotation&nbsp;not&nbsp;available,98.3
411684.HPDFL43_08942,EDQ33349.1,annotation&nbsp;not&nbsp;available,98.2
411684.HPDFL43_06732,rplO,50S&nbsp;ribosomal&nbsp;protein&nbsp;L15,98.2
411684.HPDFL43_10037,EDQ33568.1,annotation&nbsp;not&nbsp;available,98.1
411684.HPDFL43_11001,EDQ31399.1,annotation&nbsp;not&nbsp;available,98.1
411684.HPDFL43_21127,EDQ35738.1,annotation&nbsp;not&nbsp;available,98.0
411684.HPDFL43_20002,EDQ35513.1,annotation&nbsp;not&nbsp;available,98.0
411684.HPDFL43_11306,EDQ31619.2,annotation&nbsp;not&nbsp;available,98.0
411684.HPDFL43_16986,aroB,3-dehydroquinate&nbsp;synthase,97.8
411684.HPDFL43_18157,ccmC,Heme&nbsp;exporter&nbsp;protein&nbsp;C,97.8
411684.HPDFL43_07097,fabZ,3-hydroxyacyl-[acyl-carrier-protein]&nbsp;dehydratase&nbsp;FabZ,97.8
