350058.Mvan_5661,Mvan_5661,PFAM:&nbsp;Phosphoglycerate&nbsp;mutase,98.9
350058.Mvan_4874,Mvan_4874,TIGRFAM:&nbsp;chorismate&nbsp;mutase,98.9
350058.Mvan_4077,Mvan_4077,PFAM:&nbsp;peptidase&nbsp;S15,98.9
350058.Mvan_2025,lig,Probable&nbsp;DNA&nbsp;ligase,98.9
350058.Mvan_4724,Mvan_4724,D-alanyl-D-alanine&nbsp;dipeptidase,98.9
350058.Mvan_0963,Mvan_0963,PFAM:&nbsp;Mammalian&nbsp;cell&nbsp;entry&nbsp;related&nbsp;domain&nbsp;protein,98.9
350058.Mvan_3621,Mvan_3621,"TIGRFAM:&nbsp;HAD-superfamily&nbsp;hydrolase,&nbsp;subfamily&nbsp;IA,&nbsp;variant&nbsp;1",98.9
350058.Mvan_1048,Mvan_1048,PFAM:&nbsp;ANTAR&nbsp;domain&nbsp;protein,98.9
350058.Mvan_1420,Mvan_1420,3-Cys&nbsp;thioredoxin&nbsp;peroxidase,98.9
350058.Mvan_0133,Mvan_0133,PFAM:&nbsp;protein&nbsp;of&nbsp;unknown&nbsp;function&nbsp;DUF140,98.8
350058.Mvan_5289,Mvan_5289,PFAM:&nbsp;acyl-CoA&nbsp;dehydrogenase&nbsp;domain&nbsp;protein,98.8
350058.Mvan_2718,zwf,Glucose-6-phosphate&nbsp;1-dehydrogenase,98.8
350058.Mvan_5381,ppa,Inorganic&nbsp;pyrophosphatase,98.8
350058.Mvan_4205,Mvan_4205,PFAM:&nbsp;acyl-CoA&nbsp;dehydrogenase&nbsp;domain&nbsp;protein,98.8
350058.Mvan_4526,Mvan_4526,TIGRFAM:&nbsp;delta-1-pyrroline-5-carboxylate&nbsp;dehydrogenase,98.8
350058.Mvan_0846,Mvan_0846,Uroporphyrinogen-III&nbsp;C-methyltransferase&nbsp;/&nbsp;uroporphyrinogen-III&nbsp;synthase,98.8
350058.Mvan_5156,Mvan_5156,PFAM:&nbsp;short-chain&nbsp;dehydrogenase/reductase&nbsp;SDR,98.8
350058.Mvan_0227,Mvan_0227,PFAM:&nbsp;Alpha/beta&nbsp;hydrolase&nbsp;fold-3&nbsp;domain&nbsp;protein,98.8
350058.Mvan_3684,Mvan_3684,"SMART:&nbsp;helix-turn-helix-&nbsp;domain&nbsp;containing&nbsp;protein,&nbsp;AraC&nbsp;type",98.7
350058.Mvan_0819,Mvan_0819,"PFAM:&nbsp;cytochrome&nbsp;c&nbsp;oxidase,&nbsp;subunit&nbsp;III",98.7
350058.Mvan_0201,pckG,Phosphoenolpyruvate&nbsp;carboxykinase&nbsp;[GTP],98.7
350058.Mvan_4095,Mvan_4095,PFAM:&nbsp;peptidase&nbsp;S15,98.7
350058.Mvan_5175,Mvan_5175,"Two&nbsp;component&nbsp;transcriptional&nbsp;regulator,&nbsp;winged&nbsp;helix&nbsp;family",98.7
350058.Mvan_0619,Mvan_0619,Uncharacterized&nbsp;protein,98.7
350058.Mvan_1963,Mvan_1963,PFAM:&nbsp;UspA&nbsp;domain&nbsp;protein,98.6
350058.Mvan_4691,Mvan_4691,"PFAM:&nbsp;regulatory&nbsp;protein,&nbsp;MerR",98.6
350058.Mvan_0066,Mvan_0066,Propionyl-CoA&nbsp;carboxylase,98.6
350058.Mvan_1926,Mvan_1926,PFAM:&nbsp;NAD-dependent&nbsp;epimerase/dehydratase,98.6
350058.Mvan_4393,Mvan_4393,PFAM:&nbsp;Hydratase/decarboxylase,98.5
350058.Mvan_2237,Mvan_2237,Gluconolactonase,98.5
350058.Mvan_4297,Mvan_4297,Nicotinate&nbsp;phosphoribosyltransferase,98.5
350058.Mvan_2123,Mvan_2123,"TIGRFAM:&nbsp;acetolactate&nbsp;synthase,&nbsp;small&nbsp;subunit",98.5
350058.Mvan_5896,Mvan_5896,PFAM:&nbsp;Glyoxalase/bleomycin&nbsp;resistance&nbsp;protein/dioxygenase,98.4
350058.Mvan_2844,Mvan_2844,"Amino&nbsp;acid/amide&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein&nbsp;1,&nbsp;HAAT&nbsp;family",98.4
350058.Mvan_5048,Mvan_5048,PFAM:&nbsp;thiamineS&nbsp;protein,98.4
350058.Mvan_5246,Mvan_5246,"PFAM:&nbsp;glycosyl&nbsp;transferase,&nbsp;group&nbsp;1",98.3
350058.Mvan_2590,hisS,Histidine--tRNA&nbsp;ligase,98.3
350058.Mvan_3935,rbsK,Ribokinase,98.3
350058.Mvan_0137,Mvan_0137,TIGRFAM:&nbsp;virulence&nbsp;factor&nbsp;Mce&nbsp;family&nbsp;protein,98.3
350058.Mvan_3674,Mvan_3674,"Two&nbsp;component&nbsp;transcriptional&nbsp;regulator,&nbsp;winged&nbsp;helix&nbsp;family",98.3
350058.Mvan_0105,Mvan_0105,PFAM:&nbsp;aldehyde&nbsp;dehydrogenase,98.3
350058.Mvan_2809,Mvan_2809,Inositol-1-monophosphatase,98.3
350058.Mvan_2706,Mvan_2706,"TIGRFAM:&nbsp;preprotein&nbsp;translocase,&nbsp;SecG&nbsp;subunit",98.3
350058.Mvan_2081,Mvan_2081,PFAM:&nbsp;periplasmic&nbsp;binding&nbsp;protein,98.3
350058.Mvan_2906,Mvan_2906,"TIGRFAM:&nbsp;phosphonate&nbsp;ABC&nbsp;transporter,&nbsp;inner&nbsp;membrane&nbsp;subunit",98.3
350058.Mvan_2100,Mvan_2100,PFAM:&nbsp;electron&nbsp;transfer&nbsp;flavoprotein&nbsp;beta-subunit,98.2
350058.Mvan_0826,Mvan_0826,PFAM:&nbsp;ROK&nbsp;family&nbsp;protein,98.2
350058.Mvan_2721,ctaB,Protoheme&nbsp;IX&nbsp;farnesyltransferase,98.2
350058.Mvan_3324,Mvan_3324,PFAM:&nbsp;short-chain&nbsp;dehydrogenase/reductase&nbsp;SDR,98.2
350058.Mvan_0260,Mvan_0260,3-ketoacyl-CoA&nbsp;thiolase,98.1
350058.Mvan_4137,Mvan_4137,KEGG:&nbsp;mmc:Mmcs_3733&nbsp;hypothetical&nbsp;protein,98.1
350058.Mvan_5337,Mvan_5337,"TIGRFAM:&nbsp;RNA&nbsp;methyltransferase,&nbsp;TrmH&nbsp;family,&nbsp;group&nbsp;3",98.0
350058.Mvan_4390,Mvan_4390,PFAM:&nbsp;Glyoxalase/bleomycin&nbsp;resistance&nbsp;protein/dioxygenase,98.0
350058.Mvan_1849,fdx,Ferredoxin,98.0
350058.Mvan_5358,Mvan_5358,PFAM:&nbsp;UvrB/UvrC&nbsp;protein,98.0
350058.Mvan_1493,Mvan_1493,PFAM:&nbsp;NAD-dependent&nbsp;epimerase/dehydratase,98.0
350058.Mvan_1706,Mvan_1706,UDP-galactopyranose&nbsp;mutase,98.0
350058.Mvan_1270,Mvan_1270,PFAM:&nbsp;Enoyl-CoA&nbsp;hydratase/isomerase,98.0
350058.Mvan_3525,murD,UDP-N-acetylmuramoylalanine--D-glutamate&nbsp;ligase,98.0
350058.Mvan_5151,Mvan_5151,PFAM:&nbsp;cytochrome&nbsp;P450,98.0
350058.Mvan_0192,Mvan_0192,Integral&nbsp;membrane&nbsp;sensor&nbsp;signal&nbsp;transduction&nbsp;histidine&nbsp;kinase,98.0
350058.Mvan_4576,Mvan_4576,"PFAM:&nbsp;2-nitropropane&nbsp;dioxygenase,&nbsp;NPD",98.0
350058.Mvan_5430,Mvan_5430,"PFAM:&nbsp;peptidase&nbsp;S1&nbsp;and&nbsp;S6,&nbsp;chymotrypsin/Hap",97.9
350058.Mvan_1552,Mvan_1552,PFAM:&nbsp;Methyltransferase&nbsp;type&nbsp;11,97.9
350058.Mvan_5872,Mvan_5872,Uncharacterized&nbsp;enzyme&nbsp;of&nbsp;phosphonate&nbsp;metabolism-like&nbsp;protein,97.9
350058.Mvan_1925,Mvan_1925,PFAM:&nbsp;luciferase&nbsp;family&nbsp;protein,97.9
350058.Mvan_4302,glgB,"1,4-alpha-glucan&nbsp;branching&nbsp;enzyme&nbsp;GlgB",97.9
350058.Mvan_0914,Mvan_0914,Lipoyl&nbsp;synthase,97.8
350058.Mvan_1216,Mvan_1216,PFAM:&nbsp;FAD-dependent&nbsp;pyridine&nbsp;nucleotide-disulphide&nbsp;oxidoreductase,97.8
350058.Mvan_1354,Mvan_1354,PFAM:&nbsp;3-Oxoacyl-[acyl-carrier-protein&nbsp;(ACP)]&nbsp;synthase&nbsp;III&nbsp;C&nbsp;terminal&nbsp;domain&nbsp;protein,97.8
350058.Mvan_5776,Mvan_5776,PFAM:&nbsp;aminotransferase&nbsp;class-III,97.8
350058.Mvan_0545,Mvan_0545,PFAM:&nbsp;Glyoxalase/bleomycin&nbsp;resistance&nbsp;protein/dioxygenase,97.8
350058.Mvan_4804,Mvan_4804,"PFAM:&nbsp;Glu/Leu/Phe/Val&nbsp;dehydrogenase,&nbsp;C&nbsp;terminal",97.8
350058.Mvan_1231,Mvan_1231,PFAM:&nbsp;MaoC&nbsp;domain&nbsp;protein&nbsp;dehydratase,97.7
350058.Mvan_3871,Mvan_3871,"PFAM:&nbsp;regulatory&nbsp;protein,&nbsp;LuxR",97.7
350058.Mvan_3005,Mvan_3005,"PFAM:&nbsp;2-nitropropane&nbsp;dioxygenase,&nbsp;NPD",97.7
350058.Mvan_3482,Mvan_3482,PFAM:&nbsp;Phosphoglycerate&nbsp;mutase,97.7
350058.Mvan_1377,Mvan_1377,KEGG:&nbsp;mmc:Mmcs_1095&nbsp;hypothetical&nbsp;protein,97.7
350058.Mvan_1516,guaA,GMP&nbsp;synthase&nbsp;[glutamine-hydrolyzing],97.7
350058.Mvan_1022,Mvan_1022,PFAM:&nbsp;binding-protein-dependent&nbsp;transport&nbsp;systems&nbsp;inner&nbsp;membrane&nbsp;component,97.7
350058.Mvan_2865,Mvan_2865,PFAM:&nbsp;fumarate&nbsp;reductase/succinate&nbsp;dehydrogenase&nbsp;flavoprotein&nbsp;domain&nbsp;protein,97.7
350058.Mvan_2740,Mvan_2740,TIGRFAM:&nbsp;thioredoxin,97.6
350058.Mvan_2754,hemH,Ferrochelatase,97.6
350058.Mvan_4223,Mvan_4223,SMART:&nbsp;protein&nbsp;of&nbsp;unknown&nbsp;function&nbsp;DUF227,97.6
350058.Mvan_3311,argD,TIGRFAM:&nbsp;acetylornithine&nbsp;and&nbsp;succinylornithine&nbsp;aminotransferases,97.6
350058.Mvan_4311,Mvan_4311,KEGG:&nbsp;tfu:Tfu_1484&nbsp;hypothetical&nbsp;protein,97.6
350058.Mvan_5718,Mvan_5718,"PFAM:&nbsp;glycosyl&nbsp;transferase,&nbsp;group&nbsp;1",97.6
350058.Mvan_0632,Mvan_0632,PFAM:&nbsp;pyruvate&nbsp;kinase,97.6
350058.Mvan_2247,Mvan_2247,PFAM:&nbsp;luciferase&nbsp;family&nbsp;protein,97.6
350058.Mvan_3840,Mvan_3840,Histidine&nbsp;kinase,97.5
350058.Mvan_3767,Mvan_3767,"PFAM:&nbsp;Alcohol&nbsp;dehydrogenase,&nbsp;zinc-binding&nbsp;domain&nbsp;protein",97.5
350058.Mvan_1314,rpsQ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S17,97.4
350058.Mvan_2341,Mvan_2341,PFAM:&nbsp;short-chain&nbsp;dehydrogenase/reductase&nbsp;SDR,97.4
350058.Mvan_1495,groL2,60&nbsp;kDa&nbsp;chaperonin&nbsp;2,97.4
350058.Mvan_3487,pyrD,Dihydroorotate&nbsp;dehydrogenase&nbsp;(quinone),97.4
350058.Mvan_2047,Mvan_2047,ABC&nbsp;transporter-related&nbsp;protein,97.4
350058.Mvan_2181,ffh,Signal&nbsp;recognition&nbsp;particle&nbsp;protein,97.4
350058.Mvan_5644,Mvan_5644,PFAM:&nbsp;putative&nbsp;esterase,97.3
350058.Mvan_1813,Mvan_1813,Endopeptidase&nbsp;La,97.3
350058.Mvan_1595,Mvan_1595,PFAM:&nbsp;protein&nbsp;of&nbsp;unknown&nbsp;function&nbsp;DUF140,97.3
350058.Mvan_5619,Mvan_5619,"PFAM:&nbsp;glycosyl&nbsp;transferase,&nbsp;family&nbsp;2",97.3
350058.Mvan_3091,Mvan_3091,ABC&nbsp;transporter-related&nbsp;protein,97.2
350058.Mvan_1864,Mvan_1864,"PFAM:&nbsp;Alcohol&nbsp;dehydrogenase,&nbsp;zinc-binding&nbsp;domain&nbsp;protein",97.2
350058.Mvan_0259,Mvan_0259,PFAM:&nbsp;NAD-dependent&nbsp;epimerase/dehydratase,97.1
350058.Mvan_2808,hisA,Phosphoribosyl&nbsp;isomerase&nbsp;A,97.1
350058.Mvan_1250,Mvan_1250,FabD2,97.1
