82995.CR62_22930,CR62_22930,Uncharacterized&nbsp;protein,98.9
82995.CR62_18880,CR62_18880,Amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;permease,98.9
82995.CR62_14045,CR62_14045,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;psi,98.9
82995.CR62_01390,CR62_01390,Diguanylate&nbsp;cyclase,98.9
82995.CR62_20970,CR62_20970,N-terminal&nbsp;cleavage&nbsp;protein,98.9
82995.CR62_01615,CR62_01615,ABC&nbsp;transporter,98.9
82995.CR62_21080,queF,NADPH-dependent&nbsp;7-cyano-7-deazaguanine&nbsp;reductase,98.8
82995.CR62_07070,mukE,Chromosome&nbsp;partition&nbsp;protein&nbsp;MukE,98.8
82995.CR62_17545,CR62_17545,Chemotaxis&nbsp;protein,98.8
82995.CR62_02705,znuC,Zinc&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;ZnuC,98.8
82995.CR62_08105,CR62_08105,Cell&nbsp;shape-determining&nbsp;protein&nbsp;MreC,98.8
82995.CR62_00260,CR62_00260,Transporter,98.8
82995.CR62_11560,CR62_11560,Condensation&nbsp;protein,98.8
82995.CR62_15505,CR62_15505,ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,98.7
82995.CR62_21045,CR62_21045,Cysteine&nbsp;sulfinate&nbsp;desulfinase,98.7
82995.CR62_10880,fadE,Acyl-CoA&nbsp;dehydrogenase,98.7
82995.CR62_18285,secE,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecE,98.7
82995.CR62_18300,rplA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L1,98.6
82995.CR62_02665,CR62_02665,Keto-deoxy-phosphogluconate&nbsp;aldolase,98.6
82995.CR62_22325,CR62_22325,Glutathione&nbsp;S-transferase,98.6
82995.CR62_03910,CR62_03910,C4-dicarboxylate&nbsp;ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,98.6
82995.CR62_12350,thiK,Thiamine&nbsp;kinase,98.6
82995.CR62_00125,CR62_00125,Bifunctional&nbsp;PTS&nbsp;system&nbsp;maltose&nbsp;and&nbsp;glucose-specific&nbsp;transporter&nbsp;subunits&nbsp;IICB,98.6
82995.CR62_04585,carB,Carbamoyl-phosphate&nbsp;synthase&nbsp;large&nbsp;chain,98.5
82995.CR62_21925,rplT,50S&nbsp;ribosomal&nbsp;protein&nbsp;L20,98.5
82995.CR62_18180,CR62_18180,UDP-glucose&nbsp;6-dehydrogenase,98.5
82995.CR62_18170,rssB,Regulator&nbsp;of&nbsp;RpoS,98.5
82995.CR62_09805,yebU,Ribosomal&nbsp;RNA&nbsp;small&nbsp;subunit&nbsp;methyltransferase&nbsp;F,98.5
82995.CR62_17300,CR62_17300,Multidrug&nbsp;transporter,98.5
82995.CR62_11700,ftsY,Signal&nbsp;recognition&nbsp;particle&nbsp;receptor&nbsp;FtsY,98.3
82995.CR62_21770,CR62_21770,Pyridine&nbsp;nucleotide-disulfide&nbsp;oxidoreductase,98.2
82995.CR62_08985,CR62_08985,Shikimate&nbsp;dehydrogenase,98.2
82995.CR62_07045,kdsB,3-deoxy-manno-octulosonate&nbsp;cytidylyltransferase,98.2
82995.CR62_07810,lamB,Maltoporin,98.1
82995.CR62_23470,CR62_23470,Polysaccharide&nbsp;export&nbsp;protein&nbsp;Wza,98.1
82995.CR62_09430,CR62_09430,Response&nbsp;regulator&nbsp;in&nbsp;two-component&nbsp;regulatory&nbsp;system&nbsp;with&nbsp;QseC,98.1
82995.CR62_11595,proA,Gamma-glutamyl&nbsp;phosphate&nbsp;reductase,98.0
82995.CR62_18100,mazG,Nucleoside&nbsp;triphosphate&nbsp;hydrolase,98.0
82995.CR62_17305,CR62_17305,Efflux&nbsp;pump&nbsp;membrane&nbsp;transporter,97.9
82995.CR62_03845,CR62_03845,Alcohol&nbsp;dehydrogenase,97.9
82995.CR62_05335,fdhD,Sulfur&nbsp;carrier&nbsp;protein&nbsp;FdhD,97.9
82995.CR62_10925,nqrF,Na(+)-translocating&nbsp;NADH-quinone&nbsp;reductase&nbsp;subunit&nbsp;F,97.8
82995.CR62_17815,CR62_17815,Sugar&nbsp;ABC&nbsp;transporter&nbsp;permease,97.8
82995.CR62_19510,frdC,Fumarate&nbsp;reductase&nbsp;subunit&nbsp;C,97.8
82995.CR62_07730,CR62_07730,ABC&nbsp;transporter&nbsp;permease,97.8
82995.CR62_17655,CR62_17655,Tricarboxylic&nbsp;transport&nbsp;membrane&nbsp;protein,97.7
82995.CR62_03885,CR62_03885,Rhizopine-binding&nbsp;protein,97.7
82995.CR62_00530,CR62_00530,RpiR&nbsp;family&nbsp;transcriptional&nbsp;regulator,97.7
82995.CR62_02725,ruvC,Crossover&nbsp;junction&nbsp;endodeoxyribonuclease&nbsp;RuvC,97.7
82995.CR62_19185,CR62_19185,Phosphoglucomutase,97.7
82995.CR62_08315,CR62_08315,Phosphohistidinoprotein-hexose&nbsp;phosphotransferase,97.7
82995.CR62_01540,CR62_01540,Elongation&nbsp;factor&nbsp;G,97.7
82995.CR62_01825,CR62_01825,Dihydromonapterin&nbsp;reductase,97.7
82995.CR62_02230,pyrF,Orotidine&nbsp;5'-phosphate&nbsp;decarboxylase,97.6
82995.CR62_10860,mtnC,Enolase-phosphatase&nbsp;E1,97.6
82995.CR62_06490,secB,Protein-export&nbsp;protein&nbsp;SecB,97.5
82995.CR62_21780,CR62_21780,Cupin,97.5
82995.CR62_03065,astD,N-succinylglutamate&nbsp;5-semialdehyde&nbsp;dehydrogenase,97.5
82995.CR62_17905,ftsN,Cell&nbsp;division&nbsp;protein&nbsp;FtsN,97.5
82995.CR62_05875,modA,Molybdate&nbsp;transporter,97.4
82995.CR62_05175,CR62_05175,Aminotransferase,97.4
82995.CR62_22220,rnt,Ribonuclease&nbsp;T,97.4
82995.CR62_16925,srlA,PTS&nbsp;system&nbsp;glucitol/sorbitol-specific&nbsp;transporter&nbsp;subunit&nbsp;IIC,97.3
82995.CR62_19640,CR62_19640,Beta-N-acetylhexosaminidase,97.3
82995.CR62_07150,CR62_07150,NAD(P)H-dependent&nbsp;FMN&nbsp;reductase,97.3
82995.CR62_18070,mtnN,5'-methylthioadenosine/S-adenosylhomocysteine&nbsp;nucleosidase,97.3
82995.CR62_03070,astA,Arginine&nbsp;N-succinyltransferase,97.3
82995.CR62_10705,rnhA,Ribonuclease&nbsp;H,97.3
82995.CR62_02640,CR62_02640,Uncharacterized&nbsp;protein,97.3
82995.CR62_03385,CR62_03385,"dTDP-4-dehydrorhamnose&nbsp;3,5-epimerase",97.3
82995.CR62_16060,CR62_16060,Molecular&nbsp;chaperone&nbsp;TorD,97.3
82995.CR62_12890,CR62_12890,Chitinase,97.2
82995.CR62_19555,CR62_19555,Transcriptional&nbsp;regulator,97.2
82995.CR62_19120,CR62_19120,PTS&nbsp;N-acetyl&nbsp;glucosamine&nbsp;transporter&nbsp;subunits&nbsp;IIABC,97.2
82995.CR62_21405,bioH,Pimeloyl-[acyl-carrier&nbsp;protein]&nbsp;methyl&nbsp;ester&nbsp;esterase,97.2
82995.CR62_09605,CR62_09605,Nucleoside-specific&nbsp;channel-forming&nbsp;protein&nbsp;Tsx,97.2
82995.CR62_02345,trpB,Tryptophan&nbsp;synthase&nbsp;beta&nbsp;chain,97.1
82995.CR62_02860,purT,Formate-dependent&nbsp;phosphoribosylglycinamide&nbsp;formyltransferase,97.1
82995.CR62_03535,dcd,dCTP&nbsp;deaminase,97.1
82995.CR62_12440,CR62_12440,3-oxoacyl-[acyl-carrier-protein]&nbsp;synthase&nbsp;2,97.1
