1082705.JIBP01000020_gene1820,JIBP01000020_gene1820,annotation&nbsp;not&nbsp;available,98.9
1082705.JIBP01000020_gene1832,cysN,Sulfate&nbsp;adenylyltransferase&nbsp;subunit&nbsp;1,98.9
1082705.JIBP01000015_gene1198,JIBP01000015_gene1198,annotation&nbsp;not&nbsp;available,98.9
1082705.JIBP01000004_gene1541,argG,annotation&nbsp;not&nbsp;available,98.8
1082705.JIBP01000010_gene152,JIBP01000010_gene152,annotation&nbsp;not&nbsp;available,98.8
1082705.JIBP01000017_gene730,JIBP01000017_gene730,annotation&nbsp;not&nbsp;available,98.8
1082705.JIBP01000005_gene1917,JIBP01000005_gene1917,annotation&nbsp;not&nbsp;available,98.7
1082705.JIBP01000020_gene1717,JIBP01000020_gene1717,Acetyltransferase&nbsp;component&nbsp;of&nbsp;pyruvate&nbsp;dehydrogenase&nbsp;complex,98.6
1082705.JIBP01000011_gene2810,JIBP01000011_gene2810,annotation&nbsp;not&nbsp;available,98.6
1082705.JIBP01000021_gene2967,rpoZ,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;omega,98.6
1082705.JIBP01000023_gene3095,JIBP01000023_gene3095,annotation&nbsp;not&nbsp;available,98.6
1082705.JIBP01000020_gene1678,leuD,3-isopropylmalate&nbsp;dehydratase&nbsp;small&nbsp;subunit,98.5
1082705.JIBP01000008_gene489,JIBP01000008_gene489,annotation&nbsp;not&nbsp;available,98.4
1082705.JIBP01000014_gene1232,JIBP01000014_gene1232,annotation&nbsp;not&nbsp;available,98.4
1082705.JIBP01000021_gene3051,hslV,ATP-dependent&nbsp;protease&nbsp;subunit&nbsp;HslV,98.2
1082705.JIBP01000002_gene2009,pnp,Polyribonucleotide&nbsp;nucleotidyltransferase,98.2
1082705.JIBP01000017_gene816,JIBP01000017_gene816,annotation&nbsp;not&nbsp;available,98.1
1082705.JIBP01000003_gene2320,ribH,"6,7-dimethyl-8-ribityllumazine&nbsp;synthase",98.1
1082705.JIBP01000003_gene2327,thiI,tRNA&nbsp;sulfurtransferase,98.0
1082705.JIBP01000003_gene2387,rcsC,Sensor&nbsp;histidine&nbsp;kinase&nbsp;RcsC,98.0
1082705.JIBP01000010_gene252,JIBP01000010_gene252,annotation&nbsp;not&nbsp;available,98.0
