1185652.USDA257_c23970,AFL50973.1,annotation&nbsp;not&nbsp;available,98.9
1185652.USDA257_c39490,yfiQ,annotation&nbsp;not&nbsp;available,98.9
1185652.USDA257_c41420,mobA,Molybdenum&nbsp;cofactor&nbsp;guanylyltransferase,98.8
1185652.USDA257_c40970,AFL52639.1,annotation&nbsp;not&nbsp;available,98.8
1185652.USDA257_c19040,AFL50491.1,annotation&nbsp;not&nbsp;available,98.8
1185652.USDA257_c42150,AFL52754.1,annotation&nbsp;not&nbsp;available,98.7
1185652.USDA257_c06390,AFL49234.1,annotation&nbsp;not&nbsp;available,98.7
1185652.USDA257_c58570,rho,Transcription&nbsp;termination&nbsp;factor&nbsp;Rho,98.7
1185652.USDA257_c56590,fixN2,annotation&nbsp;not&nbsp;available,98.7
1185652.USDA257_c57850,glnB2,annotation&nbsp;not&nbsp;available,98.7
1185652.USDA257_c18880,pdhC1,annotation&nbsp;not&nbsp;available,98.7
1185652.USDA257_c09800,xdhB,annotation&nbsp;not&nbsp;available,98.6
1185652.USDA257_c06030,bioN,annotation&nbsp;not&nbsp;available,98.6
1185652.USDA257_c49030,AFL53438.1,annotation&nbsp;not&nbsp;available,98.6
1185652.USDA257_c15720,phnI,annotation&nbsp;not&nbsp;available,98.6
1185652.USDA257_c16330,rbsC6,annotation&nbsp;not&nbsp;available,98.6
1185652.USDA257_c50500,AFL53576.1,annotation&nbsp;not&nbsp;available,98.5
1185652.USDA257_c24880,ndhS,annotation&nbsp;not&nbsp;available,98.5
1185652.USDA257_c58370,purH,annotation&nbsp;not&nbsp;available,98.5
1185652.USDA257_c31160,cbbA,annotation&nbsp;not&nbsp;available,98.5
1185652.USDA257_c31920,asnB2,annotation&nbsp;not&nbsp;available,98.5
1185652.USDA257_c45050,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate&nbsp;ligase",98.5
1185652.USDA257_c58320,cynT2,Carbonic&nbsp;anhydrase,98.5
1185652.USDA257_c34220,AFL51982.1,annotation&nbsp;not&nbsp;available,98.4
1185652.USDA257_c02520,AFL48850.1,Alanine&nbsp;racemase,98.4
1185652.USDA257_c08610,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,98.4
1185652.USDA257_c16420,amiC1,annotation&nbsp;not&nbsp;available,98.4
1185652.USDA257_c54050,bkdA1,annotation&nbsp;not&nbsp;available,98.4
1185652.USDA257_c52130,ruvA,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvA,98.4
1185652.USDA257_c49270,ureE,Urease&nbsp;accessory&nbsp;protein&nbsp;UreE,98.4
1185652.USDA257_c46660,envZ,annotation&nbsp;not&nbsp;available,98.3
1185652.USDA257_c32120,AFL51780.1,annotation&nbsp;not&nbsp;available,98.3
1185652.USDA257_c61890,ugpC10,Sn-glycerol-3-phosphate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;UgpC,98.3
1185652.USDA257_c07530,cycK,annotation&nbsp;not&nbsp;available,98.3
1185652.USDA257_c51930,AFL53718.1,annotation&nbsp;not&nbsp;available,98.3
1185652.USDA257_c55850,sdhA,annotation&nbsp;not&nbsp;available,98.2
1185652.USDA257_c36850,recG,ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RecG,98.2
1185652.USDA257_c26170,yeaW,annotation&nbsp;not&nbsp;available,98.2
1185652.USDA257_c29600,prsE2,annotation&nbsp;not&nbsp;available,98.1
1185652.USDA257_c28710,kpsM1,annotation&nbsp;not&nbsp;available,98.1
1185652.USDA257_c05370,bacC1,annotation&nbsp;not&nbsp;available,98.1
1185652.USDA257_c38760,fixN1,annotation&nbsp;not&nbsp;available,98.0
1185652.USDA257_c35720,surE,5'-nucleotidase&nbsp;SurE,98.0
1185652.USDA257_c09680,katG,Catalase-peroxidase,98.0
1185652.USDA257_c40190,AFL52563.1,annotation&nbsp;not&nbsp;available,98.0
1185652.USDA257_c03670,potF,Putrescine-binding&nbsp;periplasmic&nbsp;protein,97.9
1185652.USDA257_c38700,napC,annotation&nbsp;not&nbsp;available,97.9
1185652.USDA257_c11460,AFL49736.1,annotation&nbsp;not&nbsp;available,97.8
1185652.USDA257_c28650,clpV,annotation&nbsp;not&nbsp;available,97.8
1185652.USDA257_c30150,AFL51585.1,annotation&nbsp;not&nbsp;available,97.8
1185652.USDA257_c05920,AFL49187.1,annotation&nbsp;not&nbsp;available,97.8
1185652.USDA257_c03280,flgE,annotation&nbsp;not&nbsp;available,97.8
1185652.USDA257_c33900,rplC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L3,97.8
1185652.USDA257_c14800,AFL50070.1,annotation&nbsp;not&nbsp;available,97.8
1185652.USDA257_c16070,catI,annotation&nbsp;not&nbsp;available,97.8
1185652.USDA257_c23570,cya4,annotation&nbsp;not&nbsp;available,97.7
1185652.USDA257_c21370,livG5,annotation&nbsp;not&nbsp;available,97.7
1185652.USDA257_c20060,iolG22,annotation&nbsp;not&nbsp;available,97.7
1185652.USDA257_c41400,mcpA10,annotation&nbsp;not&nbsp;available,97.7
1185652.USDA257_c03470,aglA1,annotation&nbsp;not&nbsp;available,97.7
1185652.USDA257_c01000,cya11,annotation&nbsp;not&nbsp;available,97.7
1185652.USDA257_c38420,norE,annotation&nbsp;not&nbsp;available,97.7
1185652.USDA257_c18680,budC,annotation&nbsp;not&nbsp;available,97.6
1185652.USDA257_c51860,rpoH1,annotation&nbsp;not&nbsp;available,97.6
1185652.USDA257_c56780,obg,GTPase&nbsp;Obg,97.6
1185652.USDA257_c50050,paaE,annotation&nbsp;not&nbsp;available,97.5
1185652.USDA257_c38770,fixO2,annotation&nbsp;not&nbsp;available,97.5
1185652.USDA257_c30860,agmR3,annotation&nbsp;not&nbsp;available,97.5
1185652.USDA257_c01280,phoU,Phosphate-specific&nbsp;transport&nbsp;system&nbsp;accessory&nbsp;protein&nbsp;PhoU,97.4
1185652.USDA257_c12460,dhaS2,annotation&nbsp;not&nbsp;available,97.4
1185652.USDA257_c26740,lolD1,annotation&nbsp;not&nbsp;available,97.3
1185652.USDA257_c57830,ftsK2,annotation&nbsp;not&nbsp;available,97.3
1185652.USDA257_c41880,znuB,annotation&nbsp;not&nbsp;available,97.3
1185652.USDA257_c34990,ntrX,annotation&nbsp;not&nbsp;available,97.3
1185652.USDA257_c50450,AFL53571.1,annotation&nbsp;not&nbsp;available,97.3
1185652.USDA257_c18460,AFL50433.1,annotation&nbsp;not&nbsp;available,97.2
1185652.USDA257_c49460,livF6,annotation&nbsp;not&nbsp;available,97.2
1185652.USDA257_c19380,abgB,annotation&nbsp;not&nbsp;available,97.2
1185652.USDA257_c52030,tolQ,annotation&nbsp;not&nbsp;available,97.2
1185652.USDA257_c42530,mttB2,annotation&nbsp;not&nbsp;available,97.2
1185652.USDA257_c53390,AFL53863.1,annotation&nbsp;not&nbsp;available,97.2
1185652.USDA257_c23020,iorA1,annotation&nbsp;not&nbsp;available,97.1
1185652.USDA257_c09350,AFL49527.1,annotation&nbsp;not&nbsp;available,97.1
1185652.USDA257_c26300,degU,annotation&nbsp;not&nbsp;available,97.1
1185652.USDA257_c03990,dadA2,annotation&nbsp;not&nbsp;available,97.1
1185652.USDA257_c35400,cdsA,annotation&nbsp;not&nbsp;available,97.1
1185652.USDA257_c03860,dppC1,annotation&nbsp;not&nbsp;available,97.1
1185652.USDA257_c17200,yurJ3,annotation&nbsp;not&nbsp;available,97.0
1185652.USDA257_c08070,rkpK,annotation&nbsp;not&nbsp;available,97.0
1185652.USDA257_c00380,AFL48642.1,annotation&nbsp;not&nbsp;available,97.0
1185652.USDA257_c01230,phoR1,annotation&nbsp;not&nbsp;available,97.0
1185652.USDA257_c11870,AFL49778.1,annotation&nbsp;not&nbsp;available,97.0
1185652.USDA257_c46780,prs,Ribose-phosphate&nbsp;pyrophosphokinase,97.0
1185652.USDA257_c38010,AFL52347.1,annotation&nbsp;not&nbsp;available,96.9
1185652.USDA257_c30160,AFL51586.1,annotation&nbsp;not&nbsp;available,96.9
1185652.USDA257_c34100,secY,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecY,96.9
1185652.USDA257_c41870,AFL52727.1,annotation&nbsp;not&nbsp;available,96.9
1185652.USDA257_c29550,fabG10,annotation&nbsp;not&nbsp;available,96.8
1185652.USDA257_c49880,ssuD,Alkanesulfonate&nbsp;monooxygenase,96.7
1185652.USDA257_c57670,pheAa,annotation&nbsp;not&nbsp;available,96.7
1185652.USDA257_c14820,rbsC4,annotation&nbsp;not&nbsp;available,96.7
1185652.USDA257_c58730,gabD8,annotation&nbsp;not&nbsp;available,96.7
1185652.USDA257_c30940,cycA,annotation&nbsp;not&nbsp;available,96.7
1185652.USDA257_c11730,nrtA,annotation&nbsp;not&nbsp;available,96.7
1185652.USDA257_c53920,cobL,annotation&nbsp;not&nbsp;available,96.7
1185652.USDA257_c30590,AFL51629.1,Sn-glycerol-3-phosphate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;UgpC,96.7
1185652.USDA257_c22740,lacE,annotation&nbsp;not&nbsp;available,96.6
1185652.USDA257_c51780,ctrA2,annotation&nbsp;not&nbsp;available,96.6
1185652.USDA257_c45120,amiD,annotation&nbsp;not&nbsp;available,96.6
1185652.USDA257_c57870,AFL54298.1,annotation&nbsp;not&nbsp;available,96.6
1185652.USDA257_c49390,fabH2,annotation&nbsp;not&nbsp;available,96.6
1185652.USDA257_c25710,iolC1,annotation&nbsp;not&nbsp;available,96.5
1185652.USDA257_c33830,rpoC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta',96.5
1185652.USDA257_c15410,msmX,annotation&nbsp;not&nbsp;available,96.5
1185652.USDA257_c47530,lldD,L-lactate&nbsp;dehydrogenase,96.5
1185652.USDA257_c58640,dnaQ,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;epsilon,96.5
1185652.USDA257_c55160,coxS,annotation&nbsp;not&nbsp;available,96.5
1185652.USDA257_c00320,mutS,DNA&nbsp;mismatch&nbsp;repair&nbsp;protein&nbsp;MutS,96.4
1185652.USDA257_c00230,ihfB,Integration&nbsp;host&nbsp;factor&nbsp;subunit&nbsp;beta,96.4
1185652.USDA257_c14780,ribB1,"3,4-dihydroxy-2-butanone&nbsp;4-phosphate&nbsp;synthase",96.4
1185652.USDA257_c40400,AFL52584.1,annotation&nbsp;not&nbsp;available,96.4
1185652.USDA257_c33640,mrcA,annotation&nbsp;not&nbsp;available,96.3
1185652.USDA257_c28750,noeK,annotation&nbsp;not&nbsp;available,96.3
1185652.USDA257_c20300,AFL50613.1,annotation&nbsp;not&nbsp;available,96.2
1185652.USDA257_c01680,aspC1,annotation&nbsp;not&nbsp;available,96.2
1185652.USDA257_c32730,speB2,annotation&nbsp;not&nbsp;available,96.2
1185652.USDA257_c14630,minC,Probable&nbsp;septum&nbsp;site-determining&nbsp;protein&nbsp;MinC,96.2
1185652.USDA257_c59250,glcB,Malate&nbsp;synthase&nbsp;G,96.1
1185652.USDA257_c42170,AFL52756.1,annotation&nbsp;not&nbsp;available,96.1
1185652.USDA257_c16650,phaC1,annotation&nbsp;not&nbsp;available,96.1
1185652.USDA257_c29990,dhaS4,annotation&nbsp;not&nbsp;available,96.1
1185652.USDA257_c30450,AFL51615.1,annotation&nbsp;not&nbsp;available,96.1
1185652.USDA257_c09790,AFL49571.1,annotation&nbsp;not&nbsp;available,96.0
1185652.USDA257_c45500,yngJ,annotation&nbsp;not&nbsp;available,95.9
1185652.USDA257_c03440,aglE,annotation&nbsp;not&nbsp;available,95.9
1185652.USDA257_c01150,kdpD1,annotation&nbsp;not&nbsp;available,95.9
1185652.USDA257_c15860,cyaA1,annotation&nbsp;not&nbsp;available,95.9
1185652.USDA257_c49960,natD,annotation&nbsp;not&nbsp;available,95.8
1185652.USDA257_c54160,hpd,annotation&nbsp;not&nbsp;available,95.8
1185652.USDA257_c48850,AFL53420.1,annotation&nbsp;not&nbsp;available,95.7
1185652.USDA257_c02040,AFL48804.1,annotation&nbsp;not&nbsp;available,95.7
1185652.USDA257_c56070,gatA3,annotation&nbsp;not&nbsp;available,95.7
1185652.USDA257_c18830,AFL50470.1,annotation&nbsp;not&nbsp;available,95.7
1185652.USDA257_c31700,cysA2,Sulfate/thiosulfate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;CysA,95.6
1185652.USDA257_c01060,rbsC1,annotation&nbsp;not&nbsp;available,95.6
1185652.USDA257_c29570,phoB2,annotation&nbsp;not&nbsp;available,95.6
1185652.USDA257_c09200,parC,DNA&nbsp;topoisomerase&nbsp;4&nbsp;subunit&nbsp;A,95.5
1185652.USDA257_c18730,AFL50460.1,annotation&nbsp;not&nbsp;available,95.5
1185652.USDA257_c24050,AFL50981.1,annotation&nbsp;not&nbsp;available,95.5
1185652.USDA257_c02870,cheW1,annotation&nbsp;not&nbsp;available,95.5
1185652.USDA257_c36450,AFL52197.1,annotation&nbsp;not&nbsp;available,95.4
1185652.USDA257_c54440,xylY,annotation&nbsp;not&nbsp;available,95.4
1185652.USDA257_c01800,ilvB1,annotation&nbsp;not&nbsp;available,95.4
1185652.USDA257_c29540,ilvB3,annotation&nbsp;not&nbsp;available,95.3
1185652.USDA257_c47220,fhs,annotation&nbsp;not&nbsp;available,95.3
1185652.USDA257_c39550,argF2,annotation&nbsp;not&nbsp;available,95.3
1185652.USDA257_c23350,AFL50913.1,annotation&nbsp;not&nbsp;available,95.2
1185652.USDA257_c06120,dnaJ1,annotation&nbsp;not&nbsp;available,95.2
1185652.USDA257_c36750,moaC,Cyclic&nbsp;pyranopterin&nbsp;monophosphate&nbsp;synthase,95.2
1185652.USDA257_c04780,oxyR,annotation&nbsp;not&nbsp;available,95.2
1185652.USDA257_c55490,AFL54064.1,annotation&nbsp;not&nbsp;available,95.1
1185652.USDA257_c41510,AFL52692.1,annotation&nbsp;not&nbsp;available,95.1
1185652.USDA257_c01960,pbpG1,annotation&nbsp;not&nbsp;available,95.1
1185652.USDA257_c56510,rbsA11,Ribose&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;RbsA,95.1
1185652.USDA257_c01890,AFL48789.1,annotation&nbsp;not&nbsp;available,95.1
1185652.USDA257_c51610,yagT2,annotation&nbsp;not&nbsp;available,95.0
1185652.USDA257_c12510,purU1,Formyltetrahydrofolate&nbsp;deformylase,95.0
1185652.USDA257_c60790,infB,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-2,95.0
1185652.USDA257_c08640,fabD,annotation&nbsp;not&nbsp;available,95.0
1185652.USDA257_c35680,tatA1,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatA,95.0
1185652.USDA257_c55430,glpD3,annotation&nbsp;not&nbsp;available,95.0
1185652.USDA257_c55600,atpD,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,94.9
1185652.USDA257_c47460,glpK3,Glycerol&nbsp;kinase,94.9
1185652.USDA257_c25740,AFL51149.1,annotation&nbsp;not&nbsp;available,94.9
1185652.USDA257_c26750,lolC1,annotation&nbsp;not&nbsp;available,94.8
1185652.USDA257_c41390,moaA,"GTP&nbsp;3',8-cyclase",94.8
1185652.USDA257_c15370,gln,annotation&nbsp;not&nbsp;available,94.8
1185652.USDA257_c27180,petA1,Ubiquinol-cytochrome&nbsp;c&nbsp;reductase&nbsp;iron-sulfur&nbsp;subunit,94.8
