243365.CV_1805,mmdA,Acetyl-CoA&nbsp;carboxylase&nbsp;alpha&nbsp;subunit,98.9
243365.CV_2459,CV_2459,"Probable&nbsp;ABC&nbsp;transporter&nbsp;system,&nbsp;ATP-binding&nbsp;protein",98.8
243365.CV_2398,CV_2398,Uncharacterized&nbsp;protein,98.7
243365.CV_3446,cheV2,Chemotaxis&nbsp;protein&nbsp;CheV,98.7
243365.CV_2799,CV_2799,Uncharacterized&nbsp;protein,98.6
243365.CV_2235,fepG,Enterobactin-iron&nbsp;transport&nbsp;system&nbsp;permease&nbsp;protein,98.6
243365.CV_4172,rpsH,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,98.6
243365.CV_0433,oprM,Outer&nbsp;membrane&nbsp;efflux&nbsp;protein,98.5
243365.CV_1948,CV_1948,Uncharacterized&nbsp;protein,98.5
243365.CV_1184,eutC,Ethanolamine&nbsp;ammonia-lyase&nbsp;light&nbsp;chain,98.4
243365.CV_0701,CV_0701,Probable&nbsp;oxidoreductase,98.4
243365.CV_2037,CV_2037,Probable&nbsp;dihydrolipoamide&nbsp;dehydrogenase,98.4
243365.CV_0964,CV_0964,Uncharacterized&nbsp;protein,98.4
243365.CV_0950,nuoJ,"NADH-ubiquinone&nbsp;oxidoreductase,&nbsp;chain&nbsp;J",98.4
243365.CV_3994,cyoC,"Cytochrome&nbsp;o&nbsp;ubiquinol&nbsp;oxidase,&nbsp;subunit&nbsp;III",98.3
243365.CV_2768,asd,Aspartate-semialdehyde&nbsp;dehydrogenase,98.3
243365.CV_2873,CV_2873,Probable&nbsp;hemolysin&nbsp;activator&nbsp;protein,98.2
243365.CV_1012,cheW3,Signal&nbsp;transduction&nbsp;chemotaxis&nbsp;protein,98.2
243365.CV_2311,ptsA,Phosphoenolpyruvate-protein&nbsp;phosphotransferase,98.1
243365.CV_4397,CV_4397,"Probable&nbsp;ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",98.1
243365.CV_3082,CV_3082,Probable&nbsp;GGDEF&nbsp;family&nbsp;regulatory&nbsp;protein,98.1
243365.CV_0486,birA,Bifunctional&nbsp;ligase/repressor&nbsp;BirA,98.0
243365.CV_0891,qseB,Transcriptional&nbsp;regulatory&nbsp;protein&nbsp;qseB,98.0
243365.CV_2547,pqiB,Paraquat-inducible&nbsp;protein&nbsp;B,98.0
243365.CV_0670,atpA,ATP&nbsp;synthase&nbsp;subunit&nbsp;alpha,98.0
