754477.Q7C_2389,rplL,50S&nbsp;ribosomal&nbsp;protein&nbsp;L7/L12,98.8
754477.Q7C_2101,ctc,50S&nbsp;ribosomal&nbsp;protein&nbsp;L25,98.8
754477.Q7C_598,lptE,LPS-assembly&nbsp;lipoprotein&nbsp;LptE,98.8
754477.Q7C_2681,Q7C_2681,PFAM:&nbsp;Acyl&nbsp;transferase&nbsp;domain,98.8
754477.Q7C_2360,pyrF,Orotidine&nbsp;5'-phosphate&nbsp;decarboxylase,98.5
754477.Q7C_1268,cheB,Chemotaxis&nbsp;response&nbsp;regulator&nbsp;protein-glutamate&nbsp;methylesterase,98.5
754477.Q7C_2500,Q7C_2500,"PFAM:&nbsp;DNA&nbsp;polymerase&nbsp;III&nbsp;chi&nbsp;subunit,&nbsp;HolC",98.4
754477.Q7C_572,pnp,Polyribonucleotide&nbsp;nucleotidyltransferase,98.3
754477.Q7C_1813,Q7C_1813,PFAM:&nbsp;Binding-protein-dependent&nbsp;transport&nbsp;system&nbsp;inner&nbsp;membrane&nbsp;component,98.3
754477.Q7C_283,cysG,Siroheme&nbsp;synthase,98.2
754477.Q7C_1066,Q7C_1066,PFAM:&nbsp;Rieske&nbsp;[2Fe-2S]&nbsp;domain,98.2
754477.Q7C_2140,dnaQ,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;epsilon,98.1
754477.Q7C_215,Q7C_215,Cyclic&nbsp;AMP&nbsp;receptor&nbsp;protein,98.1
754477.Q7C_1412,Q7C_1412,annotation&nbsp;not&nbsp;available,98.0
754477.Q7C_1700,Q7C_1700,"Phosphocarrier&nbsp;protein,&nbsp;nitrogen&nbsp;regulation&nbsp;associated",97.9
754477.Q7C_1686,Q7C_1686,Pas,97.8
754477.Q7C_908,cysN,Sulfate&nbsp;adenylyltransferase&nbsp;subunit&nbsp;1,97.4
754477.Q7C_1851,rpmH,PFAM:&nbsp;Ribosomal&nbsp;protein&nbsp;L34,97.3
754477.Q7C_224,Q7C_224,Carbon&nbsp;storage&nbsp;regulator&nbsp;homolog,97.2
754477.Q7C_2234,polA,DNA&nbsp;polymerase&nbsp;I,97.0
754477.Q7C_2531,Q7C_2531,Long-chain-fatty-acid--CoA&nbsp;ligase,96.9
754477.Q7C_342,Q7C_342,Aspartokinase&nbsp;associated&nbsp;with&nbsp;ectoine&nbsp;biosynthesis,96.9
754477.Q7C_1875,ureF,Urease&nbsp;accessory&nbsp;protein&nbsp;UreF,96.9
754477.Q7C_386,Q7C_386,Putative&nbsp;non-ribosomal&nbsp;peptide&nbsp;synthetase,96.8
754477.Q7C_2364,secF,Protein-export&nbsp;membrane&nbsp;protein&nbsp;SecF,96.7
754477.Q7C_1004,glgB,"1,4-alpha-glucan&nbsp;branching&nbsp;enzyme&nbsp;GlgB",96.6
754477.Q7C_964,Q7C_964,Conjugative&nbsp;transfer&nbsp;protein&nbsp;TrbE,96.6
754477.Q7C_2329,Q7C_2329,Flagellar&nbsp;hook&nbsp;protein&nbsp;FlgE,96.5
754477.Q7C_1815,Q7C_1815,"Phosphate&nbsp;ABC&nbsp;transporter,&nbsp;periplasmic&nbsp;phosphate-binding&nbsp;protein&nbsp;PstS",96.3
754477.Q7C_2259,Q7C_2259,Inositol-1-monophosphatase,96.2
754477.Q7C_1380,parC,DNA&nbsp;topoisomerase&nbsp;4&nbsp;subunit&nbsp;A,96.2
754477.Q7C_148,Q7C_148,Membrane&nbsp;alanine&nbsp;aminopeptidase&nbsp;N,96.1
754477.Q7C_132,gyrA,DNA&nbsp;gyrase&nbsp;subunit&nbsp;A,96.0
754477.Q7C_1858,Q7C_1858,Uroporphyrinogen&nbsp;III,95.8
754477.Q7C_780,Q7C_780,Thiol:disulfide&nbsp;interchange&nbsp;protein,95.8
754477.Q7C_2487,Q7C_2487,Catalase-peroxidase,95.7
754477.Q7C_553,Q7C_553,"DNA&nbsp;polymerase&nbsp;III,&nbsp;epsilon&nbsp;subunit-like&nbsp;protein",95.5
754477.Q7C_1446,Q7C_1446,"PFAM:&nbsp;Histidine&nbsp;kinase-,&nbsp;DNA&nbsp;gyrase&nbsp;B-,&nbsp;and&nbsp;HSP90-like&nbsp;ATPase",95.2
754477.Q7C_2385,nusG,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusG,95.1
754477.Q7C_2161,trpS,Tryptophan--tRNA&nbsp;ligase,95.0
754477.Q7C_275,Q7C_275,PFAM:&nbsp;Uncharacterized&nbsp;protein&nbsp;family&nbsp;(UPF0051),95.0
