930166.CD58_15220,CD58_15220,Invertase,98.9
930166.CD58_16555,CD58_16555,Chemotaxis&nbsp;protein,98.8
930166.CD58_29305,CD58_29305,Transcriptional&nbsp;regulator&nbsp;PhoB,98.8
930166.CD58_24470,ftsW,Probable&nbsp;peptidoglycan&nbsp;glycosyltransferase&nbsp;FtsW,98.8
930166.CD58_09065,CD58_09065,Glutathione&nbsp;peroxidase,98.7
930166.CD58_27040,tsaD,tRNA&nbsp;N6-adenosine&nbsp;threonylcarbamoyltransferase,98.7
930166.CD58_19465,CD58_19465,ABC&nbsp;transporter&nbsp;permease,98.7
930166.CD58_12295,CD58_12295,Histidine&nbsp;kinase,98.7
930166.CD58_09370,CD58_09370,Histidine&nbsp;kinase,98.7
930166.CD58_29045,CD58_29045,Type&nbsp;VI&nbsp;secretion&nbsp;protein,98.7
930166.CD58_09335,CD58_09335,Uroporphyrin-III&nbsp;methyltransferase,98.6
930166.CD58_06035,CD58_06035,Catalyzes&nbsp;the&nbsp;formation&nbsp;of&nbsp;succinyldiaminopimelate&nbsp;from&nbsp;N-succinyl-2-amino-6-ketopimelate,98.6
930166.CD58_21855,sdhA,Part&nbsp;of&nbsp;four&nbsp;member&nbsp;succinate&nbsp;dehydrogenase&nbsp;enzyme&nbsp;complex&nbsp;that&nbsp;forms&nbsp;a&nbsp;trimeric&nbsp;complex&nbsp;(trimer&nbsp;of&nbsp;tetramers),98.6
930166.CD58_19435,CD58_19435,Phospho-2-dehydro-3-deoxyheptonate&nbsp;aldolase,98.5
930166.CD58_03065,CD58_03065,Bacterioferritin,98.5
930166.CD58_14980,CD58_14980,Cytochrome&nbsp;C&nbsp;biogenesis&nbsp;protein&nbsp;CcsA,98.5
930166.CD58_22655,CD58_22655,Ribonucleoside-diphosphate&nbsp;reductase,98.5
930166.CD58_03370,CD58_03370,3-ketoacyl-ACP&nbsp;reductase,98.5
930166.CD58_05800,CD58_05800,Chemotaxis&nbsp;protein&nbsp;CheW,98.4
930166.CD58_29065,CD58_29065,Uncharacterized&nbsp;protein,98.4
930166.CD58_28215,CD58_28215,Spermidine/putrescine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PotA,98.4
930166.CD58_00140,CD58_00140,Metal&nbsp;ABC&nbsp;transporter&nbsp;permease,98.4
930166.CD58_08820,kdpA,Potassium-transporting&nbsp;ATPase&nbsp;potassium-binding&nbsp;subunit,98.4
930166.CD58_17665,CD58_17665,Short-chain&nbsp;dehydrogenase,98.4
930166.CD58_24440,ftsZ,Cell&nbsp;division&nbsp;protein&nbsp;FtsZ,98.4
930166.CD58_06220,mutS,DNA&nbsp;mismatch&nbsp;repair&nbsp;protein&nbsp;MutS,98.3
930166.CD58_22950,CD58_22950,Glycerophosphodiester&nbsp;phosphodiesterase,98.3
930166.CD58_19895,glgB,"1,4-alpha-glucan&nbsp;branching&nbsp;enzyme&nbsp;GlgB",98.3
930166.CD58_15860,CD58_15860,Type&nbsp;III&nbsp;secretion&nbsp;system&nbsp;protein,98.3
930166.CD58_26860,speD,S-adenosylmethionine&nbsp;decarboxylase&nbsp;proenzyme,98.3
930166.CD58_25600,CD58_25600,Ankyrin,98.3
930166.CD58_00050,glyS,Glycine--tRNA&nbsp;ligase&nbsp;beta&nbsp;subunit,98.3
930166.CD58_17735,CD58_17735,FAD-dependent&nbsp;oxidoreductase,98.2
930166.CD58_06060,pyrH,Uridylate&nbsp;kinase,98.2
930166.CD58_14220,CD58_14220,Uncharacterized&nbsp;protein,98.2
930166.CD58_06165,ispD,2-C-methyl-D-erythritol&nbsp;4-phosphate&nbsp;cytidylyltransferase,98.2
930166.CD58_14425,CD58_14425,Biopolymer&nbsp;transporter&nbsp;TolR,98.2
930166.CD58_02040,CD58_02040,Poly(R)-hydroxyalkanoic&nbsp;acid&nbsp;synthase,98.2
930166.CD58_27420,CD58_27420,Electron&nbsp;transfer&nbsp;flavoprotein&nbsp;subunit&nbsp;beta,98.2
930166.CD58_29355,CD58_29355,Phosphate-binding&nbsp;protein,98.1
930166.CD58_23655,CD58_23655,Formyltetrahydrofolate&nbsp;deformylase,98.1
930166.CD58_24600,trpS,Tryptophan--tRNA&nbsp;ligase,98.1
930166.CD58_05000,CD58_05000,Cytochrome&nbsp;C&nbsp;oxidase,98.0
930166.CD58_02175,CD58_02175,General&nbsp;secretion&nbsp;pathway&nbsp;protein&nbsp;GspG,98.0
930166.CD58_15410,CD58_15410,ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,98.0
930166.CD58_26535,CD58_26535,Catalase,98.0
930166.CD58_06040,glnD,Bifunctional&nbsp;uridylyltransferase/uridylyl-removing&nbsp;enzyme,97.9
930166.CD58_02660,CD58_02660,Channel&nbsp;protein&nbsp;TolC,97.9
930166.CD58_10135,truA,tRNA&nbsp;pseudouridine&nbsp;synthase&nbsp;A,97.9
930166.CD58_22105,allA,Ureidoglycolate&nbsp;lyase,97.9
930166.CD58_19470,CD58_19470,Microcin&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,97.8
930166.CD58_07880,CD58_07880,RNA&nbsp;helicase,97.8
930166.CD58_25620,CD58_25620,Zinc&nbsp;protease,97.7
