1496688.ER33_04280,ssuD,Alkanesulfonate&nbsp;monooxygenase,98.9
1496688.ER33_06455,rps8,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,98.9
1496688.ER33_07300,ER33_07300,ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RecG,98.8
1496688.ER33_06430,rpmC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L29,98.7
1496688.ER33_10960,ER33_10960,Glycosyl&nbsp;transferase,98.7
1496688.ER33_04870,ER33_04870,Cysteine&nbsp;desulfurase,98.5
1496688.ER33_10135,ER33_10135,Bacitracin&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,98.4
1496688.ER33_15480,tsaD,tRNA&nbsp;N6-adenosine&nbsp;threonylcarbamoyltransferase,98.4
1496688.ER33_05000,ER33_05000,Uncharacterized&nbsp;protein,98.4
1496688.ER33_02615,ER33_02615,Peptidase&nbsp;M20,98.3
1496688.ER33_03730,pdhA,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component&nbsp;subunit&nbsp;alpha,98.3
1496688.ER33_06395,rpl4,50S&nbsp;ribosomal&nbsp;protein&nbsp;L4,98.3
1496688.ER33_04760,ER33_04760,Phycocyanin,98.2
1496688.ER33_02740,ER33_02740,Uncharacterized&nbsp;protein,98.1
1496688.ER33_04930,ER33_04930,Branched-chain&nbsp;amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;permease,98.1
1496688.ER33_05410,ER33_05410,Uncharacterized&nbsp;protein,97.9
1496688.ER33_02440,ER33_02440,Histidine&nbsp;kinase,97.7
1496688.ER33_06625,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,97.7
1496688.ER33_12155,ER33_12155,Peptidase&nbsp;S16,97.6
1496688.ER33_14140,minE,Cell&nbsp;division&nbsp;topological&nbsp;specificity&nbsp;factor,97.6
1496688.ER33_01555,ER33_01555,Carboxypeptidase,97.6
1496688.ER33_00420,ER33_00420,Uncharacterized&nbsp;protein,97.5
1496688.ER33_08855,panC/cmk,Bifunctional&nbsp;pantoate&nbsp;ligase/cytidylate&nbsp;kinase,97.5
1496688.ER33_02450,kaiB,Circadian&nbsp;clock&nbsp;protein&nbsp;KaiB,97.5
1496688.ER33_12070,ER33_12070,Phosphoglucosamine&nbsp;mutase,97.4
1496688.ER33_11335,ER33_11335,Transport&nbsp;permease&nbsp;protein,97.3
