937777.Deipe_3375,Deipe_3375,Enoyl-CoA&nbsp;hydratase/carnithine&nbsp;racemase,98.9
937777.Deipe_1016,Deipe_1016,Peroxiredoxin,98.8
937777.Deipe_3262,Deipe_3262,PAS&nbsp;domain&nbsp;S-box,98.8
937777.Deipe_1356,Deipe_1356,"ABC-type&nbsp;sugar&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component",98.8
937777.Deipe_0992,Deipe_0992,PFAM:&nbsp;Gamma-glutamyltranspeptidase,98.7
937777.Deipe_2304,Deipe_2304,PFAM:&nbsp;ATP:corrinoid&nbsp;adenosyltransferase&nbsp;BtuR/CobO/CobP,98.5
937777.Deipe_0113,Deipe_0113,PFAM:&nbsp;Phosphorylase&nbsp;superfamily,98.5
937777.Deipe_1745,Deipe_1745,annotation&nbsp;not&nbsp;available,98.4
937777.Deipe_2888,Deipe_2888,Putative&nbsp;Zn-dependent&nbsp;peptidase,98.3
937777.Deipe_0723,Deipe_0723,"PFAM:&nbsp;Glutamine&nbsp;synthetase,&nbsp;catalytic&nbsp;domain",98.3
937777.Deipe_2015,Deipe_2015,"ABC-type&nbsp;branched-chain&nbsp;amino&nbsp;acid&nbsp;transport&nbsp;systems,&nbsp;ATPase&nbsp;component",98.2
937777.Deipe_3628,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,98.2
937777.Deipe_3040,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,98.2
937777.Deipe_3330,Deipe_3330,PFAM:&nbsp;Respiratory-chain&nbsp;NADH&nbsp;dehydrogenase&nbsp;24&nbsp;Kd&nbsp;subunit,98.2
937777.Deipe_1181,Deipe_1181,"Pyruvate/2-oxoglutarate&nbsp;dehydrogenase&nbsp;complex,&nbsp;dehydrogenase&nbsp;component&nbsp;beta&nbsp;subunit",98.2
937777.Deipe_2129,Deipe_2129,Transcriptional&nbsp;regulator/sugar&nbsp;kinase,98.1
937777.Deipe_1635,Deipe_1635,DNA-methyltransferase&nbsp;Dcm,97.9
937777.Deipe_0365,recF,DNA&nbsp;replication&nbsp;and&nbsp;repair&nbsp;protein&nbsp;RecF,97.7
937777.Deipe_3525,Deipe_3525,Permease&nbsp;component&nbsp;of&nbsp;ABC-type&nbsp;sugar&nbsp;transporter,97.6
937777.Deipe_2023,Deipe_2023,PFAM:&nbsp;Coenzyme&nbsp;A&nbsp;transferase,97.6
937777.Deipe_1086,Deipe_1086,"Multisubunit&nbsp;Na+/H+&nbsp;antiporter,&nbsp;MnhC&nbsp;subunit",97.6
937777.Deipe_3123,Deipe_3123,Permease&nbsp;component&nbsp;of&nbsp;ABC-type&nbsp;sugar&nbsp;transporter,97.5
937777.Deipe_1571,Deipe_1571,Replicative&nbsp;DNA&nbsp;helicase,97.5
937777.Deipe_3052,rplF,50S&nbsp;ribosomal&nbsp;protein&nbsp;L6,97.4
937777.Deipe_0675,Deipe_0675,"ABC-type&nbsp;dipeptide&nbsp;transport&nbsp;system,&nbsp;periplasmic&nbsp;component",97.4
937777.Deipe_2839,Deipe_2839,PFAM:&nbsp;Coenzyme&nbsp;A&nbsp;transferase,97.2
