1366046.HIMB11_02270,ERL97226.1,"Sarcosine&nbsp;oxidase,&nbsp;alpha&nbsp;subunit&nbsp;family,&nbsp;heterotetrameric&nbsp;form",98.9
1366046.HIMB11_02021,ERL97494.1,Vitamin&nbsp;B12-dependent&nbsp;ribonucleotide&nbsp;reductase,98.8
1366046.HIMB11_02675,ERL96958.1,PFAM:&nbsp;Phenylacetic&nbsp;acid&nbsp;degradation&nbsp;B,98.8
1366046.HIMB11_01036,ERL98430.1,'PFAM:&nbsp;Glutamate/Leucine/Phenylalanine/Valine&nbsp;dehydrogenase,98.8
1366046.HIMB11_02759,ligA,DNA&nbsp;ligase,98.7
1366046.HIMB11_01665,ERL97714.1,"'PFAM:&nbsp;Alanine&nbsp;dehydrogenase/PNT,&nbsp;N-terminal&nbsp;domain'",98.7
1366046.HIMB11_00173,rnr,Ribonuclease&nbsp;R,98.6
1366046.HIMB11_02503,ERL97063.1,FAD/FMN-dependent&nbsp;dehydrogenase,98.6
1366046.HIMB11_03125,secE,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecE,98.6
1366046.HIMB11_03162,ERL96381.1,PFAM:&nbsp;Sensors&nbsp;of&nbsp;blue-light&nbsp;using&nbsp;FAD,98.6
1366046.HIMB11_01457,rpmA,PFAM:&nbsp;Ribosomal&nbsp;L27&nbsp;protein,98.6
1366046.HIMB11_03235,ERL96324.1,Flavodoxin&nbsp;reductase&nbsp;family&nbsp;protein,98.6
1366046.HIMB11_00016,ERL99077.1,'PFAM:&nbsp;Molybdopterin-binding&nbsp;domain&nbsp;of&nbsp;aldehyde&nbsp;dehydrogenase,98.5
1366046.HIMB11_02418,ERL96980.1,"Amino&nbsp;acid/amide&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein&nbsp;1,&nbsp;HAAT&nbsp;family",98.5
1366046.HIMB11_02219,ERL97176.1,"'PFAM:&nbsp;Beta-ketoacyl&nbsp;synthase,&nbsp;N-terminal&nbsp;domain",98.5
1366046.HIMB11_02552,gloB,Hydroxyacylglutathione&nbsp;hydrolase,98.5
1366046.HIMB11_02375,ERL97327.1,Threonine&nbsp;dehydratase,98.4
1366046.HIMB11_00639,ERL98832.1,"ABC-type&nbsp;dipeptide&nbsp;transport&nbsp;system,&nbsp;periplasmic&nbsp;component",98.4
1366046.HIMB11_00083,ERL99143.1,Transcriptional&nbsp;regulator/sugar&nbsp;kinase,98.3
1366046.HIMB11_02456,ERL97018.1,Threonine&nbsp;aldolase,98.3
1366046.HIMB11_01144,ERL98536.1,Selenocysteine&nbsp;lyase,98.3
1366046.HIMB11_02709,rpmF,PFAM:&nbsp;Ribosomal&nbsp;L32p&nbsp;protein&nbsp;family,98.2
1366046.HIMB11_02053,ERL97525.1,"Indolepyruvate&nbsp;ferredoxin&nbsp;oxidreductase,&nbsp;alpha/beta&nbsp;subunit",98.2
1366046.HIMB11_03024,ERL96553.1,"Amino&nbsp;acid&nbsp;ABC&nbsp;transporter&nbsp;ATP-binding&nbsp;protein,&nbsp;PAAT&nbsp;family",98.2
1366046.HIMB11_01894,ERL97370.1,"Glycine/D-amino&nbsp;acid&nbsp;oxidase,&nbsp;deaminating",98.1
1366046.HIMB11_02911,ERL96570.1,annotation&nbsp;not&nbsp;available,98.1
1366046.HIMB11_02581,ERL96865.1,PFAM:&nbsp;Flagellar&nbsp;basal&nbsp;body&nbsp;rod&nbsp;FlgEFG&nbsp;protein&nbsp;C-terminal,98.1
1366046.HIMB11_02323,ERL97278.1,Lactoylglutathione&nbsp;lyase-like&nbsp;lyase,98.1
1366046.HIMB11_00662,ERL98855.1,'PFAM:&nbsp;Pyrimidine&nbsp;nucleoside&nbsp;phosphorylase&nbsp;C-terminal&nbsp;domain,98.1
1366046.HIMB11_01692,ERL97741.1,ATP&nbsp;phosphoribosyltransferase&nbsp;involved&nbsp;in&nbsp;histidine&nbsp;biosynthesis,98.1
1366046.HIMB11_00333,ERL99389.1,"Benzoyl-CoA&nbsp;oxygenase,&nbsp;component&nbsp;A",98.1
1366046.HIMB11_01232,ERL98622.1,"Flavin-dependent&nbsp;oxidoreductase,&nbsp;F420-dependent&nbsp;methylene-tetrahydromethanopterin&nbsp;reductase",98.0
1366046.HIMB11_02528,ERL97088.1,"Amidase,&nbsp;Asp-tRNAAsn/Glu-tRNAGln&nbsp;amidotransferase&nbsp;A&nbsp;subunit",98.0
1366046.HIMB11_01553,ERL98239.1,PFAM:&nbsp;Competence-damaged&nbsp;protein,97.8
1366046.HIMB11_01224,ERL98614.1,PFAM:&nbsp;Nitroreductase&nbsp;family,97.8
1366046.HIMB11_00400,ERL99454.1,UDP-glucose-4-epimerase,97.7
1366046.HIMB11_02636,ERL96920.1,Amidohydrolase,97.6
1366046.HIMB11_02307,ERL97263.1,"'PFAM:&nbsp;Glutamine&nbsp;synthetase,&nbsp;catalytic&nbsp;domain",97.6
1366046.HIMB11_01218,ERL98608.1,Transcriptional&nbsp;regulator/sugar&nbsp;kinase,97.6
1366046.HIMB11_01541,ERL98227.1,Enoyl-CoA&nbsp;hydratase/carnithine&nbsp;racemase,97.5
1366046.HIMB11_01027,ERL98421.1,"TRAP-type&nbsp;mannitol/chloroaromatic&nbsp;compound&nbsp;transport&nbsp;system,&nbsp;periplasmic&nbsp;component",97.5
1366046.HIMB11_02663,ERL96946.1,Precorrin-2&nbsp;C20-methyltransferase,97.5
1366046.HIMB11_00563,ERL98757.1,"Acetyl-CoA&nbsp;carboxylase,&nbsp;biotin&nbsp;carboxylase&nbsp;subunit",97.5
1366046.HIMB11_00971,ERL98366.1,"'PFAM:&nbsp;Glutamine&nbsp;synthetase,&nbsp;catalytic&nbsp;domain'",97.5
1366046.HIMB11_03095,ERL96446.1,"'TIGRFAM:&nbsp;TRAP&nbsp;transporter&nbsp;solute&nbsp;receptor,&nbsp;TAXI&nbsp;family'",97.4
1366046.HIMB11_00854,ERL99043.1,PFAM:&nbsp;Glutathione&nbsp;peroxidase,97.4
1366046.HIMB11_02338,ERL97293.1,PFAM:&nbsp;Enoyl-(Acyl&nbsp;carrier&nbsp;protein)&nbsp;reductase,97.4
1366046.HIMB11_01535,ERL98221.1,PFAM:&nbsp;Bacterial&nbsp;transferase&nbsp;hexapeptide&nbsp;(six&nbsp;repeats),97.4
1366046.HIMB11_02556,ERL97116.1,Flagellar&nbsp;motor&nbsp;protein,97.3
1366046.HIMB11_01229,ERL98619.1,PFAM:&nbsp;Glucose&nbsp;/&nbsp;Sorbosone&nbsp;dehydrogenase,97.3
1366046.HIMB11_00119,ERL99179.1,Inorganic&nbsp;pyrophosphatase/exopolyphosphatase,97.3
1366046.HIMB11_00569,ERL98763.1,"Amino&nbsp;acid/amide&nbsp;ABC&nbsp;transporter&nbsp;membrane&nbsp;protein&nbsp;2,&nbsp;HAAT&nbsp;family",97.2
1366046.HIMB11_00858,ERL99047.1,PFAM:&nbsp;Tetratricopeptide&nbsp;repeat,97.2
1366046.HIMB11_01042,ERL98436.1,PFAM:&nbsp;Aminotransferase&nbsp;class&nbsp;I&nbsp;and&nbsp;II,97.1
1366046.HIMB11_01978,ERL97451.1,Putative&nbsp;flavoprotein&nbsp;involved&nbsp;in&nbsp;K+&nbsp;transport,97.1
1366046.HIMB11_00575,ERL98769.1,Na+/proline&nbsp;symporter,97.0
1366046.HIMB11_02036,ERL97508.1,Molybdopterin&nbsp;biosynthesis&nbsp;enzyme,97.0
1366046.HIMB11_02178,nusB,Transcription&nbsp;antitermination&nbsp;protein&nbsp;NusB,97.0
1366046.HIMB11_02132,ERL97604.1,Putative&nbsp;amino&nbsp;acid&nbsp;aldolase&nbsp;or&nbsp;racemase,96.9
1366046.HIMB11_02079,ERL97551.1,annotation&nbsp;not&nbsp;available,96.8
1366046.HIMB11_02536,ribA,GTP&nbsp;cyclohydrolase-2,96.8
1366046.HIMB11_02567,ERL97127.1,"ABC-type&nbsp;multidrug&nbsp;transport&nbsp;system,&nbsp;ATPase&nbsp;component",96.7
1366046.HIMB11_01558,ERL98244.1,"Signal&nbsp;transduction&nbsp;histidine&nbsp;kinase,&nbsp;nitrogen&nbsp;specific",96.7
1366046.HIMB11_01506,ERL98192.1,PFAM:&nbsp;Glucokinase,96.7
