574556.ACIS_01004,sdhD,Putative&nbsp;succinate&nbsp;dehydrogenase&nbsp;SdhD,98.7
574556.ACIS_00863,ACIS_00863,annotation&nbsp;not&nbsp;available,98.5
574556.ACIS_00956,rpmG,annotation&nbsp;not&nbsp;available,98.3
574556.ACIS_01114,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,97.7
574556.ACIS_01104,ruvB,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvB,97.6
574556.ACIS_01007,dnaE,annotation&nbsp;not&nbsp;available,97.3
574556.ACIS_00482,nrdA,Ribonucleoside-diphosphate&nbsp;reductase,96.5
574556.ACIS_00265,purH,annotation&nbsp;not&nbsp;available,96.4
574556.ACIS_00258,atpB,ATP&nbsp;synthase&nbsp;subunit&nbsp;a,96.2
574556.ACIS_00376,gidA,tRNA&nbsp;uridine&nbsp;5-carboxymethylaminomethyl&nbsp;modification&nbsp;enzyme&nbsp;MnmG,95.8
574556.ACIS_00432,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,95.6
574556.ACIS_00428,rpsJ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S10,95.5
574556.ACIS_00015,ribD,Riboflavin&nbsp;biosynthesis&nbsp;protein&nbsp;RibD,95.4
574556.ACIS_00456,pheT,annotation&nbsp;not&nbsp;available,94.7
574556.ACIS_01108,sdhA,annotation&nbsp;not&nbsp;available,94.1
574556.ACIS_01170,xseB,Exodeoxyribonuclease&nbsp;7&nbsp;small&nbsp;subunit,93.9
574556.ACIS_00322,gatC,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;C,93.9
574556.ACIS_00973,barA,annotation&nbsp;not&nbsp;available,93.5
574556.ACIS_00040,pheS,annotation&nbsp;not&nbsp;available,93.0
574556.ACIS_01126,ntrY,annotation&nbsp;not&nbsp;available,92.8
574556.ACIS_00665,nuoH,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;H,92.6
574556.ACIS_00441,rplX,50S&nbsp;ribosomal&nbsp;protein&nbsp;L24,92.3
574556.ACIS_00820,nrdF,Ribonucleoside-diphosphate&nbsp;reductase&nbsp;subunit&nbsp;beta,92.3
574556.ACIS_00404,carB,annotation&nbsp;not&nbsp;available,91.8
574556.ACIS_00454,rpoA,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;alpha,91.3
574556.ACIS_01065,pstC,Phosphate&nbsp;transport&nbsp;system&nbsp;permease&nbsp;protein,91.0
574556.ACIS_00436,rpsC,30S&nbsp;ribosomal&nbsp;protein&nbsp;S3,91.0
574556.ACIS_00452,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,90.7
574556.ACIS_00106,plsY,Glycerol-3-phosphate&nbsp;acyltransferase,90.6
574556.ACIS_01185,pyrE,Orotate&nbsp;phosphoribosyltransferase,90.3
574556.ACIS_00469,pstB,annotation&nbsp;not&nbsp;available,90.3
574556.ACIS_00343,ctaB,Protoheme&nbsp;IX&nbsp;farnesyltransferase,90.3
574556.ACIS_00554,petB,Cytochrome&nbsp;b,90.2
574556.ACIS_00338,yajC,annotation&nbsp;not&nbsp;available,90.0
574556.ACIS_00440,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,89.9
574556.ACIS_00511,pccA,annotation&nbsp;not&nbsp;available,89.9
574556.ACIS_01005,sdhC,annotation&nbsp;not&nbsp;available,89.6
574556.ACIS_00167,rpsT,30S&nbsp;ribosomal&nbsp;protein&nbsp;S20,89.2
574556.ACIS_00424,rpsA,annotation&nbsp;not&nbsp;available,89.1
574556.ACIS_01156,secB,Protein-export&nbsp;protein&nbsp;SecB,89.0
574556.ACIS_00447,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,88.7
574556.ACIS_00221,ACIS_00221,"3,4-dihydroxy-2-butanone&nbsp;4-phosphate&nbsp;synthase",88.7
574556.ACIS_00582,nuoM,annotation&nbsp;not&nbsp;available,88.6
574556.ACIS_01077,ntrX,annotation&nbsp;not&nbsp;available,88.6
574556.ACIS_00080,xseA,Exodeoxyribonuclease&nbsp;7&nbsp;large&nbsp;subunit,88.4
574556.ACIS_00579,nuoK,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;K,87.8
574556.ACIS_00212,lolE,annotation&nbsp;not&nbsp;available,87.6
574556.ACIS_00895,sucA,annotation&nbsp;not&nbsp;available,87.6
574556.ACIS_00431,rplD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L4,87.4
574556.ACIS_00154,secD,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecD,87.2
574556.ACIS_01030,rpoC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta',87.1
574556.ACIS_00780,rpsO,30S&nbsp;ribosomal&nbsp;protein&nbsp;S15,87.0
574556.ACIS_01132,ccmA,Cytochrome&nbsp;c&nbsp;biogenesis&nbsp;ATP-binding&nbsp;export&nbsp;protein&nbsp;CcmA,86.5
574556.ACIS_00255,ACIS_00255,annotation&nbsp;not&nbsp;available,86.2
574556.ACIS_00926,gyrA,DNA&nbsp;gyrase&nbsp;subunit&nbsp;A,85.8
574556.ACIS_00200,secF,Protein-export&nbsp;membrane&nbsp;protein&nbsp;SecF,85.7
574556.ACIS_01059,rpsU,annotation&nbsp;not&nbsp;available,85.5
