1035191.HMPREF0185_02407,EKY26776.1,tRNA&nbsp;(Uracil-5-)-methyltransferase,98.9
1035191.HMPREF0185_02778,EKY25742.1,Putative&nbsp;acetoacetyl-CoA&nbsp;reductase&nbsp;PhaB,98.9
1035191.HMPREF0185_01376,EKY29206.1,"Putative&nbsp;iron(III)&nbsp;dicitrate&nbsp;ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein&nbsp;FecE",98.9
1035191.HMPREF0185_00254,EKY30582.1,Putative&nbsp;arabinose&nbsp;5-phosphate&nbsp;isomerase,98.9
1035191.HMPREF0185_02071,EKY27507.1,KEGG:&nbsp;bsb:Bresu_0855&nbsp;2.1e-87&nbsp;KDPG&nbsp;and&nbsp;KHG&nbsp;aldolase,98.8
1035191.HMPREF0185_02984,argS,Arginine--tRNA&nbsp;ligase,98.7
1035191.HMPREF0185_00088,EKY30768.1,Tat&nbsp;pathway&nbsp;signal&nbsp;sequence&nbsp;domain&nbsp;protein,98.7
1035191.HMPREF0185_00732,rpsQ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S17,98.6
1035191.HMPREF0185_02508,EKY26379.1,Putative&nbsp;ATP-dependent&nbsp;RNA&nbsp;helicase&nbsp;RhlE,98.6
1035191.HMPREF0185_01464,EKY28865.1,ErfK/YbiS/YcfS/YnhG,98.6
1035191.HMPREF0185_03090,EKY24639.1,PAS&nbsp;domain&nbsp;S-box&nbsp;protein,98.5
1035191.HMPREF0185_00228,EKY30649.1,KEGG:&nbsp;ava:Ava_2028&nbsp;4.4e-09&nbsp;two&nbsp;component&nbsp;LuxR&nbsp;family&nbsp;transcriptional&nbsp;regulator,98.5
1035191.HMPREF0185_02339,EKY26849.1,RelA/SpoT&nbsp;family&nbsp;protein,98.4
1035191.HMPREF0185_03499,EKY23540.1,Type&nbsp;I&nbsp;phosphodiesterase&nbsp;/&nbsp;nucleotide&nbsp;pyrophosphatase,98.4
1035191.HMPREF0185_03315,rpmF,KEGG:&nbsp;apb:SAR116_0011&nbsp;1.3e-18&nbsp;ribosomal&nbsp;protein&nbsp;L32&nbsp;K02911,98.4
1035191.HMPREF0185_00225,EKY30646.1,OmpA&nbsp;family&nbsp;protein,98.4
1035191.HMPREF0185_02302,fabA,3-hydroxydecanoyl-[acyl-carrier-protein]&nbsp;dehydratase,98.3
1035191.HMPREF0185_00975,lpxC,UDP-3-O-acyl-N-acetylglucosamine&nbsp;deacetylase,98.3
1035191.HMPREF0185_02430,EKY26798.1,Response&nbsp;regulator&nbsp;receiver&nbsp;domain&nbsp;protein,98.2
1035191.HMPREF0185_02907,EKY25259.1,ATPase/histidine&nbsp;kinase/DNA&nbsp;gyrase&nbsp;B/HSP90&nbsp;domain&nbsp;protein,98.1
1035191.HMPREF0185_02580,EKY26042.1,Putative&nbsp;fatty&nbsp;acid&nbsp;oxidation&nbsp;complex&nbsp;subunit&nbsp;alpha,98.1
1035191.HMPREF0185_03107,EKY24656.1,"Putative&nbsp;aldehyde&nbsp;dehydrogenase,&nbsp;thermostable",98.0
1035191.HMPREF0185_00370,EKY30510.1,Nucleotidyl&nbsp;transferase,97.9
1035191.HMPREF0185_02766,EKY25730.1,Deoxyhypusine&nbsp;synthase-like&nbsp;protein,97.9
1035191.HMPREF0185_02689,infA,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-1,97.8
1035191.HMPREF0185_02819,pheS,"KEGG:&nbsp;bsb:Bresu_0493&nbsp;1.3e-174&nbsp;phenylalanyl-tRNA&nbsp;synthetase,&nbsp;alpha&nbsp;subunit",97.7
1035191.HMPREF0185_03113,EKY24662.1,ATPase/histidine&nbsp;kinase/DNA&nbsp;gyrase&nbsp;B/HSP90&nbsp;domain&nbsp;protein,97.7
1035191.HMPREF0185_01895,EKY27790.1,KEGG:&nbsp;bsb:Bresu_0600&nbsp;1.8e-170&nbsp;peptidase&nbsp;M17&nbsp;leucyl&nbsp;aminopeptidase&nbsp;domain&nbsp;protein,97.5
1035191.HMPREF0185_00284,EKY30542.1,Aldehyde&nbsp;dehydrogenase&nbsp;family&nbsp;protein,97.5
1035191.HMPREF0185_02702,lipB,Octanoyltransferase,97.4
1035191.HMPREF0185_02506,EKY26497.1,KEGG:&nbsp;apb:SAR116_0664&nbsp;1.8e-44&nbsp;molybdopterin&nbsp;binding&nbsp;domain&nbsp;protein,97.4
1035191.HMPREF0185_01837,EKY28026.1,Methyl-accepting&nbsp;chemotaxis&nbsp;protein&nbsp;signaling&nbsp;domain&nbsp;protein,97.3
1035191.HMPREF0185_01810,tal,Probable&nbsp;transaldolase,97.3
1035191.HMPREF0185_01500,EKY28818.1,Response&nbsp;regulator&nbsp;receiver&nbsp;domain&nbsp;protein,97.3
1035191.HMPREF0185_00693,EKY30172.1,KEGG:&nbsp;bsb:Bresu_0030&nbsp;8.6e-242&nbsp;methylmalonate-semialdehyde&nbsp;dehydrogenase,97.3
1035191.HMPREF0185_00834,nuoD,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;D,97.3
1035191.HMPREF0185_01683,rpmG,annotation&nbsp;not&nbsp;available,97.2
1035191.HMPREF0185_00490,EKY30367.1,Cytochrome,97.2
1035191.HMPREF0185_02092,hisB,KEGG:&nbsp;bsb:Bresu_1042&nbsp;4.0e-189&nbsp;imidazoleglycerol-phosphate&nbsp;dehydratase,97.2
1035191.HMPREF0185_02601,EKY26019.1,Cell&nbsp;division&nbsp;ATP-binding&nbsp;protein&nbsp;FtsE,97.1
1035191.HMPREF0185_01230,EKY29359.1,annotation&nbsp;not&nbsp;available,97.0
1035191.HMPREF0185_02966,EKY25058.1,"KEGG:&nbsp;bsb:Bresu_1846&nbsp;2.2e-62&nbsp;exodeoxyribonuclease&nbsp;VII,&nbsp;large&nbsp;subunit&nbsp;&nbsp;&nbsp;K03601",96.9
