546275.FUSPEROL_00701,cmk,Cytidylate&nbsp;kinase,98.8
546275.FUSPEROL_01133,gyrB,DNA&nbsp;gyrase&nbsp;subunit&nbsp;B,98.6
546275.FUSPEROL_00505,rpsB,30S&nbsp;ribosomal&nbsp;protein&nbsp;S2,98.4
546275.FUSPEROL_00509,rplO,50S&nbsp;ribosomal&nbsp;protein&nbsp;L15,97.8
546275.FUSPEROL_01571,leuC,3-isopropylmalate&nbsp;dehydratase&nbsp;large&nbsp;subunit,97.4
546275.FUSPEROL_00949,secF,Protein-export&nbsp;membrane&nbsp;protein&nbsp;SecF,97.4
546275.FUSPEROL_00569,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,96.6
546275.FUSPEROL_00291,EFE87689.1,B12&nbsp;binding&nbsp;domain&nbsp;protein,96.3
546275.FUSPEROL_00828,EFE87241.1,"ABC&nbsp;transporter,&nbsp;solute-binding&nbsp;protein",96.3
546275.FUSPEROL_00524,rpsS,30S&nbsp;ribosomal&nbsp;protein&nbsp;S19,96.3
546275.FUSPEROL_00124,EFE87909.1,FAD&nbsp;dependent&nbsp;oxidoreductase,96.2
546275.FUSPEROL_01034,EFE87110.1,V-type&nbsp;ATP&nbsp;synthase&nbsp;beta&nbsp;chain,95.9
546275.FUSPEROL_01623,nifU,"Fe-S&nbsp;iron-sulfur&nbsp;cluster&nbsp;assembly&nbsp;protein,&nbsp;NifU&nbsp;family",95.8
546275.FUSPEROL_00504,tsf,Elongation&nbsp;factor&nbsp;Ts,95.7
546275.FUSPEROL_00284,rplS,50S&nbsp;ribosomal&nbsp;protein&nbsp;L19,95.5
546275.FUSPEROL_01563,EFE86503.1,Putative&nbsp;alkyl&nbsp;hydroperoxide&nbsp;reductase&nbsp;F&nbsp;subunit,95.4
546275.FUSPEROL_00752,EFE87265.1,KEGG:&nbsp;fnu:FN1811&nbsp;1.8e-110&nbsp;manganese&nbsp;transport&nbsp;system&nbsp;ATP-binding&nbsp;protein&nbsp;MntA&nbsp;,95.2
546275.FUSPEROL_00809,atpD,ATP&nbsp;synthase&nbsp;subunit&nbsp;beta,94.3
546275.FUSPEROL_00526,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,94.3
546275.FUSPEROL_00909,rpmI,annotation&nbsp;not&nbsp;available,94.1
546275.FUSPEROL_02430,pyrE,Orotate&nbsp;phosphoribosyltransferase,93.7
546275.FUSPEROL_01366,lolD,Lipoprotein-releasing&nbsp;system&nbsp;ATP-binding&nbsp;protein&nbsp;LolD,93.6
546275.FUSPEROL_02311,EFE85774.1,"KEGG:&nbsp;hpa:HPAG1_1109&nbsp;3.2e-49&nbsp;glutamine&nbsp;ABC&nbsp;transporter,&nbsp;permease&nbsp;protein&nbsp;&nbsp;&nbsp;K10040",93.2
546275.FUSPEROL_01933,rpmA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L27,93.2
546275.FUSPEROL_01226,rpmE,annotation&nbsp;not&nbsp;available,92.9
546275.FUSPEROL_00813,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,92.7
546275.FUSPEROL_00751,EFE87264.1,ABC&nbsp;3&nbsp;transport&nbsp;family&nbsp;protein,92.6
546275.FUSPEROL_00932,EFE87009.1,BioY&nbsp;family&nbsp;protein,92.3
546275.FUSPEROL_00316,EFE87714.1,"KEGG:&nbsp;fnu:FN0536&nbsp;4.6e-169&nbsp;DNA&nbsp;polymerase&nbsp;III,&nbsp;beta&nbsp;chain&nbsp;&nbsp;&nbsp;K02338",91.8
546275.FUSPEROL_01616,rpmG,KEGG:&nbsp;mmo:MMOB5490&nbsp;4.3e-06&nbsp;rpmG,91.7
546275.FUSPEROL_00492,EFE87556.1,"ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",91.6
546275.FUSPEROL_01149,ribD,Riboflavin&nbsp;biosynthesis&nbsp;protein&nbsp;RibD,91.4
546275.FUSPEROL_01880,purN,Phosphoribosylglycinamide&nbsp;formyltransferase,91.3
546275.FUSPEROL_00439,EFE87594.1,"3-oxoacid&nbsp;CoA-transferase,&nbsp;A&nbsp;subunit",91.3
546275.FUSPEROL_01573,leuB,3-isopropylmalate&nbsp;dehydrogenase,91.3
546275.FUSPEROL_02429,pyrF,Orotidine&nbsp;5'-phosphate&nbsp;decarboxylase,91.1
546275.FUSPEROL_00528,rplC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L3,90.9
546275.FUSPEROL_00142,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,90.9
546275.FUSPEROL_01936,EFE86192.1,Putative&nbsp;acyl&nbsp;carrier&nbsp;protein,90.8
546275.FUSPEROL_01502,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,90.8
546275.FUSPEROL_01948,pyrB,KEGG:&nbsp;fnu:FN0419&nbsp;7.9e-149&nbsp;pyrB,90.5
546275.FUSPEROL_00503,pyrH,Uridylate&nbsp;kinase,90.5
546275.FUSPEROL_01036,EFE87112.1,V-type&nbsp;ATP&nbsp;synthase&nbsp;subunit&nbsp;F,90.1
546275.FUSPEROL_00438,EFE87593.1,KEGG:&nbsp;fnu:FN1856&nbsp;8.1e-108&nbsp;butyrate-acetoacetate&nbsp;CoA-transferase&nbsp;subunit&nbsp;B&nbsp;&nbsp;&nbsp;K01036,90.1
546275.FUSPEROL_00778,rpsO,30S&nbsp;ribosomal&nbsp;protein&nbsp;S15,89.7
546275.FUSPEROL_02425,pyrK,"Dihydroorotate&nbsp;dehydrogenase&nbsp;B&nbsp;(NAD(+)),&nbsp;electron&nbsp;transfer&nbsp;subunit",89.7
546275.FUSPEROL_00393,apt,Adenine&nbsp;phosphoribosyltransferase,89.6
546275.FUSPEROL_00558,EFE87416.1,Uncharacterized&nbsp;protein,89.4
546275.FUSPEROL_01807,groS,10&nbsp;kDa&nbsp;chaperonin,89.4
546275.FUSPEROL_00515,rpsN,30S&nbsp;ribosomal&nbsp;protein&nbsp;S14,89.2
546275.FUSPEROL_00783,EFE87295.1,DEAD/DEAH&nbsp;box&nbsp;helicase,89.1
546275.FUSPEROL_01911,gctB,KEGG:&nbsp;fnu:FN0203&nbsp;1.5e-140&nbsp;glutaconate&nbsp;CoA-transferase&nbsp;subunit&nbsp;B&nbsp;&nbsp;&nbsp;K01040,88.9
546275.FUSPEROL_00290,EFE87688.1,Uncharacterized&nbsp;protein,88.8
546275.FUSPEROL_01849,EFE86208.1,KEGG:&nbsp;fnu:FN0917&nbsp;3.6e-137&nbsp;hypothetical&nbsp;protein&nbsp;,88.7
546275.FUSPEROL_02366,mglA,Galactose/methyl&nbsp;galactoside&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;MglA,88.6
546275.FUSPEROL_01806,groL,60&nbsp;kDa&nbsp;chaperonin,88.6
546275.FUSPEROL_01609,rplL,50S&nbsp;ribosomal&nbsp;protein&nbsp;L7/L12,88.4
546275.FUSPEROL_00510,rpmD,50S&nbsp;ribosomal&nbsp;protein&nbsp;L30,88.3
546275.FUSPEROL_00814,atpE,ATP&nbsp;synthase&nbsp;subunit&nbsp;c,88.1
546275.FUSPEROL_00727,nagE,"PTS&nbsp;system,&nbsp;N-acetylglucosamine-specific&nbsp;IIBC&nbsp;component",87.5
546275.FUSPEROL_01338,EFE86724.1,"ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",87.0
546275.FUSPEROL_02321,glgB,"1,4-alpha-glucan&nbsp;branching&nbsp;enzyme&nbsp;GlgB",87.0
546275.FUSPEROL_01138,pheT,Phenylalanine--tRNA&nbsp;ligase&nbsp;beta&nbsp;subunit,86.9
