1403948.Q618_VCMC00001G0514,ETI82933.1,Uncharacterized&nbsp;protein,98.9
1403948.Q618_VCMC00003G0104,rplF,50S&nbsp;ribosomal&nbsp;protein&nbsp;L6,98.5
1403948.Q618_VCMC00003G0248,nuoH,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;H,98.5
1403948.Q618_VCMC00001G0779,ETI83198.1,Dihydrolipoyl&nbsp;dehydrogenase,98.5
1403948.Q618_VCMC00001G0797,apt,Adenine&nbsp;phosphoribosyltransferase,98.4
1403948.Q618_VCMC00001G0503,mraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase,98.4
1403948.Q618_VCMC00001G0440,ribH,"6,7-dimethyl-8-ribityllumazine&nbsp;synthase",98.2
1403948.Q618_VCMC00001G0715,pyrF,Orotidine&nbsp;5'-phosphate&nbsp;decarboxylase,98.1
1403948.Q618_VCMC00001G0018,ETI82437.1,Exodeoxyribonuclease&nbsp;III,97.9
1403948.Q618_VCMC00001G1078,def,Peptide&nbsp;deformylase,97.9
1403948.Q618_VCMC00001G1355,rpsG,30S&nbsp;ribosomal&nbsp;protein&nbsp;S7,97.7
1403948.Q618_VCMC00003G0102,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,97.7
1403948.Q618_VCMC00001G0864,ETI83283.1,Putative&nbsp;cystathionine&nbsp;beta-lyase,97.6
1403948.Q618_VCMC00001G0550,ETI82969.1,ROK&nbsp;family&nbsp;transcriptional&nbsp;regulator,97.4
1403948.Q618_VCMC00001G0094,ETI82513.1,Uncharacterized&nbsp;protein,97.4
1403948.Q618_VCMC00001G0391,pnp,Polyribonucleotide&nbsp;nucleotidyltransferase,97.2
1403948.Q618_VCMC00001G0598,ETI83017.1,4-alpha-glucanotransferase/amylomaltase/disproportionating&nbsp;enzyme,97.1
1403948.Q618_VCMC00001G1003,ETI83422.1,Aconitate&nbsp;hydratase,97.1
1403948.Q618_VCMC00003G0089,ETI81787.1,50S&nbsp;ribosomal&nbsp;protein&nbsp;L17,97.0
1403948.Q618_VCMC00001G0400,ETI82819.1,Putative&nbsp;ribokinase,96.9
1403948.Q618_VCMC00001G0510,leuS,Leucine--tRNA&nbsp;ligase,96.5
1403948.Q618_VCMC00001G1123,ETI83542.1,Uncharacterized&nbsp;protein,96.3
1403948.Q618_VCMC00001G0314,ETI82733.1,Histidinol-phosphate&nbsp;aminotransferase,96.1
1403948.Q618_VCMC00001G0813,ETI83232.1,Glutamyl-Q&nbsp;tRNA(Asp)&nbsp;synthetase,96.1
1403948.Q618_VCMC00001G1343,rpsC,30S&nbsp;ribosomal&nbsp;protein&nbsp;S3,96.1
1403948.Q618_VCMC00001G1086,frr,Ribosome-recycling&nbsp;factor,96.0
1403948.Q618_VCMC00001G1227,ETI83646.1,Uncharacterized&nbsp;protein,96.0
1403948.Q618_VCMC00001G1225,dnaK,Chaperone&nbsp;protein&nbsp;DnaK,95.9
1403948.Q618_VCMC00001G0751,purU,Formyltetrahydrofolate&nbsp;deformylase,95.5
1403948.Q618_VCMC00003G0091,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,95.4
