762966.HMPREF9439_01530,pheT,Phenylalanine--tRNA&nbsp;ligase&nbsp;beta&nbsp;subunit,98.9
762966.HMPREF9439_00331,EGG57256.1,RNA&nbsp;polymerase&nbsp;sigma&nbsp;factor,98.8
762966.HMPREF9439_00035,EGG57943.1,"KEGG:&nbsp;tin:Tint_1419&nbsp;6.6e-196&nbsp;glutamine&nbsp;synthetase,&nbsp;type&nbsp;I",98.7
762966.HMPREF9439_00352,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;B,98.6
762966.HMPREF9439_01651,EGG53789.1,Putative&nbsp;histidinol-phosphate&nbsp;transaminase,98.5
762966.HMPREF9439_02604,EGG50840.1,Hydrogenase&nbsp;maturation&nbsp;GTPase&nbsp;HydF,98.5
762966.HMPREF9439_00180,EGG57570.1,Cytochrome&nbsp;c-552,98.4
762966.HMPREF9439_00546,thyA,Thymidylate&nbsp;synthase,98.3
762966.HMPREF9439_02143,rpsO,30S&nbsp;ribosomal&nbsp;protein&nbsp;S15,98.3
762966.HMPREF9439_00758,fdhD,Sulfur&nbsp;carrier&nbsp;protein&nbsp;FdhD,98.2
762966.HMPREF9439_02435,EGG51057.1,Putative&nbsp;glyoxylate&nbsp;reductase,98.1
762966.HMPREF9439_02109,EGG52072.1,O-antigen&nbsp;polymerase,98.1
762966.HMPREF9439_00732,EGG56800.1,ATPase/histidine&nbsp;kinase/DNA&nbsp;gyrase&nbsp;B/HSP90&nbsp;domain&nbsp;protein,98.1
762966.HMPREF9439_01998,EGG52329.1,Putative&nbsp;formate&nbsp;dehydrogenase&nbsp;accessory&nbsp;protein&nbsp;FdhE,98.1
762966.HMPREF9439_00006,EGG58032.1,KEGG:&nbsp;ctc:CTC00276&nbsp;2.3e-83&nbsp;sfuC,98.0
762966.HMPREF9439_01393,EGG54569.1,3-isopropylmalate&nbsp;dehydratase&nbsp;large&nbsp;subunit,97.9
762966.HMPREF9439_02411,rplM,50S&nbsp;ribosomal&nbsp;protein&nbsp;L13,97.8
762966.HMPREF9439_02421,EGG51217.1,"ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein",97.7
762966.HMPREF9439_02580,EGG50816.1,GAD&nbsp;domain&nbsp;protein,97.7
762966.HMPREF9439_00219,EGG57609.1,"KEGG:&nbsp;bgl:bglu_1g26540&nbsp;2.6e-279&nbsp;DNA&nbsp;polymerase&nbsp;III,&nbsp;alpha&nbsp;subunit",97.6
762966.HMPREF9439_01945,rplC,50S&nbsp;ribosomal&nbsp;protein&nbsp;L3,97.4
762966.HMPREF9439_00935,EGG56022.1,KEGG:&nbsp;bbr:BB3819&nbsp;6.2e-49&nbsp;serB,97.4
762966.HMPREF9439_02713,EGG50120.1,Tat&nbsp;pathway&nbsp;signal&nbsp;sequence&nbsp;domain&nbsp;protein,97.4
762966.HMPREF9439_01321,EGG54831.1,Putative&nbsp;cyclase,97.4
762966.HMPREF9439_00064,fabZ,3-hydroxyacyl-[acyl-carrier-protein]&nbsp;dehydratase&nbsp;FabZ,97.3
762966.HMPREF9439_02000,EGG52331.1,TonB-dependent&nbsp;heme/hemoglobin&nbsp;receptor&nbsp;family&nbsp;protein,97.2
762966.HMPREF9439_00274,EGG57662.1,KEGG:&nbsp;gur:Gura_0470&nbsp;1.3e-268&nbsp;molybdopterin&nbsp;oxidoreductase,97.2
762966.HMPREF9439_02148,tpiA,Triosephosphate&nbsp;isomerase,97.1
762966.HMPREF9439_01929,EGG52890.1,Uncharacterized&nbsp;protein,97.1
762966.HMPREF9439_01103,EGG55510.1,"KEGG:&nbsp;oan:Oant_2891&nbsp;0.&nbsp;nitrate&nbsp;reductase,&nbsp;alpha&nbsp;subunit",97.1
762966.HMPREF9439_00807,EGG56453.1,Tat&nbsp;pathway&nbsp;signal&nbsp;sequence&nbsp;domain&nbsp;protein,96.9
762966.HMPREF9439_01672,EGG53810.1,Argininosuccinate&nbsp;lyase,96.9
762966.HMPREF9439_01965,secY,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecY,96.9
762966.HMPREF9439_00136,EGG57806.1,KEGG:&nbsp;lch:Lcho_2151&nbsp;8.3e-141&nbsp;thiamine&nbsp;pyrophosphate&nbsp;binding&nbsp;domain-containing&nbsp;protein,96.8
762966.HMPREF9439_00441,EGG57026.1,Adenylosuccinate&nbsp;lyase,96.6
762966.HMPREF9439_00105,eno,Enolase,96.5
762966.HMPREF9439_01078,EGG55485.1,"Branched-chain&nbsp;amino&nbsp;acid&nbsp;ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",96.4
762966.HMPREF9439_02234,EGG51659.1,3-isopropylmalate&nbsp;dehydratase&nbsp;small&nbsp;subunit,96.3
762966.HMPREF9439_00185,EGG57575.1,Cytochrome&nbsp;c-type&nbsp;biogenesis&nbsp;protein&nbsp;CcmF,96.3
762966.HMPREF9439_00075,tsf,Elongation&nbsp;factor&nbsp;Ts,96.2
762966.HMPREF9439_01351,EGG54787.1,ATPase/histidine&nbsp;kinase/DNA&nbsp;gyrase&nbsp;B/HSP90&nbsp;domain&nbsp;protein,96.2
762966.HMPREF9439_00071,EGG57979.1,Isoprenyl&nbsp;transferase,96.1
762966.HMPREF9439_00053,EGG57961.1,Phospholipase&nbsp;D&nbsp;family&nbsp;protein,96.1
762966.HMPREF9439_00189,EGG57579.1,Heme&nbsp;exporter&nbsp;protein&nbsp;B,96.0
762966.HMPREF9439_00781,recG,ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RecG,95.9
762966.HMPREF9439_02735,EGG49993.1,Putative&nbsp;nitrate&nbsp;reductase&nbsp;molybdenum&nbsp;cofactor&nbsp;assembly&nbsp;chaperone,95.9
762966.HMPREF9439_02072,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,95.9
762966.HMPREF9439_02350,secA,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecA,95.9
762966.HMPREF9439_01937,EGG52614.1,KEGG:&nbsp;cti:RALTA_A1496&nbsp;2.0e-52&nbsp;holB,95.7
762966.HMPREF9439_01565,uvrB,UvrABC&nbsp;system&nbsp;protein&nbsp;B,95.7
762966.HMPREF9439_02230,accD,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;beta,95.7
762966.HMPREF9439_01528,EGG54026.1,"KEGG:&nbsp;apb:SAR116_0174&nbsp;2.0e-11&nbsp;transcriptional&nbsp;regulator,&nbsp;MerR&nbsp;family",95.6
762966.HMPREF9439_01337,EGG54773.1,"ATPase,&nbsp;AAA&nbsp;family&nbsp;protein",95.5
762966.HMPREF9439_01849,metN,Methionine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;MetN,95.4
762966.HMPREF9439_01267,EGG54956.1,Dihydrolipoyllysine-residue&nbsp;succinyltransferase&nbsp;component&nbsp;of&nbsp;2-oxoglutarate&nbsp;dehydrogenase&nbsp;complex,95.4
762966.HMPREF9439_00261,cmk,Cytidylate&nbsp;kinase,95.4
762966.HMPREF9439_01608,rpmA,KEGG:&nbsp;apb:SAR116_1855&nbsp;6.6e-22&nbsp;ribosomal&nbsp;protein&nbsp;L27&nbsp;K02899,95.3
762966.HMPREF9439_00084,EGG57755.1,KEGG:&nbsp;bgl:bglu_1g23670&nbsp;8.6e-68&nbsp;serine&nbsp;O-acetyltransferase,95.2
762966.HMPREF9439_01713,rpmB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L28,95.2
762966.HMPREF9439_01913,EGG52903.1,KEGG:&nbsp;slt:Slit_2218&nbsp;1.9e-127&nbsp;homoserine&nbsp;dehydrogenase&nbsp;&nbsp;&nbsp;K00003,95.0
762966.HMPREF9439_00748,EGG56395.1,"KEGG:&nbsp;pne:Pnec_0398&nbsp;1.4e-37&nbsp;HAD-superfamily&nbsp;hydrolase,&nbsp;subfamily&nbsp;IA,&nbsp;variant&nbsp;1",94.9
762966.HMPREF9439_00493,EGG56896.1,KEGG:&nbsp;eca:ECA2250&nbsp;1.7e-85&nbsp;putative&nbsp;aminotransferase,94.6
762966.HMPREF9439_02436,EGG51058.1,Uncharacterized&nbsp;protein,94.6
762966.HMPREF9439_00765,EGG56412.1,FMN-binding&nbsp;domain&nbsp;protein,94.6
762966.HMPREF9439_00800,pepA,Probable&nbsp;cytosol&nbsp;aminopeptidase,94.5
762966.HMPREF9439_01503,EGG54297.1,Bacterial&nbsp;transferase&nbsp;hexapeptide&nbsp;repeat&nbsp;protein,94.4
762966.HMPREF9439_02418,EGG51214.1,"Permease,&nbsp;YjgP/YjgQ&nbsp;family",94.2
762966.HMPREF9439_01282,mdh,Malate&nbsp;dehydrogenase,94.1
762966.HMPREF9439_02430,EGG51052.1,"2,3-bisphosphoglycerate-dependent&nbsp;phosphoglycerate&nbsp;mutase",94.1
762966.HMPREF9439_00887,ribB,"3,4-dihydroxy-2-butanone&nbsp;4-phosphate&nbsp;synthase",94.0
762966.HMPREF9439_00655,EGG56725.1,"Molybdate&nbsp;ABC&nbsp;transporter,&nbsp;permease&nbsp;protein",93.9
762966.HMPREF9439_01581,ruvC,Crossover&nbsp;junction&nbsp;endodeoxyribonuclease&nbsp;RuvC,93.9
762966.HMPREF9439_02459,rpoD,RNA&nbsp;polymerase&nbsp;sigma&nbsp;factor&nbsp;RpoD,93.9
762966.HMPREF9439_02482,ppa,Inorganic&nbsp;pyrophosphatase,93.7
762966.HMPREF9439_00260,EGG57649.1,30S&nbsp;ribosomal&nbsp;protein&nbsp;S1,93.6
762966.HMPREF9439_02070,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,93.6
762966.HMPREF9439_02519,EGG50756.1,KEGG:&nbsp;mpt:Mpe_A1496&nbsp;2.1e-128&nbsp;thioredoxin&nbsp;reductase&nbsp;K00384,93.5
762966.HMPREF9439_00574,EGG56644.1,ATPase/histidine&nbsp;kinase/DNA&nbsp;gyrase&nbsp;B/HSP90&nbsp;domain&nbsp;protein,93.5
762966.HMPREF9439_00157,EGG57547.1,"Glutamine&nbsp;ABC&nbsp;transporter,&nbsp;periplasmic&nbsp;glutamine-binding&nbsp;protein&nbsp;GlnH",93.4
762966.HMPREF9439_02596,EGG50832.1,"Lipopolysaccharide&nbsp;ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein&nbsp;LptB",93.3
762966.HMPREF9439_00134,EGG57804.1,"2-oxoacid:acceptor&nbsp;oxidoreductase,&nbsp;gamma&nbsp;subunit,&nbsp;pyruvate/2-ketoisovalerate&nbsp;family",93.3
762966.HMPREF9439_00147,EGG57538.1,"KEGG:&nbsp;oan:Oant_4252&nbsp;3.3e-43&nbsp;molybdate&nbsp;ABC&nbsp;transporter,&nbsp;ATPase&nbsp;subunit",93.2
762966.HMPREF9439_02452,tsaD,tRNA&nbsp;N6-adenosine&nbsp;threonylcarbamoyltransferase,93.1
762966.HMPREF9439_02140,EGG52103.1,KEGG:&nbsp;bxe:Bxe_A3227&nbsp;1.6e-82&nbsp;CDP-diacylglycerol--serine&nbsp;O-phosphatidyltransferase&nbsp;K00998,93.0
762966.HMPREF9439_00264,hisC,KEGG:&nbsp;rpi:Rpic_0775&nbsp;1.2e-93&nbsp;histidinol-phosphate&nbsp;aminotransferase,93.0
762966.HMPREF9439_01360,EGG54796.1,annotation&nbsp;not&nbsp;available,92.9
762966.HMPREF9439_00397,lysA,Diaminopimelate&nbsp;decarboxylase,92.9
762966.HMPREF9439_02394,nusB,Transcription&nbsp;antitermination&nbsp;protein&nbsp;NusB,92.8
762966.HMPREF9439_02287,adk,Adenylate&nbsp;kinase,92.8
762966.HMPREF9439_01706,rpoC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta',92.6
762966.HMPREF9439_01959,rpsH,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,92.6
762966.HMPREF9439_01954,rpsQ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S17,92.5
762966.HMPREF9439_02189,rpsP,KEGG:&nbsp;apb:SAR116_1817&nbsp;3.2e-13&nbsp;ribosomal&nbsp;protein&nbsp;S16&nbsp;K02959,92.2
762966.HMPREF9439_00322,argB,Acetylglutamate&nbsp;kinase,92.2
762966.HMPREF9439_00852,EGG56175.1,KEGG:&nbsp;bcl:ABC1487&nbsp;7.0e-105&nbsp;argininosuccinate&nbsp;lyase&nbsp;K01755,92.2
762966.HMPREF9439_01397,EGG54573.1,KEGG:&nbsp;apb:SAR116_2508&nbsp;5.6e-32&nbsp;molybdenum&nbsp;cofactor&nbsp;biosynthesis&nbsp;enzyme&nbsp;&nbsp;&nbsp;K03639,92.0
762966.HMPREF9439_01898,EGG52948.1,KEGG:&nbsp;rcp:RCAP_rcp00073&nbsp;7.8e-42&nbsp;nosF,91.8
762966.HMPREF9439_01384,EGG54560.1,Uncharacterized&nbsp;protein,91.7
762966.HMPREF9439_00593,grpE,Protein&nbsp;GrpE,91.6
762966.HMPREF9439_02637,EGG50412.1,KEGG:&nbsp;lhe:lhv_1578&nbsp;4.1e-84&nbsp;L-LDH,91.6
762966.HMPREF9439_02406,argC,N-acetyl-gamma-glutamyl-phosphate&nbsp;reductase,91.6
762966.HMPREF9439_02420,EGG51216.1,"Oligopeptide&nbsp;ABC&nbsp;transporter,&nbsp;ATP-binding&nbsp;protein&nbsp;AppF",91.5
762966.HMPREF9439_02559,EGG50795.1,KEGG:&nbsp;bpt:Bpet0916&nbsp;4.9e-88&nbsp;galU1,91.5
762966.HMPREF9439_00072,frr,Ribosome-recycling&nbsp;factor,91.4
762966.HMPREF9439_01403,EGG54579.1,Putative&nbsp;cystine-binding&nbsp;periplasmic&nbsp;protein,91.4
762966.HMPREF9439_00247,EGG57637.1,"Acetyltransferase,&nbsp;GNAT&nbsp;family",91.3
762966.HMPREF9439_02744,EGG50002.1,"KEGG:&nbsp;slt:Slit_1150&nbsp;2.4e-134&nbsp;cytochrome&nbsp;d&nbsp;ubiquinol&nbsp;oxidase,&nbsp;subunit&nbsp;II",91.3
762966.HMPREF9439_01853,EGG52987.1,"Acetyltransferase,&nbsp;GNAT&nbsp;family",91.2
762966.HMPREF9439_02437,EGG51059.1,KEGG:&nbsp;ctu:Ctu_31430&nbsp;4.1e-36&nbsp;glnB,91.1
