1386089.N865_00755,trpC,Indole-3-glycerol&nbsp;phosphate&nbsp;synthase,98.9
1386089.N865_18430,N865_18430,Asparagine&nbsp;synthase,98.9
1386089.N865_14920,N865_14920,Metal-dependent&nbsp;phosphohydrolase,98.9
1386089.N865_05930,N865_05930,Acetyl-CoA&nbsp;synthetase,98.9
1386089.N865_17620,N865_17620,Uncharacterized&nbsp;protein,98.8
1386089.N865_06595,N865_06595,Cysteine&nbsp;desulfurase,98.8
1386089.N865_13995,N865_13995,D-3-phosphoglycerate&nbsp;dehydrogenase,98.8
1386089.N865_12320,N865_12320,Acyl-CoA&nbsp;dehydrogenase,98.8
1386089.N865_00730,gltD,Glutamate&nbsp;synthase&nbsp;is&nbsp;composed&nbsp;of&nbsp;subunits&nbsp;alpha&nbsp;and&nbsp;beta,98.8
1386089.N865_01880,N865_01880,Transcription&nbsp;accessory&nbsp;protein,98.8
1386089.N865_17785,N865_17785,ATPase,98.7
1386089.N865_11960,N865_11960,FAD-linked&nbsp;oxidase,98.7
1386089.N865_11935,N865_11935,Phosphonomutase,98.7
1386089.N865_03850,rpsM,30S&nbsp;ribosomal&nbsp;protein&nbsp;S13,98.7
1386089.N865_03630,fusA,Elongation&nbsp;factor&nbsp;G,98.6
1386089.N865_05605,N865_05605,Short-chain&nbsp;dehydrogenase,98.5
1386089.N865_14255,recR,Recombination&nbsp;protein&nbsp;RecR,98.5
1386089.N865_19455,N865_19455,Peptidoglycan-binding&nbsp;LysM,98.4
1386089.N865_12540,N865_12540,Thymidine&nbsp;kinase,98.4
1386089.N865_04185,N865_04185,Chemotaxis&nbsp;protein&nbsp;CheY,98.4
1386089.N865_14845,N865_14845,Preprotein&nbsp;translocase&nbsp;subunit&nbsp;TatA,98.3
1386089.N865_02315,N865_02315,Transcriptional&nbsp;regulator,98.3
1386089.N865_11395,N865_11395,Nucleotidyl&nbsp;transferase,98.3
1386089.N865_21845,N865_21845,Glyoxalase,98.3
1386089.N865_07735,N865_07735,Ribonuclease&nbsp;II,98.3
1386089.N865_19145,N865_19145,Alcohol&nbsp;dehydrogenase,98.2
1386089.N865_06185,N865_06185,NADPH:quinone&nbsp;oxidoreductase,98.2
1386089.N865_10065,prpE,Catalyzes&nbsp;the&nbsp;formation&nbsp;of&nbsp;propionyl-CoA&nbsp;using&nbsp;propionate&nbsp;as&nbsp;a&nbsp;substrate,98.2
1386089.N865_11050,hisB,Imidazoleglycerol-phosphate&nbsp;dehydratase,98.2
1386089.N865_03535,rplK,50S&nbsp;ribosomal&nbsp;protein&nbsp;L11,98.2
1386089.N865_18355,N865_18355,Uncharacterized&nbsp;protein,98.1
1386089.N865_10645,N865_10645,Dihydropteroate&nbsp;synthase,98.1
1386089.N865_14135,N865_14135,Ribonucleoside-diphosphate&nbsp;reductase&nbsp;subunit&nbsp;beta,98.1
1386089.N865_18350,rbsK,Ribokinase,98.1
1386089.N865_14455,N865_14455,Cystathionine&nbsp;beta-lyase,98.0
1386089.N865_08330,N865_08330,Carbon&nbsp;monoxide&nbsp;dehydrogenase,98.0
1386089.N865_21375,N865_21375,Galactose&nbsp;mutarotase,97.8
1386089.N865_14440,trpD,Anthranilate&nbsp;phosphoribosyltransferase,97.8
1386089.N865_09180,N865_09180,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;delta,97.8
1386089.N865_20015,N865_20015,NADH-quinone&nbsp;oxidoreductase,97.8
