537970.HCAN_0569,leuC,3-isopropylmalate&nbsp;dehydratase&nbsp;large&nbsp;subunit,97.9
537970.HCAN_1215,glnP,Glutamine&nbsp;ABC&nbsp;transporter&nbsp;permease&nbsp;GlnP&nbsp;[Helicobacter&nbsp;hepaticus&nbsp;ATCC&nbsp;51449],97.8
537970.HCAN_1352,fliM,Flagellar&nbsp;motor&nbsp;switch&nbsp;protein&nbsp;[Wolinella&nbsp;succinogenes&nbsp;DSM&nbsp;1740],97.6
537970.HCAN_1106,tlpC,Methyl-accepting&nbsp;chemotaxis&nbsp;transducer&nbsp;(tlpC)&nbsp;[Campylobacter&nbsp;lari&nbsp;RM2100],97.5
537970.HCAN_1097,HCAN_1097,Chemotaxis&nbsp;signal&nbsp;transduction&nbsp;protein&nbsp;CheV&nbsp;[Helicobacter&nbsp;hepaticus&nbsp;ATCC&nbsp;51449],97.3
537970.HCAN_1380,ribAB,"3,4-dihydroxy-2-butanone&nbsp;4-phosphate&nbsp;synthase",97.2
537970.HCAN_0395,flgG,Flagellar&nbsp;distal&nbsp;rod&nbsp;protein&nbsp;FlgG&nbsp;[Helicobacter&nbsp;hepaticus&nbsp;ATCC&nbsp;51449],96.7
537970.HCAN_0578,rpsC,30S&nbsp;ribosomal&nbsp;protein&nbsp;S3,96.6
537970.HCAN_0547,oppB,"ABC-type&nbsp;transport&nbsp;system,&nbsp;permease&nbsp;component",96.3
537970.HCAN_0147,kpsT,"Capsular&nbsp;polysaccharide&nbsp;ABC&nbsp;transporter,&nbsp;ATP-&nbsp;binding&nbsp;protein&nbsp;[Campylobacter&nbsp;jejuni&nbsp;subsp.&nbsp;jejuni&nbsp;260.94]",95.9
537970.HCAN_0813,HCAN_0813,Methyl-accepting&nbsp;chemotaxis&nbsp;sensory&nbsp;transducer&nbsp;[Thiomicrospira&nbsp;denitrificans&nbsp;ATCC&nbsp;33889],95.5
537970.HCAN_0501,ftsZ,Cell&nbsp;division&nbsp;protein&nbsp;FtsZ,94.8
537970.HCAN_1096,napA,Nitrate&nbsp;reductase,94.4
537970.HCAN_0574,rplW,50S&nbsp;ribosomal&nbsp;protein&nbsp;L23,94.3
537970.HCAN_0096,hisH,Imidazole&nbsp;glycerol&nbsp;phosphate&nbsp;synthase&nbsp;subunit&nbsp;HisH,94.3
537970.HCAN_0455,tpiA,Triosephosphate&nbsp;isomerase,94.1
537970.HCAN_0534,rpsT,30S&nbsp;ribosomal&nbsp;protein&nbsp;S20,94.1
537970.HCAN_0762,rpmE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31,94.0
537970.HCAN_0598,rpoA,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;alpha,93.1
537970.HCAN_0213,rplA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L1,93.0
537970.HCAN_0783,rplI,50S&nbsp;ribosomal&nbsp;protein&nbsp;L9,92.8
537970.HCAN_1112,rpsU,30S&nbsp;ribosomal&nbsp;protein&nbsp;S21&nbsp;[Campylobacter&nbsp;jejuni&nbsp;subsp.&nbsp;jejuni&nbsp;NCTC&nbsp;11168],92.6
537970.HCAN_0594,rpmJ,Ribosomal&nbsp;protein&nbsp;L36&nbsp;[Bdellovibrio&nbsp;bacteriovorus&nbsp;HD100],92.5
537970.HCAN_0923,fliG,Flagellar&nbsp;motor&nbsp;protein&nbsp;[Wolinella&nbsp;succinogenes&nbsp;DSM&nbsp;1740],92.1
