1288298.rosmuc_03151,KGM86853.1,annotation&nbsp;not&nbsp;available,98.9
1288298.rosmuc_00620,KGM90021.1,annotation&nbsp;not&nbsp;available,98.9
1288298.rosmuc_03946,KGM86072.1,annotation&nbsp;not&nbsp;available,98.9
1288298.rosmuc_00230,mggB,Sulfate&nbsp;thiol&nbsp;esterase&nbsp;SoxB,98.9
1288298.rosmuc_01106,maeB,annotation&nbsp;not&nbsp;available,98.9
1288298.rosmuc_03662,KGM86389.1,"Amino&nbsp;acid/amide&nbsp;ABC&nbsp;transporter&nbsp;membrane&nbsp;protein&nbsp;2,&nbsp;HAAT&nbsp;family",98.8
1288298.rosmuc_01211,KGM88801.1,annotation&nbsp;not&nbsp;available,98.8
1288298.rosmuc_01525,nuoJ,NADH&nbsp;dehydrogenase&nbsp;subunit&nbsp;J,98.8
1288298.rosmuc_00567,KGM89969.1,Flagellar&nbsp;L-ring&nbsp;protein,98.8
1288298.rosmuc_02500,KGM87763.1,Flagellar&nbsp;motor&nbsp;switch&nbsp;protein&nbsp;FliG,98.7
1288298.rosmuc_02741,KGM87427.1,annotation&nbsp;not&nbsp;available,98.6
1288298.rosmuc_02912,betB,annotation&nbsp;not&nbsp;available,98.6
1288298.rosmuc_01429,KGM88595.1,annotation&nbsp;not&nbsp;available,98.5
1288298.rosmuc_01435,mrcA,annotation&nbsp;not&nbsp;available,98.5
1288298.rosmuc_01570,KGM88732.1,PAS/PAC&nbsp;sensor&nbsp;signal&nbsp;transduction&nbsp;histidine&nbsp;kinase,98.4
1288298.rosmuc_02286,KGM87550.1,Asp-tRNAAsn/Glu-tRNAGln&nbsp;amidotransferase&nbsp;A&nbsp;subunit,98.4
1288298.rosmuc_02345,rpsC,30S&nbsp;ribosomal&nbsp;protein&nbsp;S3,98.3
1288298.rosmuc_02309,KGM87573.1,Lipoprotein&nbsp;signal&nbsp;peptidase,98.3
1288298.rosmuc_00731,rpsA,30S&nbsp;ribosomal&nbsp;protein&nbsp;S1,98.2
1288298.rosmuc_03736,KGM86326.1,"Amino&nbsp;acid/amide&nbsp;ABC&nbsp;transporter&nbsp;membrane&nbsp;protein&nbsp;1,&nbsp;HAAT&nbsp;family",98.1
1288298.rosmuc_03200,pufL,annotation&nbsp;not&nbsp;available,98.1
