936136.ARRT01000006_gene4939,ruvC,Crossover&nbsp;junction&nbsp;endodeoxyribonuclease&nbsp;RuvC,98.9
936136.ARRT01000007_gene889,ARRT01000007_gene889,annotation&nbsp;not&nbsp;available,98.9
936136.ARRT01000006_gene1858,ileS,Isoleucine--tRNA&nbsp;ligase,98.9
936136.ARRT01000006_gene3740,ARRT01000006_gene3740,annotation&nbsp;not&nbsp;available,98.9
936136.ARRT01000006_gene5565,ARRT01000006_gene5565,annotation&nbsp;not&nbsp;available,98.9
936136.ARRT01000006_gene5649,ARRT01000006_gene5649,annotation&nbsp;not&nbsp;available,98.8
936136.ARRT01000006_gene5431,ARRT01000006_gene5431,Dihydrolipoyllysine-residue&nbsp;succinyltransferase&nbsp;component&nbsp;of&nbsp;2-oxoglutarate&nbsp;dehydrogenase&nbsp;complex,98.8
936136.ARRT01000003_gene6142,ARRT01000003_gene6142,annotation&nbsp;not&nbsp;available,98.8
936136.ARRT01000001_gene86,ARRT01000001_gene86,annotation&nbsp;not&nbsp;available,98.7
936136.ARRT01000006_gene4797,ARRT01000006_gene4797,annotation&nbsp;not&nbsp;available,98.7
936136.ARRT01000006_gene3550,ARRT01000006_gene3550,annotation&nbsp;not&nbsp;available,98.7
936136.ARRT01000006_gene3106,ARRT01000006_gene3106,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component&nbsp;subunit&nbsp;beta,98.7
936136.ARRT01000006_gene3363,parE,DNA&nbsp;topoisomerase&nbsp;4&nbsp;subunit&nbsp;B,98.6
936136.ARRT01000007_gene1008,ARRT01000007_gene1008,annotation&nbsp;not&nbsp;available,98.6
936136.ARRT01000006_gene3709,ARRT01000006_gene3709,annotation&nbsp;not&nbsp;available,98.6
936136.ARRT01000006_gene5070,ARRT01000006_gene5070,annotation&nbsp;not&nbsp;available,98.6
936136.ARRT01000006_gene3265,ARRT01000006_gene3265,annotation&nbsp;not&nbsp;available,98.6
936136.ARRT01000006_gene3506,ARRT01000006_gene3506,annotation&nbsp;not&nbsp;available,98.5
936136.ARRT01000006_gene3866,ARRT01000006_gene3866,annotation&nbsp;not&nbsp;available,98.5
936136.ARRT01000006_gene4831,ARRT01000006_gene4831,annotation&nbsp;not&nbsp;available,98.5
936136.ARRT01000006_gene4558,ARRT01000006_gene4558,annotation&nbsp;not&nbsp;available,98.4
936136.ARRT01000006_gene3051,ARRT01000006_gene3051,annotation&nbsp;not&nbsp;available,98.4
936136.ARRT01000006_gene1896,ARRT01000006_gene1896,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,98.4
936136.ARRT01000006_gene1359,ARRT01000006_gene1359,annotation&nbsp;not&nbsp;available,98.4
936136.ARRT01000006_gene4755,ARRT01000006_gene4755,annotation&nbsp;not&nbsp;available,98.4
936136.ARRT01000006_gene4598,ARRT01000006_gene4598,annotation&nbsp;not&nbsp;available,98.4
936136.ARRT01000006_gene3085,rpsB,annotation&nbsp;not&nbsp;available,98.4
936136.ARRT01000006_gene1952,ARRT01000006_gene1952,annotation&nbsp;not&nbsp;available,98.3
936136.ARRT01000006_gene5728,ARRT01000006_gene5728,annotation&nbsp;not&nbsp;available,98.2
936136.ARRT01000006_gene5444,ARRT01000006_gene5444,annotation&nbsp;not&nbsp;available,98.2
936136.ARRT01000006_gene2056,ARRT01000006_gene2056,annotation&nbsp;not&nbsp;available,98.2
936136.ARRT01000006_gene4975,ARRT01000006_gene4975,annotation&nbsp;not&nbsp;available,98.2
936136.ARRT01000006_gene2901,ARRT01000006_gene2901,annotation&nbsp;not&nbsp;available,98.2
936136.ARRT01000006_gene3634,ARRT01000006_gene3634,annotation&nbsp;not&nbsp;available,98.2
936136.ARRT01000007_gene898,ARRT01000007_gene898,annotation&nbsp;not&nbsp;available,98.2
936136.ARRT01000006_gene3689,ARRT01000006_gene3689,annotation&nbsp;not&nbsp;available,98.1
936136.ARRT01000007_gene1154,ARRT01000007_gene1154,annotation&nbsp;not&nbsp;available,98.1
936136.ARRT01000004_gene6621,ARRT01000004_gene6621,annotation&nbsp;not&nbsp;available,98.1
936136.ARRT01000006_gene4998,ARRT01000006_gene4998,annotation&nbsp;not&nbsp;available,98.1
